,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,exchange-3_cpc_results.csv,0.004564995616389428,Linear,0.57142857,1,Linear,0.92639843,0.98790185
2,exchange-4_cpc_results.csv,0.0053778764155800185,Linear,0.66666667,2,Linear,0.92639843,0.98790185
3,Pen-Based Recognition of Handwritten Text (Local),0.020336541471546288,KMeans,0.52631579,3,Linear,0.92639843,0.98790185
4,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.024612833545265334,KMeans,0.5,4,KMeans,0.38537271,0.4468761299999999
5,exchange-4_cpm_results.csv,0.0417002945558792,KMeans,0.75,5,KMeans,0.38537271,0.4468761299999999
6,Landsat Satellite,0.05256773691808553,Linear,0.71794872,6,KMeans,0.38537271,0.4468761299999999
7,exchange-2_cpm_results.csv,0.0557590462118954,KMeans,0.8,7,KMeans,0.38537271,0.4468761299999999
8,TravelTime_387.csv,0.05874965300803772,KMeans,0.66666667,8,KMeans,0.38537271,0.4468761299999999
9,rogue_agent_key_hold.csv,0.06198879973828772,Linear,0.003367,9,KMeans,0.38537271,0.4468761299999999
10,ec2_disk_write_bytes_c0d644.csv,0.09960487586054959,Linear,0.5,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,TravelTime_387.csv,4.401008920386861e-05,KMeans,0.66666667,1,KMeans,0.52631579,1.0
14,exchange-2_cpm_results.csv,9.945441619492175e-05,KMeans,0.8,2,KMeans,0.52631579,1.0
15,KDD-Cup99 HTTP,0.0002530787235791971,RPCA,0.93849658,3,KMeans,0.52631579,1.0
16,occupancy_t4013.csv,0.00034194343945491467,Linear,1.0,4,KMeans,0.52631579,1.0
17,rogue_agent_key_hold.csv,0.00047290756091159273,Linear,0.003367,5,KMeans,0.52631579,1.0
18,exchange-3_cpm_results.csv,0.0004987761493297976,Linear,1.0,6,Linear,0.02505219,0.4987364000000001
19,exchange-2_cpc_results.csv,0.0005444051457563515,KMeans,0.33333333,7,KMeans,0.52631579,1.0
20,ec2_cpu_utilization_fe7f93.csv,0.0005504200081894191,Linear,0.5,8,Linear,0.02505219,0.4987364000000001
21,ec2_request_latency_system_failure.csv,0.0005506560428838442,KMeans,0.66666667,9,KMeans,0.52631579,1.0
22,ec2_cpu_utilization_825cc2.csv,0.0006449538950768742,KMeans,0.66666667,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Speech Accent Data,10.374496233823747,Linear,0.11764706,1,Linear,0.0663518,0.99862951
26,Landsat Satellite,11.07654223338896,Linear,0.71794872,2,Linear,0.0663518,0.99862951
27,cpu_utilization_asg_misconfiguration.csv,11.30120533754427,KMeans,0.00775194,3,Linear,0.0663518,0.99862951
28,machine_temperature_system_failure.csv,11.31860094661828,Linear,0.4,4,Linear,0.0663518,0.99862951
29,ec2_disk_write_bytes_1ef3de.csv,11.322867261908636,Linear,0.08695652,5,Linear,0.0663518,0.99862951
30,art_increase_spike_density.csv,11.32546021353743,KMeans,0.15384615,6,Linear,0.0663518,0.99862951
31,art_daily_nojump.csv,11.329331378118871,KMeans,0.00152207,7,Linear,0.0663518,0.99862951
32,art_daily_jumpsup.csv,11.32935062062478,KMeans,0.22222222,8,KMeans,0.05851859,0.9907963
33,art_daily_jumpsdown.csv,11.32935062062478,KMeans,0.03030303,9,KMeans,0.05851859,0.9907963
34,ec2_network_in_257a54.csv,11.32936986006529,KMeans,0.5,10,KMeans,0.05851859,0.9907963
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
