,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Pen-Based Recognition of Handwritten Text (Local),0.06833096050421698,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
2,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.12915132185811545,KMeans,0.5,2,KMeans,0.38537271,0.4468761299999999
3,exchange-4_cpc_results.csv,0.13503578303360958,Linear,0.66666667,3,KMeans,0.38537271,0.4468761299999999
4,exchange-3_cpc_results.csv,0.16826360212185965,Linear,0.57142857,4,KMeans,0.38537271,0.4468761299999999
5,rogue_agent_key_hold.csv,0.19458785729776587,Linear,0.003367,5,Linear,0.92639843,0.98790185
6,exchange-2_cpm_results.csv,0.20790408385310016,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999
7,TravelTime_387.csv,0.21578637159892441,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999
8,exchange-4_cpm_results.csv,0.2832975996739449,KMeans,0.75,8,KMeans,0.38537271,0.4468761299999999
9,ec2_disk_write_bytes_c0d644.csv,0.3066357622796955,Linear,0.5,9,KMeans,0.38537271,0.4468761299999999
10,ec2_request_latency_system_failure.csv,0.3482406637076473,KMeans,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,KDD-Cup99 HTTP,0.06833096050421698,RPCA,0.93849658,1,RPCA,0.02453988,0.49822409
14,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.12614145676442695,KMeans,0.5,2,KMeans,0.52631579,1.0
15,rogue_agent_key_hold.csv,0.1262568967935489,Linear,0.003367,3,KMeans,0.52631579,1.0
16,exchange-2_cpm_results.csv,0.13999928997833655,KMeans,0.8,4,KMeans,0.52631579,1.0
17,TravelTime_387.csv,0.14775730987405283,KMeans,0.66666667,5,KMeans,0.52631579,1.0
18,exchange-4_cpc_results.csv,0.17796331795986142,Linear,0.66666667,6,KMeans,0.52631579,1.0
19,exchange-3_cpc_results.csv,0.2112407449388374,Linear,0.57142857,7,KMeans,0.52631579,1.0
20,ec2_disk_write_bytes_c0d644.csv,0.23830480177547853,Linear,0.5,8,Linear,0.02505219,0.4987364000000001
21,ec2_request_latency_system_failure.csv,0.27990970320343034,KMeans,0.66666667,9,KMeans,0.52631579,1.0
22,ec2_cpu_utilization_fe7f93.csv,0.27995771615504006,Linear,0.5,10,Linear,0.02505219,0.4987364000000001
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Speech Accent Data,7.829362216118485,Linear,0.11764706,1,Linear,0.0663518,0.99862951
26,Landsat Satellite,9.114478417004023,Linear,0.71794872,2,Linear,0.0663518,0.99862951
27,exchange-4_cpm_results.csv,11.56749567706345,KMeans,0.75,3,Linear,0.0663518,0.99862951
28,KDD-Cup99 HTTP,11.658323167483916,RPCA,0.93849658,4,Linear,0.0663518,0.99862951
29,exchange-3_cpc_results.csv,11.69517928455828,Linear,0.57142857,5,Linear,0.0663518,0.99862951
