,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Pen-Based Recognition of Handwritten Text (Local),0.042033318178091306,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
2,cpu_utilization_asg_misconfiguration.csv,0.051995077602971757,KMeans,0.00775194,2,KMeans,0.38537271,0.4468761299999999
3,exchange-2_cpm_results.csv,0.05219561804593434,KMeans,0.8,3,KMeans,0.38537271,0.4468761299999999
4,TravelTime_387.csv,0.06428242508056264,KMeans,0.66666667,4,KMeans,0.38537271,0.4468761299999999
5,machine_temperature_system_failure.csv,0.06910528382993097,Linear,0.4,5,KMeans,0.38537271,0.4468761299999999
6,rogue_agent_key_updown.csv,0.07107286198423585,Gaussian,0.00083455,6,KMeans,0.38537271,0.4468761299999999
7,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.08323748728531044,KMeans,0.5,7,KMeans,0.38537271,0.4468761299999999
8,ambient_temperature_system_failure.csv,0.10727046236354959,KMeans,0.8,8,KMeans,0.38537271,0.4468761299999999
9,nyc_taxi.csv,0.10971599128494439,Linear,0.25,9,KMeans,0.38537271,0.4468761299999999
10,art_increase_spike_density.csv,0.11164562808336528,KMeans,0.15384615,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,cpu_utilization_asg_misconfiguration.csv,0.00996175942488045,KMeans,0.00775194,1,KMeans,0.52631579,1.0
14,exchange-2_cpm_results.csv,0.010162299867843033,KMeans,0.8,2,KMeans,0.52631579,1.0
15,TravelTime_387.csv,0.02224910690247134,KMeans,0.66666667,3,KMeans,0.52631579,1.0
16,machine_temperature_system_failure.csv,0.02707196565183967,Linear,0.4,4,KMeans,0.52631579,1.0
17,KDD-Cup99 HTTP,0.042033318178091306,RPCA,0.93849658,5,KMeans,0.52631579,1.0
18,ambient_temperature_system_failure.csv,0.06523714418545828,KMeans,0.8,6,KMeans,0.52631579,1.0
19,nyc_taxi.csv,0.06768267310685308,Linear,0.25,7,KMeans,0.52631579,1.0
20,art_increase_spike_density.csv,0.06961230990527398,KMeans,0.15384615,8,KMeans,0.52631579,1.0
21,art_daily_flatmiddle.csv,0.07346866540694652,KMeans,0.02,9,KMeans,0.52631579,1.0
22,ec2_disk_write_bytes_1ef3de.csv,0.07748316975077907,Linear,0.08695652,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,ec2_cpu_utilization_c6585a.csv,4.359493402412634,Linear,0.0,1,Linear,0.0663518,0.99862951
26,Speech Accent Data,7.829362216118485,Linear,0.11764706,2,Linear,0.0663518,0.99862951
27,Landsat Satellite,8.667444136854005,Linear,0.71794872,3,Linear,0.0663518,0.99862951
28,exchange-4_cpm_results.csv,11.02831083334873,KMeans,0.75,4,Linear,0.0663518,0.99862951
29,exchange-3_cpc_results.csv,11.143344830900816,Linear,0.57142857,5,Linear,0.0663518,0.99862951
30,exchange-4_cpc_results.csv,11.176572649989065,Linear,0.66666667,6,Linear,0.0663518,0.99862951
31,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,11.228370945737366,KMeans,0.5,7,Linear,0.0663518,0.99862951
32,rogue_agent_key_updown.csv,11.24053557103844,Gaussian,0.00083455,8,Linear,0.0663518,0.99862951
33,KDD-Cup99 HTTP,11.311608433022675,RPCA,0.93849658,9,Linear,0.0663518,0.99862951
34,Pen-Based Recognition of Handwritten Text (Local),11.353641751200767,KMeans,0.52631579,10,Linear,0.0663518,0.99862951
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
37,Landsat Satellite,0.8380819207355197,Linear,0.71794872,1,Linear,0.11764706,1.0
38,exchange-4_cpm_results.csv,3.198948617230246,KMeans,0.75,2,KMeans,0.05384615,0.93619909
39,exchange-3_cpc_results.csv,3.3139826147823315,Linear,0.57142857,3,Linear,0.11764706,1.0
40,exchange-4_cpc_results.csv,3.3472104338705813,Linear,0.66666667,4,Linear,0.11764706,1.0
41,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,3.3990087296188807,KMeans,0.5,5,Linear,0.11764706,1.0
42,rogue_agent_key_updown.csv,3.411173354919955,Gaussian,0.00083455,6,Linear,0.11764706,1.0
43,ec2_cpu_utilization_c6585a.csv,3.46986881370585,Linear,0.0,7,Linear,0.11764706,1.0
