,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Landsat Satellite,1.2914343,Linear,0.71794872,1,Linear,0.92639843,0.98790185
2,Speech Accent Data,2.4161243,Linear,0.11764706,2,Linear,0.92639843,0.98790185
3,Pen-Based Recognition of Handwritten Text (Local),2.672984,KMeans,0.52631579,3,Linear,0.92639843,0.98790185
4,Object Images,3.1535897,Gaussian,0.06772229,4,Linear,0.92639843,0.98790185
5,ec2_cpu_utilization_c6585a.csv,4.835194,Linear,0.0,5,Linear,0.92639843,0.98790185
6,cpu_utilization_asg_misconfiguration.csv,4.836961,KMeans,0.00775194,6,Linear,0.92639843,0.98790185
7,machine_temperature_system_failure.csv,4.8379583,Linear,0.4,7,Linear,0.92639843,0.98790185
8,ec2_disk_write_bytes_1ef3de.csv,4.83848,Linear,0.08695652,8,Linear,0.92639843,0.98790185
9,art_daily_flatmiddle.csv,4.839012,KMeans,0.02,9,Linear,0.92639843,0.98790185
10,art_daily_jumpsdown.csv,4.839012,KMeans,0.03030303,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Landsat Satellite,1.462491,Linear,0.71794872,1,Linear,0.02505219,0.4987364000000001
14,Speech Accent Data,2.3473127,Linear,0.11764706,2,Linear,0.02505219,0.4987364000000001
15,Pen-Based Recognition of Handwritten Text (Local),2.624929,KMeans,0.52631579,3,Linear,0.02505219,0.4987364000000001
16,Object Images,3.0035386,Gaussian,0.06772229,4,Linear,0.02505219,0.4987364000000001
17,ec2_cpu_utilization_c6585a.csv,4.859429,Linear,0.0,5,Linear,0.02505219,0.4987364000000001
18,cpu_utilization_asg_misconfiguration.csv,4.861159,KMeans,0.00775194,6,Linear,0.02505219,0.4987364000000001
19,machine_temperature_system_failure.csv,4.8621345,Linear,0.4,7,Linear,0.02505219,0.4987364000000001
20,ec2_disk_write_bytes_1ef3de.csv,4.862644,Linear,0.08695652,8,Linear,0.02505219,0.4987364000000001
21,art_daily_flatmiddle.csv,4.8631644,KMeans,0.02,9,Linear,0.02505219,0.4987364000000001
22,art_daily_jumpsdown.csv,4.8631644,KMeans,0.03030303,10,Linear,0.02505219,0.4987364000000001
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Landsat Satellite,1.4244366,Linear,0.71794872,1,Linear,0.0663518,0.99862951
26,Speech Accent Data,2.1744025,Linear,0.11764706,2,Linear,0.0663518,0.99862951
27,Pen-Based Recognition of Handwritten Text (Local),2.570624,KMeans,0.52631579,3,Linear,0.0663518,0.99862951
28,Object Images,3.8124957,Gaussian,0.06772229,4,Linear,0.0663518,0.99862951
29,ec2_cpu_utilization_c6585a.csv,4.724231,Linear,0.0,5,Linear,0.0663518,0.99862951
30,cpu_utilization_asg_misconfiguration.csv,4.7260084,KMeans,0.00775194,6,Linear,0.0663518,0.99862951
31,machine_temperature_system_failure.csv,4.7270117,Linear,0.4,7,Linear,0.0663518,0.99862951
32,ec2_disk_write_bytes_1ef3de.csv,4.727536,Linear,0.08695652,8,Linear,0.0663518,0.99862951
33,art_daily_flatmiddle.csv,4.72807,KMeans,0.02,9,Linear,0.0663518,0.99862951
34,art_daily_jumpsdown.csv,4.72807,KMeans,0.03030303,10,Linear,0.0663518,0.99862951
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
37,Landsat Satellite,1.0062013,Linear,0.71794872,1,Linear,0.11764706,1.0
38,Speech Accent Data,2.5422046,Linear,0.11764706,2,Linear,0.11764706,1.0
39,Pen-Based Recognition of Handwritten Text (Local),2.828595,KMeans,0.52631579,3,Linear,0.11764706,1.0
40,Object Images,2.8484974,Gaussian,0.06772229,4,Linear,0.11764706,1.0
41,ec2_cpu_utilization_c6585a.csv,5.0370646,Linear,0.0,5,Linear,0.11764706,1.0
42,cpu_utilization_asg_misconfiguration.csv,5.038829,KMeans,0.00775194,6,Linear,0.11764706,1.0
43,machine_temperature_system_failure.csv,5.0398245,Linear,0.4,7,Linear,0.11764706,1.0
44,ec2_disk_write_bytes_1ef3de.csv,5.040345,Linear,0.08695652,8,Linear,0.11764706,1.0
45,art_daily_flatmiddle.csv,5.040877,KMeans,0.02,9,Linear,0.11764706,1.0
46,art_daily_jumpsdown.csv,5.040877,KMeans,0.03030303,10,Linear,0.11764706,1.0
47,,,,,,,,
48,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
49,Landsat Satellite,1.4849334,Linear,0.71794872,1,Linear,0.71794872,1.0
50,Speech Accent Data,2.078067,Linear,0.11764706,2,Linear,0.71794872,1.0
51,Pen-Based Recognition of Handwritten Text (Local),2.406416,KMeans,0.52631579,3,Linear,0.71794872,1.0
52,Object Images,3.5768986,Gaussian,0.06772229,4,Linear,0.71794872,1.0
53,ec2_cpu_utilization_c6585a.csv,4.5946403,Linear,0.0,5,Linear,0.71794872,1.0
54,cpu_utilization_asg_misconfiguration.csv,4.5964146,KMeans,0.00775194,6,Linear,0.71794872,1.0
55,machine_temperature_system_failure.csv,4.5974164,Linear,0.4,7,Linear,0.71794872,1.0
56,ec2_disk_write_bytes_1ef3de.csv,4.5979404,Linear,0.08695652,8,Linear,0.71794872,1.0
57,art_daily_flatmiddle.csv,4.5984755,KMeans,0.02,9,Linear,0.71794872,1.0
58,art_daily_jumpsdown.csv,4.5984755,KMeans,0.03030303,10,Linear,0.71794872,1.0
59,,,,,,,,
60,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
61,Landsat Satellite,1.2552795,Linear,0.71794872,1,Linear,0.14285714,0.34285714
62,Speech Accent Data,2.262844,Linear,0.11764706,2,Linear,0.14285714,0.34285714
63,Pen-Based Recognition of Handwritten Text (Local),2.4916317,KMeans,0.52631579,3,Linear,0.14285714,0.34285714
64,Object Images,3.2471747,Gaussian,0.06772229,4,Linear,0.14285714,0.34285714
