,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
1,Pen-Based Recognition of Handwritten Text (Local),7.640148880308962,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999,0.0
2,Speech Accent Data,8.129701270162377,Linear,0.11764706,2,KMeans,0.38537271,0.4468761299999999,0.0
3,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,8.140823371436301,KMeans,0.5,3,KMeans,0.38537271,0.4468761299999999,0.0
4,exchange-4_cpc_results.csv,8.140843642766425,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999,0.0
5,exchange-3_cpc_results.csv,8.140950216574455,Linear,0.57142857,5,Linear,0.92639843,0.98790185,0.0
6,exchange-2_cpm_results.csv,8.14128827194796,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999,0.0
7,TravelTime_387.csv,8.141355849749118,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.0
8,rogue_agent_key_hold.csv,8.141701786127378,Linear,0.003367,8,KMeans,0.38537271,0.4468761299999999,0.0
9,exchange-4_cpm_results.csv,8.142020569439746,KMeans,0.75,9,KMeans,0.38537271,0.4468761299999999,0.0
10,occupancy_t4013.csv,8.142597838692406,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999,0.0
11,,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
13,Pen-Based Recognition of Handwritten Text (Local),8.234810391624906,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999,0.1
14,Speech Accent Data,8.690930330799288,Linear,0.11764706,2,KMeans,0.38537271,0.4468761299999999,0.1
15,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,8.701335095124817,KMeans,0.5,3,KMeans,0.38537271,0.4468761299999999,0.1
16,exchange-4_cpc_results.csv,8.701354060644688,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999,0.1
17,exchange-3_cpc_results.csv,8.701453769426745,Linear,0.57142857,5,Linear,0.92639843,0.98790185,0.1
18,exchange-2_cpm_results.csv,8.701770049805079,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999,0.1
19,TravelTime_387.csv,8.701833274946805,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.1
20,rogue_agent_key_hold.csv,8.702156930724533,Linear,0.003367,8,KMeans,0.38537271,0.4468761299999999,0.1
21,exchange-4_cpm_results.csv,8.702455183791939,KMeans,0.75,9,KMeans,0.38537271,0.4468761299999999,0.1
22,occupancy_t4013.csv,8.70299527952334,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999,0.1
23,,,,,,,,,
24,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
25,Pen-Based Recognition of Handwritten Text (Local),9.574957033115792,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999,0.2
26,Speech Accent Data,9.969953360713733,Linear,0.11764706,2,KMeans,0.38537271,0.4468761299999999,0.2
27,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,9.979024623561704,KMeans,0.5,3,KMeans,0.38537271,0.4468761299999999,0.2
28,exchange-4_cpc_results.csv,9.979041160787835,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999,0.2
29,exchange-3_cpc_results.csv,9.979128103269892,Linear,0.57142857,5,Linear,0.92639843,0.98790185,0.2
30,exchange-2_cpm_results.csv,9.979403889996872,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999,0.2
31,TravelTime_387.csv,9.979459020656956,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.2
32,rogue_agent_key_hold.csv,9.979741241483019,Linear,0.003367,8,KMeans,0.38537271,0.4468761299999999,0.2
33,exchange-4_cpm_results.csv,9.98000131392312,KMeans,0.75,9,KMeans,0.38537271,0.4468761299999999,0.2
34,occupancy_t4013.csv,9.980472275168422,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999,0.2
35,,,,,,,,,
36,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
37,Pen-Based Recognition of Handwritten Text (Local),12.057379076151399,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
