,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Pen-Based Recognition of Handwritten Text (Local),10.337747858592497,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
2,Speech Accent Data,13.076719403504406,Linear,0.11764706,2,KMeans,0.38537271,0.4468761299999999
3,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,13.164636382545924,KMeans,0.5,3,KMeans,0.38537271,0.4468761299999999
4,exchange-4_cpc_results.csv,13.172622788768985,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999
5,exchange-3_cpc_results.csv,13.196372440480978,Linear,0.57142857,5,Linear,0.92639843,0.98790185
6,exchange-2_cpm_results.csv,13.236552141636597,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999
7,TravelTime_387.csv,13.2425590926913,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999
8,rogue_agent_key_hold.csv,13.268716859256813,Linear,0.003367,8,KMeans,0.38537271,0.4468761299999999
9,exchange-4_cpm_results.csv,13.28857809133587,KMeans,0.75,9,KMeans,0.38537271,0.4468761299999999
10,occupancy_t4013.csv,13.318765258941882,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Speech Accent Data,2.8186374711102675,Linear,0.11764706,1,Linear,0.02505219,0.4987364000000001
14,Landsat Satellite,9.265510454925687,Linear,0.71794872,2,Linear,0.02505219,0.4987364000000001
15,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,9.901033537404428,KMeans,0.5,3,Linear,0.02505219,0.4987364000000001
16,exchange-2_cpm_results.csv,9.926623568031374,KMeans,0.8,4,KMeans,0.52631579,1.0
17,TravelTime_387.csv,9.932630519086077,KMeans,0.66666667,5,KMeans,0.52631579,1.0
18,exchange-4_cpc_results.csv,9.94236014136212,Linear,0.66666667,6,KMeans,0.52631579,1.0
19,rogue_agent_key_hold.csv,9.958788285651588,Linear,0.003367,7,Linear,0.02505219,0.4987364000000001
20,exchange-3_cpc_results.csv,9.966109793074112,Linear,0.57142857,8,Linear,0.02505219,0.4987364000000001
21,occupancy_t4013.csv,10.008836685336657,Linear,1.0,9,Linear,0.02505219,0.4987364000000001
22,ec2_cpu_utilization_fe7f93.csv,10.019496022840958,Linear,0.5,10,Linear,0.02505219,0.4987364000000001
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Speech Accent Data,9.424238373454868,Linear,0.11764706,1,Linear,0.0663518,0.99862951
