,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.541338915507667e-05,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999
2,exchange-2_cpm_results.csv,2.68661561937872e-05,KMeans,0.8,2,KMeans,0.38537271,0.4468761299999999
3,TravelTime_387.csv,3.957814636882302e-05,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999
4,exchange-4_cpc_results.csv,5.207581511874959e-05,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999
5,rogue_agent_key_hold.csv,0.0001114332152499304,Linear,0.003367,5,KMeans,0.38537271,0.4468761299999999
6,exchange-3_cpc_results.csv,0.00012117288747152564,Linear,0.57142857,6,KMeans,0.38537271,0.4468761299999999
7,occupancy_t4013.csv,0.0003237186987757639,Linear,1.0,7,Linear,0.92639843,0.98790185
8,ec2_disk_write_bytes_c0d644.csv,0.00038162323712177246,Linear,0.5,8,Linear,0.92639843,0.98790185
9,ec2_cpu_utilization_fe7f93.csv,0.00038162323712177246,Linear,0.5,9,Linear,0.92639843,0.98790185
10,ec2_request_latency_system_failure.csv,0.00038162323712177246,KMeans,0.66666667,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,ec2_cpu_utilization_c6585a.csv,0.42773410112004207,Linear,0.0,1,Linear,0.02505219,0.4987364000000001
14,cpu_utilization_asg_misconfiguration.csv,0.4283236701769667,KMeans,0.00775194,2,KMeans,0.52631579,1.0
15,machine_temperature_system_failure.csv,0.42864902434740443,Linear,0.4,3,Linear,0.02505219,0.4987364000000001
16,ec2_disk_write_bytes_1ef3de.csv,0.4288168316394826,Linear,0.08695652,4,Linear,0.02505219,0.4987364000000001
17,art_load_balancer_spikes.csv,0.42898624269277835,KMeans,0.25,5,Linear,0.02505219,0.4987364000000001
18,art_daily_nojump.csv,0.42898624269277835,KMeans,0.00152207,6,KMeans,0.52631579,1.0
19,ec2_network_in_257a54.csv,0.42898624269277835,KMeans,0.5,7,KMeans,0.52631579,1.0
20,ec2_cpu_utilization_ac20cd.csv,0.42898624269277835,KMeans,0.66666667,8,KMeans,0.52631579,1.0
21,art_daily_jumpsup.csv,0.42898624269277835,KMeans,0.22222222,9,KMeans,0.52631579,1.0
22,art_daily_jumpsdown.csv,0.42898624269277835,KMeans,0.03030303,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Pen-Based Recognition of Handwritten Text (Local),0.007799619341308579,KMeans,0.52631579,1,KMeans,0.05851859,0.9907963
26,Landsat Satellite,0.01400090375162414,Linear,0.71794872,2,KMeans,0.05851859,0.9907963
27,Speech Accent Data,0.04634816850763019,Linear,0.11764706,3,Linear,0.0663518,0.99862951
28,ec2_cpu_utilization_c6585a.csv,0.04774050812017644,Linear,0.0,4,Linear,0.0663518,0.99862951
29,cpu_utilization_asg_misconfiguration.csv,0.04776065859401003,KMeans,0.00775194,5,Linear,0.0663518,0.99862951
30,machine_temperature_system_failure.csv,0.04777196149539299,Linear,0.4,6,Linear,0.0663518,0.99862951
31,ec2_disk_write_bytes_1ef3de.csv,0.04777785068621415,Linear,0.08695652,7,Linear,0.0663518,0.99862951
32,art_daily_flatmiddle.csv,0.04778384248701548,KMeans,0.02,8,Linear,0.0663518,0.99862951
33,ec2_network_in_257a54.csv,0.04778384248701548,KMeans,0.5,9,Linear,0.0663518,0.99862951
34,ec2_cpu_utilization_77c1ca.csv,0.04778384248701548,KMeans,0.03921569,10,KMeans,0.05851859,0.9907963
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
37,KDD-Cup99 HTTP,0.8243503741919369,RPCA,0.93849658,1,RPCA,0.08450704,0.96685998
38,Pen-Based Recognition of Handwritten Text (Local),3.6506972783446834,KMeans,0.52631579,2,KMeans,0.05384615,0.93619909
39,ec2_cpu_utilization_c6585a.csv,7.39912015329489,Linear,0.0,3,KMeans,0.05384615,0.93619909
40,cpu_utilization_asg_misconfiguration.csv,7.400500198278565,KMeans,0.00775194,4,KMeans,0.05384615,0.93619909
41,machine_temperature_system_failure.csv,7.401283087333007,Linear,0.4,5,KMeans,0.05384615,0.93619909
42,ec2_disk_write_bytes_1ef3de.csv,7.401693866984032,Linear,0.08695652,6,Linear,0.11764706,1.0
43,ec2_cpu_utilization_ac20cd.csv,7.4021139929633915,KMeans,0.66666667,7,KMeans,0.05384615,0.93619909
44,art_daily_jumpsdown.csv,7.4021139929633915,KMeans,0.03030303,8,KMeans,0.05384615,0.93619909
45,art_daily_jumpsup.csv,7.4021139929633915,KMeans,0.22222222,9,KMeans,0.05384615,0.93619909
46,art_load_balancer_spikes.csv,7.4021139929633915,KMeans,0.25,10,KMeans,0.05384615,0.93619909
47,,,,,,,,
48,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
49,KDD-Cup99 HTTP,0.16283675040336554,RPCA,0.93849658,1,RPCA,0.62962963,0.9116809100000001
50,Pen-Based Recognition of Handwritten Text (Local),0.6086222326977286,KMeans,0.52631579,2,KMeans,0.65517241,0.93722369
51,Speech Accent Data,0.6785007387494042,Linear,0.11764706,3,KMeans,0.65517241,0.93722369
