,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Speech Accent Data,1.929241053757524,Linear,0.11764706,1,Linear,0.92639843,0.98790185
2,Landsat Satellite,3.3471213266952002,Linear,0.71794872,2,Linear,0.92639843,0.98790185
3,Pen-Based Recognition of Handwritten Text (Local),3.692559286111093,KMeans,0.52631579,3,Linear,0.92639843,0.98790185
4,Object Images,6.324474571663286,Gaussian,0.06772229,4,Linear,0.92639843,0.98790185
5,exchange-4_cpm_results.csv,12.610785612075418,KMeans,0.75,5,KMeans,0.38537271,0.4468761299999999
6,exchange-3_cpc_results.csv,12.702991262930318,Linear,0.57142857,6,Linear,0.92639843,0.98790185
7,exchange-4_cpc_results.csv,12.726740914642317,Linear,0.66666667,7,Linear,0.92639843,0.98790185
8,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,12.768067518600015,KMeans,0.5,8,Linear,0.92639843,0.98790185
9,exchange-2_cpm_results.csv,12.8399832776907,KMeans,0.8,9,KMeans,0.38537271,0.4468761299999999
10,ec2_cpu_utilization_c6585a.csv,12.839986627779206,Linear,0.0,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Speech Accent Data,1.929241053757524,Linear,0.11764706,1,Linear,0.02505219,0.4987364000000001
14,Landsat Satellite,3.3471213266952002,Linear,0.71794872,2,Linear,0.02505219,0.4987364000000001
15,Pen-Based Recognition of Handwritten Text (Local),3.692559286111093,KMeans,0.52631579,3,Linear,0.02505219,0.4987364000000001
16,Object Images,6.324474571663286,Gaussian,0.06772229,4,Linear,0.02505219,0.4987364000000001
17,exchange-4_cpm_results.csv,12.610785612075418,KMeans,0.75,5,KMeans,0.52631579,1.0
18,exchange-3_cpc_results.csv,12.702991262930318,Linear,0.57142857,6,Linear,0.02505219,0.4987364000000001
19,exchange-4_cpc_results.csv,12.726740914642317,Linear,0.66666667,7,Linear,0.02505219,0.4987364000000001
20,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,12.768067518600015,KMeans,0.5,8,Linear,0.02505219,0.4987364000000001
21,exchange-2_cpm_results.csv,12.8399832776907,KMeans,0.8,9,KMeans,0.52631579,1.0
22,ec2_cpu_utilization_c6585a.csv,12.839986627779206,Linear,0.0,10,Linear,0.02505219,0.4987364000000001
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Speech Accent Data,1.929241053757524,Linear,0.11764706,1,Linear,0.0663518,0.99862951
26,Landsat Satellite,3.3471213266952002,Linear,0.71794872,2,Linear,0.0663518,0.99862951
27,Pen-Based Recognition of Handwritten Text (Local),3.692559286111093,KMeans,0.52631579,3,Linear,0.0663518,0.99862951
28,Object Images,6.324474571663286,Gaussian,0.06772229,4,Linear,0.0663518,0.99862951
29,exchange-4_cpm_results.csv,12.610785612075418,KMeans,0.75,5,KMeans,0.05851859,0.9907963
30,exchange-3_cpc_results.csv,12.702991262930318,Linear,0.57142857,6,Linear,0.0663518,0.99862951
31,exchange-4_cpc_results.csv,12.726740914642317,Linear,0.66666667,7,Linear,0.0663518,0.99862951
32,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,12.768067518600015,KMeans,0.5,8,Linear,0.0663518,0.99862951
33,exchange-2_cpm_results.csv,12.8399832776907,KMeans,0.8,9,KMeans,0.05851859,0.9907963
34,ec2_cpu_utilization_c6585a.csv,12.839986627779206,Linear,0.0,10,Linear,0.0663518,0.99862951
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
37,Speech Accent Data,1.929241053757524,Linear,0.11764706,1,Linear,0.11764706,1.0
38,Landsat Satellite,3.3471213266952002,Linear,0.71794872,2,Linear,0.11764706,1.0
39,Pen-Based Recognition of Handwritten Text (Local),3.692559286111093,KMeans,0.52631579,3,Linear,0.11764706,1.0
40,Object Images,6.324474571663286,Gaussian,0.06772229,4,Linear,0.11764706,1.0
41,exchange-4_cpm_results.csv,12.610785612075418,KMeans,0.75,5,KMeans,0.05384615,0.93619909
42,exchange-3_cpc_results.csv,12.702991262930318,Linear,0.57142857,6,Linear,0.11764706,1.0
43,exchange-4_cpc_results.csv,12.726740914642317,Linear,0.66666667,7,Linear,0.11764706,1.0
44,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,12.768067518600015,KMeans,0.5,8,Linear,0.11764706,1.0
45,exchange-2_cpm_results.csv,12.8399832776907,KMeans,0.8,9,KMeans,0.05384615,0.93619909
46,ec2_cpu_utilization_c6585a.csv,12.839986627779206,Linear,0.0,10,Linear,0.11764706,1.0
47,,,,,,,,
48,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
49,Speech Accent Data,1.929241053757524,Linear,0.11764706,1,Linear,0.71794872,1.0
50,Landsat Satellite,3.3471213266952002,Linear,0.71794872,2,Linear,0.71794872,1.0
51,Pen-Based Recognition of Handwritten Text (Local),3.692559286111093,KMeans,0.52631579,3,Linear,0.71794872,1.0
52,Object Images,6.324474571663286,Gaussian,0.06772229,4,Linear,0.71794872,1.0
53,exchange-4_cpm_results.csv,12.610785612075418,KMeans,0.75,5,KMeans,0.65517241,0.93722369
54,exchange-3_cpc_results.csv,12.702991262930318,Linear,0.57142857,6,Linear,0.71794872,1.0
55,exchange-4_cpc_results.csv,12.726740914642317,Linear,0.66666667,7,Linear,0.71794872,1.0
56,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,12.768067518600015,KMeans,0.5,8,Linear,0.71794872,1.0
57,exchange-2_cpm_results.csv,12.8399832776907,KMeans,0.8,9,KMeans,0.65517241,0.93722369
58,ec2_cpu_utilization_c6585a.csv,12.839986627779206,Linear,0.0,10,Linear,0.71794872,1.0
59,,,,,,,,
60,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
61,Speech Accent Data,1.929241053757524,Linear,0.11764706,1,Linear,0.14285714,0.34285714
62,Landsat Satellite,3.3471213266952002,Linear,0.71794872,2,Linear,0.14285714,0.34285714
63,Pen-Based Recognition of Handwritten Text (Local),3.692559286111093,KMeans,0.52631579,3,Linear,0.14285714,0.34285714
64,Object Images,6.324474571663286,Gaussian,0.06772229,4,Linear,0.14285714,0.34285714
65,exchange-4_cpm_results.csv,12.610785612075418,KMeans,0.75,5,KMeans,0.8,1.0
66,exchange-3_cpc_results.csv,12.702991262930318,Linear,0.57142857,6,Linear,0.14285714,0.34285714
67,exchange-4_cpc_results.csv,12.726740914642317,Linear,0.66666667,7,Linear,0.14285714,0.34285714
68,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,12.768067518600015,KMeans,0.5,8,Linear,0.14285714,0.34285714
69,exchange-2_cpm_results.csv,12.8399832776907,KMeans,0.8,9,KMeans,0.8,1.0
70,ec2_cpu_utilization_c6585a.csv,12.839986627779206,Linear,0.0,10,Linear,0.14285714,0.34285714
71,,,,,,,,
72,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
73,Speech Accent Data,1.929241053757524,Linear,0.11764706,1,Linear,1.0,1.0
74,Landsat Satellite,3.3471213266952002,Linear,0.71794872,2,Linear,1.0,1.0
75,Pen-Based Recognition of Handwritten Text (Local),3.692559286111093,KMeans,0.52631579,3,Linear,1.0,1.0
76,Object Images,6.324474571663286,Gaussian,0.06772229,4,Linear,1.0,1.0
77,exchange-4_cpm_results.csv,12.610785612075418,KMeans,0.75,5,KMeans,1.0,1.0
78,exchange-3_cpc_results.csv,12.702991262930318,Linear,0.57142857,6,Linear,1.0,1.0
79,exchange-4_cpc_results.csv,12.726740914642317,Linear,0.66666667,7,Linear,1.0,1.0
80,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,12.768067518600015,KMeans,0.5,8,Linear,1.0,1.0
81,exchange-2_cpm_results.csv,12.8399832776907,KMeans,0.8,9,KMeans,1.0,1.0
82,ec2_cpu_utilization_c6585a.csv,12.839986627779206,Linear,0.0,10,Linear,1.0,1.0
83,,,,,,,,
84,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
85,Speech Accent Data,1.929241053757524,Linear,0.11764706,1,Linear,0.4,1.0
86,Landsat Satellite,3.3471213266952002,Linear,0.71794872,2,Linear,0.4,1.0
87,Pen-Based Recognition of Handwritten Text (Local),3.692559286111093,KMeans,0.52631579,3,Linear,0.4,1.0
88,Object Images,6.324474571663286,Gaussian,0.06772229,4,Linear,0.4,1.0
89,exchange-4_cpm_results.csv,12.610785612075418,KMeans,0.75,5,KMeans,0.4,1.0
90,exchange-3_cpc_results.csv,12.702991262930318,Linear,0.57142857,6,Linear,0.4,1.0
