,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
1,rogue_agent_key_updown.csv,0.0,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0
2,,,,,,,,
3,rogue_agent_key_updown.csv,0,Gaussian,0.00083455,0,Gaussian,0.00083455,1
4,rogue_agent_key_hold.csv,0.0,Linear,0.003367,1,Linear,0.00075245,0.9999179
5,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.3333333333333333,0.6666393
0,,,,,2.0,,0.0,0.0
0,,,,,3.0,,0.0,0.0
0,,,,,4.0,,0.0,0.0
0,,,,,5.0,,0.0,0.0
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
