,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
1,rogue_agent_key_updown.csv,1.3414564e+21,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.0
2,rogue_agent_key_hold.csv,1.4055723e+21,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.0
3,,,,,,,,,
4,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
5,rogue_agent_key_updown.csv,1.7261974e+21,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.1
6,rogue_agent_key_hold.csv,1.7903133e+21,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.1
7,,,,,,,,,
8,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
9,rogue_agent_key_updown.csv,2.7016075e+21,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.2
10,rogue_agent_key_hold.csv,2.7657233e+21,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.2
11,,,,,,,,,
12,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
13,rogue_agent_key_updown.csv,4.9042607e+21,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.30000000000000004
14,rogue_agent_key_hold.csv,4.968377e+21,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.30000000000000004
15,,,,,,,,,
16,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
17,rogue_agent_key_updown.csv,1.0083372e+22,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.4
18,rogue_agent_key_hold.csv,1.0147487e+22,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.4
19,,,,,,,,,
20,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
21,rogue_agent_key_updown.csv,2.3300888e+22,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.5
22,rogue_agent_key_hold.csv,2.3365004e+22,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.5
23,,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
25,rogue_agent_key_updown.csv,6.0415676e+22,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.6000000000000001
26,rogue_agent_key_hold.csv,6.0479794e+22,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.6000000000000001
27,,,,,,,,,
