,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
1,rogue_agent_key_hold.csv,4.73221208811572,Linear,0.003367,1,Linear,0.0663518,0.99862951,0.0
2,rogue_agent_key_updown.csv,4.754337003315008,Gaussian,0.00083455,2,Gaussian,0.06772229,1.0,0.0
3,,,,,,,,,
4,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
5,rogue_agent_key_hold.csv,4.73221208811572,Linear,0.003367,1,Linear,0.0663518,0.99862951,0.1
6,rogue_agent_key_updown.csv,4.754337003315008,Gaussian,0.00083455,2,Gaussian,0.06772229,1.0,0.1
7,,,,,,,,,
8,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
9,rogue_agent_key_hold.csv,4.73221208811572,Linear,0.003367,1,Linear,0.0663518,0.99862951,0.2
10,rogue_agent_key_updown.csv,4.754337003315008,Gaussian,0.00083455,2,Gaussian,0.06772229,1.0,0.2
11,,,,,,,,,
12,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
13,rogue_agent_key_hold.csv,4.73221208811572,Linear,0.003367,1,Linear,0.0663518,0.99862951,0.30000000000000004
14,rogue_agent_key_updown.csv,4.754337003315008,Gaussian,0.00083455,2,Gaussian,0.06772229,1.0,0.30000000000000004
15,,,,,,,,,
16,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
17,rogue_agent_key_hold.csv,4.73221208811572,Linear,0.003367,1,Linear,0.0663518,0.99862951,0.4
18,rogue_agent_key_updown.csv,4.754337003315008,Gaussian,0.00083455,2,Gaussian,0.06772229,1.0,0.4
19,,,,,,,,,
20,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
21,rogue_agent_key_hold.csv,4.73221208811572,Linear,0.003367,1,Linear,0.0663518,0.99862951,0.5
22,rogue_agent_key_updown.csv,4.754337003315008,Gaussian,0.00083455,2,Gaussian,0.06772229,1.0,0.5
23,,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
25,rogue_agent_key_hold.csv,4.73221208811572,Linear,0.003367,1,Linear,0.0663518,0.99862951,0.6000000000000001
26,rogue_agent_key_updown.csv,4.754337003315008,Gaussian,0.00083455,2,Gaussian,0.06772229,1.0,0.6000000000000001
27,,,,,,,,,
28,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
29,rogue_agent_key_hold.csv,4.73221208811572,Linear,0.003367,1,Linear,0.0663518,0.99862951,0.7000000000000001
30,rogue_agent_key_updown.csv,4.754337003315008,Gaussian,0.00083455,2,Gaussian,0.06772229,1.0,0.7000000000000001
31,,,,,,,,,
32,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
33,rogue_agent_key_hold.csv,4.73221208811572,Linear,0.003367,1,Linear,0.0663518,0.99862951,0.8
34,rogue_agent_key_updown.csv,4.754337003315008,Gaussian,0.00083455,2,Gaussian,0.06772229,1.0,0.8
35,,,,,,,,,
