,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
1,rogue_agent_key_updown.csv,1365398124.9144106,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.0
2,rogue_agent_key_hold.csv,1430656226.6923182,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.0
3,,,,,,,,,
4,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
5,rogue_agent_key_updown.csv,1669398808.119302,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.1
6,rogue_agent_key_hold.csv,1731405830.286359,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.1
7,,,,,,,,,
8,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
9,rogue_agent_key_updown.csv,6211696690.078132,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.2
10,rogue_agent_key_hold.csv,6359119694.652126,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.2
11,,,,,,,,,
12,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
13,rogue_agent_key_updown.csv,3576313766.842088,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.30000000000000004
14,rogue_agent_key_hold.csv,3623068648.065893,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.30000000000000004
15,,,,,,,,,
16,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
17,rogue_agent_key_updown.csv,29849653620.286922,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.4
18,rogue_agent_key_hold.csv,30039455738.522636,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.4
19,,,,,,,,,
20,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
21,rogue_agent_key_updown.csv,33671675051.171482,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.5
22,rogue_agent_key_hold.csv,33764326841.41202,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.5
23,,,,,,,,,
