,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
1,rogue_agent_key_updown.csv,3756370.375474688,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.0
2,rogue_agent_key_hold.csv,4028819.2877469813,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.0
3,,,,,,,,,
4,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
5,rogue_agent_key_updown.csv,4539476.856178209,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.1
6,rogue_agent_key_hold.csv,4812201.378991123,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.1
7,,,,,,,,,
8,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
9,rogue_agent_key_updown.csv,8899246.093467988,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.2
10,rogue_agent_key_hold.csv,9245273.45308284,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.2
11,,,,,,,,,
12,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
13,rogue_agent_key_updown.csv,20115181.220894955,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.30000000000000004
14,rogue_agent_key_hold.csv,20565040.62394786,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.30000000000000004
15,,,,,,,,,
16,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
17,rogue_agent_key_updown.csv,40585996.36672031,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.4
18,rogue_agent_key_hold.csv,41075473.75027536,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.4
19,,,,,,,,,
20,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
21,rogue_agent_key_updown.csv,78688498.2861631,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.5
22,rogue_agent_key_hold.csv,79349361.40829399,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.5
23,,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
25,rogue_agent_key_updown.csv,143338699.2249808,Gaussian,0.00083455,1,Gaussian,0.06772229,1.0,0.6000000000000001
26,rogue_agent_key_hold.csv,144172600.9528714,Linear,0.003367,2,Gaussian,0.06772229,1.0,0.6000000000000001
27,,,,,,,,,
28,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
