,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,Thyroid Disease,3.4641016151377544,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.0
2,,,,,,,,,
3,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
4,Thyroid Disease,3.5227829907617076,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.1
5,,,,,,,,,
6,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
7,Thyroid Disease,3.6581962768555765,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.2
8,,,,,,,,,
9,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
10,Thyroid Disease,3.9213079450611885,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.30000000000000004
11,,,,,,,,,
12,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
13,Thyroid Disease,4.424514183500828,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.4
14,,,,,,,,,
15,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
16,Thyroid Disease,5.403066995697906,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.5
17,,,,,,,,,
18,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
19,Thyroid Disease,7.333178599870592,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.6000000000000001
20,,,,,,,,,
21,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
22,Thyroid Disease,11.165962135493029,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.7000000000000001
23,,,,,,,,,
24,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
25,Thyroid Disease,18.856560152172385,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.8
26,,,,,,,,,
27,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
28,Thyroid Disease,34.63780255496455,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.9
29,,,,,,,,,
30,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
31,Thyroid Disease,68.10301717829273,KMeans,0.22317597,1,KMeans,0.83333333,1.0,1.0
32,,,,,,,,,
33,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
34,Breast Cancer Diagnostic,68.10301717829273,KMeans,0.83333333,1,KMeans,0.22317597,1.0,0.0
35,,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
37,Breast Cancer Diagnostic,68.20293102384116,KMeans,0.83333333,1,KMeans,0.22317597,1.0,0.1
38,,,,,,,,,
39,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
40,Breast Cancer Diagnostic,68.42274237010699,KMeans,0.83333333,1,KMeans,0.22317597,1.0,0.2
41,,,,,,,,,
42,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
43,Breast Cancer Diagnostic,68.81840583166537,KMeans,0.83333333,1,KMeans,0.22317597,1.0,0.30000000000000004
44,,,,,,,,,
45,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
46,Breast Cancer Diagnostic,69.50423157884546,KMeans,0.83333333,1,KMeans,0.22317597,1.0,0.4
47,,,,,,,,,
48,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
49,Breast Cancer Diagnostic,70.70445345418668,KMeans,0.83333333,1,KMeans,0.22317597,1.0,0.5
50,,,,,,,,,
51,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
52,Breast Cancer Diagnostic,72.86493406511735,KMeans,0.83333333,1,KMeans,0.22317597,1.0,0.6000000000000001
53,,,,,,,,,
54,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
55,Breast Cancer Diagnostic,76.89808378590581,KMeans,0.83333333,1,KMeans,0.22317597,1.0,0.7000000000000001
56,,,,,,,,,
57,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
58,Breast Cancer Diagnostic,84.7347021978026,KMeans,0.83333333,1,KMeans,0.22317597,1.0,0.8
59,,,,,,,,,
60,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
61,Breast Cancer Diagnostic,100.60615277909386,KMeans,0.83333333,1,KMeans,0.22317597,1.0,0.9
62,,,,,,,,,
63,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
64,Breast Cancer Diagnostic,134.11834228362406,KMeans,0.83333333,1,KMeans,0.22317597,1.0,1.0
65,,,,,,,,,
0,,,,,K,,Method match,Accuracy,
0,,,,,1.0,,11.0,11.0,
0,,,,,2.0,,0.0,0.0,
0,,,,,3.0,,0.0,0.0,
0,,,,,4.0,,0.0,0.0,
0,,,,,5.0,,0.0,0.0,
0,,,,,6.0,,0.0,0.0,
0,,,,,7.0,,0.0,0.0,
0,,,,,8.0,,0.0,0.0,
0,,,,,9.0,,0.0,0.0,
0,,,,,10.0,,0.0,0.0,
