,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.0
2,,,,,,,,,
3,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
4,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.1
5,,,,,,,,,
6,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
7,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.2
8,,,,,,,,,
9,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
10,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.30000000000000004
11,,,,,,,,,
12,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
13,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.4
14,,,,,,,,,
15,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
16,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.5
17,,,,,,,,,
18,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
19,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.6000000000000001
20,,,,,,,,,
21,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
22,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.7000000000000001
23,,,,,,,,,
24,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
25,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.8
26,,,,,,,,,
27,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
28,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.83333333,1.0,0.9
29,,,,,,,,,
30,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
31,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.83333333,1.0,1.0
32,,,,,,,,,
0,,,,,K,,Method match,Accuracy,
0,,,,,1.0,,5.5,5.5,
0,,,,,2.0,,0.0,0.0,
0,,,,,3.0,,0.0,0.0,
0,,,,,4.0,,0.0,0.0,
0,,,,,5.0,,0.0,0.0,
0,,,,,6.0,,0.0,0.0,
0,,,,,7.0,,0.0,0.0,
0,,,,,8.0,,0.0,0.0,
0,,,,,9.0,,0.0,0.0,
0,,,,,10.0,,0.0,0.0,
