,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_AMZN.csv,0.0026204586,KMeans,0.66666667,1,KMeans,0.4,1.0
2,Twitter_volume_PFE.csv,0.0028793812,KMeans,0.42857143,2,KMeans,0.4,1.0
3,Twitter_volume_GOOG.csv,0.006420374,Linear,0.4,3,KMeans,0.4,1.0
4,Twitter_volume_IBM.csv,0.019067168,Linear,0.5,4,KMeans,0.4,1.0
5,Twitter_volume_UPS.csv,0.06842309,Linear,0.28571429,5,Linear,0.4,1.0
6,Twitter_volume_CRM.csv,0.113074556,KMeans,0.54545455,6,KMeans,0.4,1.0
7,Twitter_volume_CVS.csv,0.13853455,Linear,0.66666667,7,Linear,0.4,1.0
8,Twitter_volume_FB.csv,0.24431548,Linear,1.0,8,Linear,0.4,1.0
9,Twitter_volume_KO.csv,0.2550266,Linear,0.8,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_IBM.csv,0.012394667,Linear,0.5,1,Linear,0.28571429,1.0
13,Twitter_volume_PFE.csv,0.06627536,KMeans,0.42857143,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_CVS.csv,0.07750434,Linear,0.66666667,3,Linear,0.28571429,1.0
15,Twitter_volume_GOOG.csv,0.080860525,Linear,0.4,4,Linear,0.28571429,1.0
16,Twitter_volume_AMZN.csv,0.086223215,KMeans,0.66666667,5,Linear,0.28571429,1.0
17,Twitter_volume_CRM.csv,0.116796464,KMeans,0.54545455,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_UPS.csv,0.14146945,Linear,0.28571429,7,Linear,0.28571429,1.0
19,Twitter_volume_FB.csv,0.159899,Linear,1.0,8,Linear,0.28571429,1.0
20,Twitter_volume_KO.csv,0.16446781,Linear,0.8,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_IBM.csv,0.012776911,Linear,0.5,1,Linear,0.8,1.0
24,Twitter_volume_CVS.csv,0.041170537,Linear,0.66666667,2,Linear,0.8,1.0
25,Twitter_volume_PFE.csv,0.09509224,KMeans,0.42857143,3,Linear,0.8,1.0
26,Twitter_volume_GOOG.csv,0.0965884,Linear,0.4,4,Linear,0.8,1.0
27,Twitter_volume_CRM.csv,0.103364855,KMeans,0.54545455,5,Linear,0.8,1.0
28,Twitter_volume_AMZN.csv,0.10517681,KMeans,0.66666667,6,KMeans,0.8,1.0
29,Twitter_volume_FB.csv,0.14354467,Linear,1.0,7,Linear,0.8,1.0
30,Twitter_volume_KO.csv,0.16106105,Linear,0.8,8,Linear,0.8,1.0
31,Twitter_volume_UPS.csv,0.1643933,Linear,0.28571429,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_IBM.csv,0.0239802,Linear,0.5,1,Linear,0.4,1.0
35,Twitter_volume_PFE.csv,0.031608522,KMeans,0.42857143,2,KMeans,0.4,1.0
36,Twitter_volume_GOOG.csv,0.04217434,Linear,0.4,3,Linear,0.4,1.0
37,Twitter_volume_AMZN.csv,0.050553083,KMeans,0.66666667,4,KMeans,0.4,1.0
38,Twitter_volume_CRM.csv,0.079603374,KMeans,0.54545455,5,KMeans,0.4,1.0
39,Twitter_volume_CVS.csv,0.10010046,Linear,0.66666667,6,KMeans,0.4,1.0
40,Twitter_volume_UPS.csv,0.103972524,Linear,0.28571429,7,Linear,0.4,1.0
41,Twitter_volume_KO.csv,0.1523956,Linear,0.8,8,Linear,0.4,1.0
42,Twitter_volume_FB.csv,0.17770243,Linear,1.0,9,Linear,0.4,1.0
43,,,,,,,,
44,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
45,Twitter_volume_IBM.csv,0.0073933005,Linear,0.5,1,Linear,0.66666667,1.0
46,Twitter_volume_PFE.csv,0.03591749,KMeans,0.42857143,2,KMeans,0.66666667,1.0
47,Twitter_volume_GOOG.csv,0.048857838,Linear,0.4,3,Linear,0.66666667,1.0
48,Twitter_volume_AMZN.csv,0.06242591,KMeans,0.66666667,4,KMeans,0.66666667,1.0
49,Twitter_volume_KO.csv,0.1021353,Linear,0.8,5,Linear,0.66666667,1.0
50,Twitter_volume_CVS.csv,0.103000045,Linear,0.66666667,6,Linear,0.66666667,1.0
51,Twitter_volume_CRM.csv,0.11074969,KMeans,0.54545455,7,Linear,0.66666667,1.0
52,Twitter_volume_UPS.csv,0.120800406,Linear,0.28571429,8,Linear,0.66666667,1.0
53,Twitter_volume_FB.csv,0.14522898,Linear,1.0,9,Linear,0.66666667,1.0
54,,,,,,,,
55,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
56,Twitter_volume_IBM.csv,0.0015932024,Linear,0.5,1,Linear,1.0,1.0
57,Twitter_volume_GOOG.csv,0.050777495,Linear,0.4,2,Linear,1.0,1.0
58,Twitter_volume_PFE.csv,0.056943774,KMeans,0.42857143,3,Linear,1.0,1.0
59,Twitter_volume_AMZN.csv,0.06317091,KMeans,0.66666667,4,KMeans,1.0,1.0
60,Twitter_volume_CVS.csv,0.073952794,Linear,0.66666667,5,Linear,1.0,1.0
61,Twitter_volume_CRM.csv,0.11465269,KMeans,0.54545455,6,KMeans,1.0,1.0
62,Twitter_volume_UPS.csv,0.12400195,Linear,0.28571429,7,Linear,1.0,1.0
63,Twitter_volume_FB.csv,0.16990283,Linear,1.0,8,Linear,1.0,1.0
64,Twitter_volume_KO.csv,0.19337025,Linear,0.8,9,Linear,1.0,1.0
65,,,,,,,,
66,Twitter_volume_IBM.csv,0,Linear,0.5,0,Linear,0.5,1
67,Twitter_volume_IBM.csv,0.0012256205,Linear,0.5,1,Linear,0.5,1.0
68,Twitter_volume_PFE.csv,0.043563724,KMeans,0.42857143,2,KMeans,0.5,1.0
69,Twitter_volume_GOOG.csv,0.063278794,Linear,0.4,3,Linear,0.5,1.0
70,Twitter_volume_AMZN.csv,0.070965946,KMeans,0.66666667,4,KMeans,0.5,1.0
71,Twitter_volume_CVS.csv,0.090655774,Linear,0.66666667,5,Linear,0.5,1.0
72,Twitter_volume_CRM.csv,0.11033359,KMeans,0.54545455,6,KMeans,0.5,1.0
73,Twitter_volume_UPS.csv,0.13083893,Linear,0.28571429,7,Linear,0.5,1.0
74,Twitter_volume_FB.csv,0.18536785,Linear,1.0,8,Linear,0.5,1.0
75,Twitter_volume_KO.csv,0.2029607,Linear,0.8,9,Linear,0.5,1.0
76,,,,,,,,
77,Twitter_volume_CRM.csv,0,KMeans,0.54545455,0,KMeans,0.54545455,1
78,Twitter_volume_GOOG.csv,0.0014483631,Linear,0.4,1,Linear,0.5,0.95454545
79,Twitter_volume_PFE.csv,0.0043111444,KMeans,0.42857143,2,KMeans,0.54545455,1.0
80,Twitter_volume_AMZN.csv,0.006382853,KMeans,0.66666667,3,KMeans,0.54545455,1.0
81,Twitter_volume_IBM.csv,0.021221817,Linear,0.5,4,KMeans,0.54545455,1.0
82,Twitter_volume_UPS.csv,0.08178547,Linear,0.28571429,5,Linear,0.5,0.95454545
