,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_CRM.csv,23.73915059995749,KMeans,0.54545455,1,KMeans,0.4,1.0
2,Twitter_volume_IBM.csv,37.42514364054939,Linear,0.5,2,KMeans,0.4,1.0
3,Twitter_volume_AMZN.csv,44.700468213768524,KMeans,0.66666667,3,KMeans,0.4,1.0
4,Twitter_volume_UPS.csv,45.32003051431997,Linear,0.28571429,4,KMeans,0.4,1.0
5,Twitter_volume_GOOG.csv,47.50425365569634,Linear,0.4,5,Linear,0.4,1.0
6,Twitter_volume_PFE.csv,56.09750489667773,KMeans,0.42857143,6,KMeans,0.4,1.0
7,Twitter_volume_KO.csv,59.31590615887582,Linear,0.8,7,Linear,0.4,1.0
8,Twitter_volume_CVS.csv,63.82685454547779,Linear,0.66666667,8,Linear,0.4,1.0
9,Twitter_volume_FB.csv,64.6467583352805,Linear,1.0,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_PFE.csv,24.955471285249132,KMeans,0.42857143,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_GOOG.csv,37.50074731374101,Linear,0.4,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_IBM.csv,42.78466606853557,Linear,0.5,3,Linear,0.28571429,1.0
15,Twitter_volume_CVS.csv,43.007526250187595,Linear,0.66666667,4,Linear,0.28571429,1.0
16,Twitter_volume_CRM.csv,43.4987380371773,KMeans,0.54545455,5,Linear,0.28571429,1.0
17,Twitter_volume_AMZN.csv,43.93040871109717,KMeans,0.66666667,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_AAPL.csv,45.32003051431997,Linear,0.4,7,Linear,0.28571429,1.0
19,Twitter_volume_KO.csv,60.304260872397876,Linear,0.8,8,Linear,0.28571429,1.0
20,Twitter_volume_FB.csv,67.63302947877291,Linear,1.0,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_FB.csv,33.96568641611644,Linear,1.0,1,Linear,0.8,1.0
24,Twitter_volume_AMZN.csv,42.513383673791736,KMeans,0.66666667,2,KMeans,0.8,1.0
25,Twitter_volume_GOOG.csv,45.756298080316256,Linear,0.4,3,Linear,0.8,1.0
26,Twitter_volume_CVS.csv,53.73777967831638,Linear,0.66666667,4,Linear,0.8,1.0
27,Twitter_volume_AAPL.csv,59.31590615887582,Linear,0.4,5,Linear,0.8,1.0
28,Twitter_volume_CRM.csv,59.95313596984146,KMeans,0.54545455,6,Linear,0.8,1.0
29,Twitter_volume_UPS.csv,60.304260872397876,Linear,0.28571429,7,Linear,0.8,1.0
30,Twitter_volume_IBM.csv,61.06935039652797,Linear,0.5,8,Linear,0.8,1.0
31,Twitter_volume_PFE.csv,62.75423441268786,KMeans,0.42857143,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_AMZN.csv,22.972178164275313,KMeans,0.66666667,1,KMeans,0.4,1.0
35,Twitter_volume_FB.csv,36.63262407311251,Linear,1.0,2,KMeans,0.4,1.0
36,Twitter_volume_UPS.csv,37.50074731374101,Linear,0.28571429,3,Linear,0.4,1.0
37,Twitter_volume_PFE.csv,37.901671666757366,KMeans,0.42857143,4,KMeans,0.4,1.0
38,Twitter_volume_KO.csv,45.756298080316256,Linear,0.8,5,Linear,0.4,1.0
39,Twitter_volume_AAPL.csv,47.50425365569634,Linear,0.4,6,Linear,0.4,1.0
40,Twitter_volume_IBM.csv,49.78265056929121,Linear,0.5,7,Linear,0.4,1.0
41,Twitter_volume_CRM.csv,50.250357075221544,KMeans,0.54545455,8,Linear,0.4,1.0
42,Twitter_volume_CVS.csv,51.29297154737971,Linear,0.66666667,9,Linear,0.4,1.0
43,,,,,,,,
44,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
45,Twitter_volume_PFE.csv,25.72133335662595,KMeans,0.42857143,1,KMeans,0.66666667,1.0
46,Twitter_volume_UPS.csv,43.007526250187595,Linear,0.28571429,2,KMeans,0.66666667,1.0
47,Twitter_volume_AMZN.csv,44.508924695620564,KMeans,0.66666667,3,KMeans,0.66666667,1.0
48,Twitter_volume_GOOG.csv,51.29297154737971,Linear,0.4,4,KMeans,0.66666667,1.0
49,Twitter_volume_KO.csv,53.73777967831638,Linear,0.8,5,Linear,0.66666667,1.0
50,Twitter_volume_CRM.csv,56.14187815205639,KMeans,0.54545455,6,KMeans,0.66666667,1.0
51,Twitter_volume_FB.csv,59.750295843111516,Linear,1.0,7,Linear,0.66666667,1.0
