,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_AMZN.csv,0.5197463794439461,KMeans,0.66666667,1,KMeans,0.4,1.0
2,Twitter_volume_CVS.csv,1.0320696311641155,Linear,0.66666667,2,KMeans,0.4,1.0
3,Twitter_volume_CRM.csv,2.063265076063013,KMeans,0.54545455,3,KMeans,0.4,1.0
4,Twitter_volume_GOOG.csv,2.45285310900623,Linear,0.4,4,KMeans,0.4,1.0
5,Twitter_volume_UPS.csv,3.4974807094144786,Linear,0.28571429,5,Linear,0.4,1.0
6,Twitter_volume_IBM.csv,3.6503745368954226,Linear,0.5,6,Linear,0.4,1.0
7,Twitter_volume_PFE.csv,3.914467402390981,KMeans,0.42857143,7,Linear,0.4,1.0
8,Twitter_volume_KO.csv,14.253043628787355,Linear,0.8,8,Linear,0.4,1.0
9,Twitter_volume_FB.csv,23.982124949201257,Linear,1.0,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_PFE.csv,0.8249995476564855,KMeans,0.42857143,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_AMZN.csv,2.0406125568262627,KMeans,0.66666667,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_CRM.csv,2.473849831620405,KMeans,0.54545455,3,KMeans,0.22222222,0.93650793
15,Twitter_volume_GOOG.csv,3.2500368831671036,Linear,0.4,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_AAPL.csv,3.6115390912648246,Linear,0.4,5,KMeans,0.22222222,0.93650793
17,Twitter_volume_CVS.csv,4.914079417760246,Linear,0.66666667,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_IBM.csv,7.370243511173797,Linear,0.5,7,Linear,0.28571429,1.0
19,Twitter_volume_KO.csv,19.393638293129293,Linear,0.8,8,Linear,0.28571429,1.0
20,Twitter_volume_FB.csv,31.974994571080877,Linear,1.0,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_FB.csv,11.883907223894955,Linear,1.0,1,Linear,0.8,1.0
24,Twitter_volume_PFE.csv,15.932084536076168,KMeans,0.42857143,2,KMeans,0.8,1.0
25,Twitter_volume_UPS.csv,16.465622472417664,Linear,0.28571429,3,Linear,0.8,1.0
26,Twitter_volume_AMZN.csv,16.66144741099826,KMeans,0.66666667,4,KMeans,0.8,1.0
27,Twitter_volume_CRM.csv,19.206187972019226,KMeans,0.54545455,5,KMeans,0.8,1.0
28,Twitter_volume_AAPL.csv,20.47780114751728,Linear,0.4,6,KMeans,0.8,1.0
29,Twitter_volume_GOOG.csv,21.758753001518862,Linear,0.4,7,Linear,0.8,1.0
30,Twitter_volume_CVS.csv,21.809499067585108,Linear,0.66666667,8,Linear,0.8,1.0
31,Twitter_volume_IBM.csv,24.58382202513739,Linear,0.5,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_IBM.csv,0.620369884763019,Linear,0.5,1,Linear,0.4,1.0
35,Twitter_volume_CVS.csv,2.4196452447400354,Linear,0.66666667,2,Linear,0.4,1.0
36,Twitter_volume_AAPL.csv,3.76032788522779,Linear,0.4,3,Linear,0.4,1.0
37,Twitter_volume_AMZN.csv,3.8051270885784794,KMeans,0.66666667,4,Linear,0.4,1.0
38,Twitter_volume_CRM.csv,5.60263231914962,KMeans,0.54545455,5,Linear,0.4,1.0
39,Twitter_volume_UPS.csv,8.079429899830403,Linear,0.28571429,6,Linear,0.4,1.0
40,Twitter_volume_PFE.csv,8.41497448017551,KMeans,0.42857143,7,Linear,0.4,1.0
41,Twitter_volume_KO.csv,18.624820245894817,Linear,0.8,8,Linear,0.4,1.0
42,Twitter_volume_FB.csv,29.09670501904216,Linear,1.0,9,Linear,0.4,1.0
43,,,,,,,,
44,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
45,Twitter_volume_GOOG.csv,0.5257935717158224,Linear,0.4,1,Linear,0.66666667,1.0
46,Twitter_volume_AAPL.csv,1.1375764581688879,Linear,0.4,2,Linear,0.66666667,1.0
47,Twitter_volume_IBM.csv,2.9084382011413816,Linear,0.5,3,Linear,0.66666667,1.0
48,Twitter_volume_CRM.csv,3.211875039018924,KMeans,0.54545455,4,Linear,0.66666667,1.0
49,Twitter_volume_AMZN.csv,5.089684504134157,KMeans,0.66666667,5,Linear,0.66666667,1.0
50,Twitter_volume_UPS.csv,5.29097645853623,Linear,0.28571429,6,Linear,0.66666667,1.0
51,Twitter_volume_PFE.csv,5.5073263505963315,KMeans,0.42857143,7,Linear,0.66666667,1.0
52,Twitter_volume_KO.csv,22.954764363859447,Linear,0.8,8,Linear,0.66666667,1.0
53,Twitter_volume_FB.csv,35.22989391951802,Linear,1.0,9,Linear,0.66666667,1.0
54,,,,,,,,
55,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
56,Twitter_volume_KO.csv,8.943356461949179,Linear,0.8,1,Linear,1.0,1.0
57,Twitter_volume_PFE.csv,20.548938606244377,KMeans,0.42857143,2,KMeans,1.0,1.0
58,Twitter_volume_UPS.csv,21.138302882334067,Linear,0.28571429,3,Linear,1.0,1.0
59,Twitter_volume_AMZN.csv,21.348631840046565,KMeans,0.66666667,4,KMeans,1.0,1.0
60,Twitter_volume_CRM.csv,22.508837542941677,KMeans,0.54545455,5,KMeans,1.0,1.0
61,Twitter_volume_AAPL.csv,23.79228821493997,Linear,0.4,6,KMeans,1.0,1.0
62,Twitter_volume_GOOG.csv,24.409465514849877,Linear,0.4,7,Linear,1.0,1.0
63,Twitter_volume_CVS.csv,24.70896584669685,Linear,0.66666667,8,Linear,1.0,1.0
64,Twitter_volume_IBM.csv,26.660415528051765,Linear,0.5,9,Linear,1.0,1.0
65,,,,,,,,
66,Twitter_volume_IBM.csv,0,Linear,0.5,0,Linear,0.5,1
67,Twitter_volume_GOOG.csv,0.7233532880173268,Linear,0.4,1,Linear,0.5,1.0
68,Twitter_volume_CVS.csv,2.2094938266903474,Linear,0.66666667,2,Linear,0.5,1.0
69,Twitter_volume_AAPL.csv,3.0197082641280257,Linear,0.4,3,Linear,0.5,1.0
70,Twitter_volume_AMZN.csv,3.3568769701839045,KMeans,0.66666667,4,Linear,0.5,1.0
71,Twitter_volume_CRM.csv,4.51474175191533,KMeans,0.54545455,5,Linear,0.5,1.0
72,Twitter_volume_UPS.csv,5.937964072809913,Linear,0.28571429,6,Linear,0.5,1.0
73,Twitter_volume_PFE.csv,6.029141457411186,KMeans,0.42857143,7,Linear,0.5,1.0
74,Twitter_volume_KO.csv,14.126620327462788,Linear,0.8,8,Linear,0.5,1.0
75,Twitter_volume_FB.csv,21.61077735829291,Linear,1.0,9,Linear,0.5,1.0
76,,,,,,,,
77,Twitter_volume_CRM.csv,0,KMeans,0.54545455,0,KMeans,0.54545455,1
78,Twitter_volume_UPS.csv,0.9071425583561465,Linear,0.28571429,1,Linear,0.5,0.95454545
79,Twitter_volume_GOOG.csv,1.073596694176469,Linear,0.4,2,Linear,0.5,0.95454545
80,Twitter_volume_AAPL.csv,1.1928804960350745,Linear,0.4,3,Linear,0.5,0.95454545
81,Twitter_volume_AMZN.csv,1.29753408319531,KMeans,0.66666667,4,Linear,0.5,0.95454545
82,Twitter_volume_PFE.csv,1.4057445157020991,KMeans,0.42857143,5,Linear,0.5,0.95454545
83,Twitter_volume_CVS.csv,1.901881777654899,Linear,0.66666667,6,Linear,0.5,0.95454545
84,Twitter_volume_IBM.csv,3.428408433938128,Linear,0.5,7,Linear,0.5,0.95454545
85,Twitter_volume_KO.csv,11.93465781635156,Linear,0.8,8,Linear,0.5,0.95454545
86,Twitter_volume_FB.csv,19.509300346737994,Linear,1.0,9,Linear,0.5,0.95454545
87,,,,,,,,
88,Twitter_volume_PFE.csv,0,KMeans,0.42857143,0,KMeans,0.42857143,1
89,Twitter_volume_UPS.csv,0.4391418151184219,Linear,0.28571429,1,Linear,0.36363636,0.93506493
90,Twitter_volume_AMZN.csv,0.7827859388308269,KMeans,0.66666667,2,KMeans,0.42857143,1.0
91,Twitter_volume_CRM.csv,2.1343270151684894,KMeans,0.54545455,3,KMeans,0.42857143,1.0
92,Twitter_volume_AAPL.csv,3.649467573240395,Linear,0.4,4,KMeans,0.42857143,1.0
93,Twitter_volume_GOOG.csv,4.417675929593471,Linear,0.4,5,Linear,0.36363636,0.93506493
94,Twitter_volume_CVS.csv,4.6490908699620945,Linear,0.66666667,6,Linear,0.36363636,0.93506493
95,Twitter_volume_IBM.csv,6.941334995368051,Linear,0.5,7,Linear,0.36363636,0.93506493
96,Twitter_volume_KO.csv,13.343735073439476,Linear,0.8,8,Linear,0.36363636,0.93506493
97,Twitter_volume_FB.csv,23.332185365151314,Linear,1.0,9,Linear,0.36363636,0.93506493
98,,,,,,,,
99,Twitter_volume_AMZN.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
100,Twitter_volume_UPS.csv,0.7587327527357104,Linear,0.28571429,1,Linear,0.57142857,0.9047619
101,Twitter_volume_PFE.csv,1.1697295799635317,KMeans,0.42857143,2,KMeans,0.66666667,1.0
102,Twitter_volume_CRM.csv,1.2120062954707684,KMeans,0.54545455,3,KMeans,0.66666667,1.0
103,Twitter_volume_AAPL.csv,3.2797640272939823,Linear,0.4,4,KMeans,0.66666667,1.0
104,Twitter_volume_GOOG.csv,4.150134531645514,Linear,0.4,5,Linear,0.57142857,0.9047619
105,Twitter_volume_CVS.csv,4.467696382786872,Linear,0.66666667,6,Linear,0.57142857,0.9047619
106,Twitter_volume_IBM.csv,7.219630141971076,Linear,0.5,7,Linear,0.57142857,0.9047619
107,Twitter_volume_KO.csv,17.09498814543916,Linear,0.8,8,Linear,0.57142857,0.9047619
108,Twitter_volume_FB.csv,28.993389437046723,Linear,1.0,9,Linear,0.57142857,0.9047619
109,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.6,0.973088021
0,,,,,2.0,,0.8,0.9891053379999999
0,,,,,3.0,,0.8,0.9891053379999999
0,,,,,4.0,,0.8,0.9891053379999999
0,,,,,5.0,,0.6,0.973088021
0,,,,,6.0,,0.6,0.973088021
0,,,,,7.0,,0.7,0.9794372280000001
0,,,,,8.0,,0.7,0.9794372280000001
0,,,,,9.0,,0.7,0.9794372280000001
0,,,,,10.0,,0.0,0.0
