,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.4,1.0
2,Twitter_volume_AMZN.csv,0.026626438,KMeans,0.66666667,2,KMeans,0.4,1.0
3,Twitter_volume_FB.csv,0.07305518,Linear,1.0,3,KMeans,0.4,1.0
4,Twitter_volume_IBM.csv,0.19614056,Linear,0.5,4,KMeans,0.4,1.0
5,Twitter_volume_GOOG.csv,0.2594697,Linear,0.4,5,Linear,0.4,1.0
6,Twitter_volume_KO.csv,0.3787138,Linear,0.8,6,Linear,0.4,1.0
7,Twitter_volume_CVS.csv,0.396729,Linear,0.66666667,7,Linear,0.4,1.0
8,Twitter_volume_PFE.csv,0.42646036,KMeans,0.42857143,8,Linear,0.4,1.0
9,Twitter_volume_UPS.csv,0.43684164,Linear,0.28571429,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_AMZN.csv,0.060836166,KMeans,0.66666667,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_FB.csv,0.107833445,Linear,1.0,3,KMeans,0.22222222,0.93650793
15,Twitter_volume_IBM.csv,0.20945182,Linear,0.5,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_GOOG.csv,0.29840255,Linear,0.4,5,Linear,0.28571429,1.0
17,Twitter_volume_KO.csv,0.42069334,Linear,0.8,6,Linear,0.28571429,1.0
18,Twitter_volume_CVS.csv,0.4393106,Linear,0.66666667,7,Linear,0.28571429,1.0
19,Twitter_volume_PFE.csv,0.46988645,KMeans,0.42857143,8,Linear,0.28571429,1.0
20,Twitter_volume_UPS.csv,0.48133376,Linear,0.28571429,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.8,1.0
24,Twitter_volume_AMZN.csv,0.0526233,KMeans,0.66666667,2,KMeans,0.8,1.0
25,Twitter_volume_FB.csv,0.100283116,Linear,1.0,3,KMeans,0.8,1.0
26,Twitter_volume_IBM.csv,0.21253926,Linear,0.5,4,KMeans,0.8,1.0
27,Twitter_volume_GOOG.csv,0.29430154,Linear,0.4,5,Linear,0.8,1.0
28,Twitter_volume_KO.csv,0.42004955,Linear,0.8,6,Linear,0.8,1.0
29,Twitter_volume_CVS.csv,0.43962067,Linear,0.66666667,7,Linear,0.8,1.0
