,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_UPS.csv,0.0,Linear,0.28571429,1,Linear,0.4,1.0
2,,,,,,,,
3,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
4,Twitter_volume_KO.csv,0.0,Linear,0.8,1,Linear,0.28571429,1.0
5,,,,,,,,
6,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
7,Twitter_volume_GOOG.csv,0.0,Linear,0.4,1,Linear,0.8,1.0
8,,,,,,,,
9,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
10,Twitter_volume_CVS.csv,0.0,Linear,0.66666667,1,Linear,0.4,1.0
11,,,,,,,,
12,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
13,Twitter_volume_FB.csv,0.0,Linear,1.0,1,Linear,0.66666667,1.0
14,,,,,,,,
15,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
16,Twitter_volume_IBM.csv,0.0,Linear,0.5,1,Linear,1.0,1.0
17,,,,,,,,
18,Twitter_volume_IBM.csv,0,Linear,0.5,0,Linear,0.5,1
19,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.5,1.0
20,,,,,,,,
21,Twitter_volume_CRM.csv,0,KMeans,0.54545455,0,KMeans,0.54545455,1
22,Twitter_volume_UPS.csv,0.0,Linear,0.28571429,1,Linear,0.5,0.95454545
23,,,,,,,,
24,Twitter_volume_PFE.csv,0,KMeans,0.42857143,0,KMeans,0.42857143,1
25,Twitter_volume_AMZN.csv,0.0,KMeans,0.66666667,1,KMeans,0.42857143,1.0
26,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.8,0.8954545450000001
0,,,,,2.0,,0.0,0.0
0,,,,,3.0,,0.0,0.0
0,,,,,4.0,,0.0,0.0
0,,,,,5.0,,0.0,0.0
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
