,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.4,1.0
2,Twitter_volume_IBM.csv,0.17201282677865493,Linear,0.5,2,KMeans,0.4,1.0
3,Twitter_volume_UPS.csv,0.5314327513003612,Linear,0.28571429,3,Linear,0.4,1.0
4,Twitter_volume_AMZN.csv,0.5746634193820945,KMeans,0.66666667,4,KMeans,0.4,1.0
5,Twitter_volume_PFE.csv,0.5769464421765844,KMeans,0.42857143,5,KMeans,0.4,1.0
6,Twitter_volume_FB.csv,0.579065715443039,Linear,1.0,6,KMeans,0.4,1.0
7,Twitter_volume_CVS.csv,0.5965115653215827,Linear,0.66666667,7,Linear,0.4,1.0
8,Twitter_volume_KO.csv,0.6031569001394919,Linear,0.8,8,Linear,0.4,1.0
9,Twitter_volume_GOOG.csv,0.6053818029323033,Linear,0.4,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_PFE.csv,0.016387400529012552,KMeans,0.42857143,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_CVS.csv,0.03458066920267555,Linear,0.66666667,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_KO.csv,0.04594630337688255,Linear,0.8,3,Linear,0.28571429,1.0
15,Twitter_volume_IBM.csv,0.051460480207029535,Linear,0.5,4,Linear,0.28571429,1.0
16,Twitter_volume_GOOG.csv,0.09679177391782812,Linear,0.4,5,Linear,0.28571429,1.0
17,Twitter_volume_AAPL.csv,0.1045728932497374,Linear,0.4,6,Linear,0.28571429,1.0
18,Twitter_volume_CRM.csv,0.1045728932497374,KMeans,0.54545455,7,Linear,0.28571429,1.0
19,Twitter_volume_FB.csv,0.16536299845778313,Linear,1.0,8,Linear,0.28571429,1.0
20,Twitter_volume_AMZN.csv,0.1763510389738192,KMeans,0.66666667,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_CVS.csv,0.007244459190057562,Linear,0.66666667,1,Linear,0.8,1.0
24,Twitter_volume_PFE.csv,0.010862659481478631,KMeans,0.42857143,2,KMeans,0.8,1.0
25,Twitter_volume_UPS.csv,0.02678473221982358,Linear,0.28571429,3,Linear,0.8,1.0
26,Twitter_volume_GOOG.csv,0.07404701069439046,Linear,0.4,4,Linear,0.8,1.0
27,Twitter_volume_FB.csv,0.21570963396166576,Linear,1.0,5,Linear,0.8,1.0
28,Twitter_volume_AMZN.csv,0.2566373069894432,KMeans,0.66666667,6,Linear,0.8,1.0
