,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.4,1.0
2,Twitter_volume_IBM.csv,1.0441612279027583,Linear,0.5,2,KMeans,0.4,1.0
3,Twitter_volume_UPS.csv,4.225603383065358,Linear,0.28571429,3,Linear,0.4,1.0
4,Twitter_volume_PFE.csv,5.14286703643356,KMeans,0.42857143,4,KMeans,0.4,1.0
5,Twitter_volume_CVS.csv,5.728396437652283,Linear,0.66666667,5,Linear,0.4,1.0
6,Twitter_volume_KO.csv,5.982191586721397,Linear,0.8,6,Linear,0.4,1.0
7,Twitter_volume_GOOG.csv,7.026352814624287,Linear,0.4,7,Linear,0.4,1.0
8,Twitter_volume_FB.csv,8.070514042527046,Linear,1.0,8,Linear,0.4,1.0
9,Twitter_volume_AMZN.csv,8.275350720141967,KMeans,0.66666667,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_PFE.csv,0.9172636533682017,KMeans,0.42857143,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_CVS.csv,1.5027930545869257,Linear,0.66666667,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_KO.csv,1.756588203656039,Linear,0.8,3,Linear,0.28571429,1.0
15,Twitter_volume_GOOG.csv,2.8007494315589296,Linear,0.4,4,Linear,0.28571429,1.0
16,Twitter_volume_IBM.csv,3.1814421551625993,Linear,0.5,5,Linear,0.28571429,1.0
17,Twitter_volume_FB.csv,3.844910659461688,Linear,1.0,6,Linear,0.28571429,1.0
18,Twitter_volume_AMZN.csv,4.04974733707661,KMeans,0.66666667,7,Linear,0.28571429,1.0
19,Twitter_volume_AAPL.csv,4.225603383065358,Linear,0.4,8,Linear,0.28571429,1.0
20,Twitter_volume_CRM.csv,4.225603383065358,KMeans,0.54545455,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_CVS.csv,0.2537951490691131,Linear,0.66666667,1,Linear,0.8,1.0
24,Twitter_volume_PFE.csv,0.8393245502878368,KMeans,0.42857143,2,KMeans,0.8,1.0
25,Twitter_volume_GOOG.csv,1.0441612279028911,Linear,0.4,3,Linear,0.8,1.0
26,Twitter_volume_UPS.csv,1.756588203656039,Linear,0.28571429,4,Linear,0.8,1.0
27,Twitter_volume_FB.csv,2.088322455805649,Linear,1.0,5,Linear,0.8,1.0
28,Twitter_volume_AMZN.csv,2.2931591334205708,KMeans,0.66666667,6,Linear,0.8,1.0
