,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_IBM.csv,0.041185826,Linear,0.5,1,Linear,0.4,1.0
2,Twitter_volume_PFE.csv,0.0736599,KMeans,0.42857143,2,KMeans,0.4,1.0
3,Twitter_volume_CVS.csv,0.09833175,Linear,0.66666667,3,Linear,0.4,1.0
4,Twitter_volume_GOOG.csv,0.10103783,Linear,0.4,4,Linear,0.4,1.0
5,Twitter_volume_AMZN.csv,0.1083394,KMeans,0.66666667,5,Linear,0.4,1.0
6,Twitter_volume_CRM.csv,0.13040903,KMeans,0.54545455,6,KMeans,0.4,1.0
7,Twitter_volume_FB.csv,0.17017096,Linear,1.0,7,Linear,0.4,1.0
8,Twitter_volume_UPS.csv,0.20177591,Linear,0.28571429,8,Linear,0.4,1.0
9,Twitter_volume_KO.csv,0.22089738,Linear,0.8,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_AMZN.csv,0.0004364848,KMeans,0.66666667,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_GOOG.csv,0.012082189,Linear,0.4,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_IBM.csv,0.01994437,Linear,0.5,3,Linear,0.28571429,1.0
15,Twitter_volume_PFE.csv,0.026577711,KMeans,0.42857143,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_CRM.csv,0.10857794,KMeans,0.54545455,5,KMeans,0.22222222,0.93650793
17,Twitter_volume_CVS.csv,0.13771307,Linear,0.66666667,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_UPS.csv,0.13909015,Linear,0.28571429,7,Linear,0.28571429,1.0
19,Twitter_volume_FB.csv,0.22337651,Linear,1.0,8,Linear,0.28571429,1.0
20,Twitter_volume_KO.csv,0.2336148,Linear,0.8,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_IBM.csv,0.030333638,Linear,0.5,1,Linear,0.8,1.0
24,Twitter_volume_PFE.csv,0.0428254,KMeans,0.42857143,2,KMeans,0.8,1.0
25,Twitter_volume_GOOG.csv,0.071175635,Linear,0.4,3,Linear,0.8,1.0
26,Twitter_volume_AMZN.csv,0.07949805,KMeans,0.66666667,4,KMeans,0.8,1.0
27,Twitter_volume_CRM.csv,0.122576445,KMeans,0.54545455,5,KMeans,0.8,1.0
28,Twitter_volume_CVS.csv,0.12676269,Linear,0.66666667,6,KMeans,0.8,1.0
29,Twitter_volume_UPS.csv,0.17482355,Linear,0.28571429,7,Linear,0.8,1.0
30,Twitter_volume_FB.csv,0.1847158,Linear,1.0,8,Linear,0.8,1.0
31,Twitter_volume_KO.csv,0.22360128,Linear,0.8,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_PFE.csv,0.0006944835,KMeans,0.42857143,1,KMeans,0.4,1.0
35,Twitter_volume_AMZN.csv,0.00086066127,KMeans,0.66666667,2,KMeans,0.4,1.0
36,Twitter_volume_IBM.csv,0.0060239136,Linear,0.5,3,KMeans,0.4,1.0
37,Twitter_volume_GOOG.csv,0.013145149,Linear,0.4,4,KMeans,0.4,1.0
38,Twitter_volume_CRM.csv,0.11626476,KMeans,0.54545455,5,KMeans,0.4,1.0
39,Twitter_volume_UPS.csv,0.11787951,Linear,0.28571429,6,KMeans,0.4,1.0
40,Twitter_volume_CVS.csv,0.16115105,Linear,0.66666667,7,Linear,0.4,1.0
