,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_CRM.csv,22.657874590094245,KMeans,0.54545455,1,KMeans,0.4,1.0
2,Twitter_volume_IBM.csv,35.2636233727407,Linear,0.5,2,KMeans,0.4,1.0
3,Twitter_volume_UPS.csv,44.22637348144302,Linear,0.28571429,3,Linear,0.4,1.0
4,Twitter_volume_AMZN.csv,44.681036885983126,KMeans,0.66666667,4,KMeans,0.4,1.0
5,Twitter_volume_GOOG.csv,47.48791758366438,Linear,0.4,5,Linear,0.4,1.0
6,Twitter_volume_PFE.csv,56.08546779096996,KMeans,0.42857143,6,KMeans,0.4,1.0
7,Twitter_volume_KO.csv,58.24494766819065,Linear,0.8,7,Linear,0.4,1.0
8,Twitter_volume_FB.csv,62.49349208281428,Linear,1.0,8,Linear,0.4,1.0
9,Twitter_volume_CVS.csv,63.81344177054628,Linear,0.66666667,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_PFE.csv,23.87385135807995,KMeans,0.42857143,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_GOOG.csv,36.42342635289603,Linear,0.4,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_IBM.csv,39.52948876784994,Linear,0.5,3,Linear,0.28571429,1.0
15,Twitter_volume_CRM.csv,41.323804994437104,KMeans,0.54545455,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_CVS.csv,41.92728199224215,Linear,0.66666667,5,Linear,0.28571429,1.0
17,Twitter_volume_AMZN.csv,42.85618300600562,KMeans,0.66666667,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_AAPL.csv,44.22637348144302,Linear,0.4,7,Linear,0.28571429,1.0
19,Twitter_volume_KO.csv,58.13964534883576,Linear,0.8,8,Linear,0.28571429,1.0
20,Twitter_volume_FB.csv,64.38610619342975,Linear,1.0,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_FB.csv,32.88337865433539,Linear,1.0,1,Linear,0.8,1.0
24,Twitter_volume_AMZN.csv,41.42299385532118,KMeans,0.66666667,2,KMeans,0.8,1.0
25,Twitter_volume_GOOG.csv,44.66900351759912,Linear,0.4,3,Linear,0.8,1.0
26,Twitter_volume_CVS.csv,52.65340841269972,Linear,0.66666667,4,Linear,0.8,1.0
