,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_GOOG.csv,0.04661630994220811,Linear,0.4,1,Linear,0.4,1.0
2,Twitter_volume_CVS.csv,0.5294142656556464,Linear,0.66666667,2,Linear,0.4,1.0
3,Twitter_volume_CRM.csv,0.9629161383536764,KMeans,0.54545455,3,Linear,0.4,1.0
4,Twitter_volume_UPS.csv,1.0291300736095548,Linear,0.28571429,4,Linear,0.4,1.0
5,Twitter_volume_IBM.csv,1.1634796550711786,Linear,0.5,5,Linear,0.4,1.0
6,Twitter_volume_PFE.csv,1.8764497270295437,KMeans,0.42857143,6,Linear,0.4,1.0
7,Twitter_volume_AMZN.csv,2.1172847592399946,KMeans,0.66666667,7,Linear,0.4,1.0
8,Twitter_volume_KO.csv,8.835461023250906,Linear,0.8,8,Linear,0.4,1.0
9,Twitter_volume_FB.csv,13.327512755246733,Linear,1.0,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_CRM.csv,0.37761750892255685,KMeans,0.54545455,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_AMZN.csv,0.7173939273914933,KMeans,0.66666667,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_PFE.csv,0.8198599525076307,KMeans,0.42857143,3,KMeans,0.22222222,0.93650793
15,Twitter_volume_GOOG.csv,0.9042333243411482,Linear,0.4,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_AAPL.csv,1.1749073899381228,Linear,0.4,5,KMeans,0.22222222,0.93650793
17,Twitter_volume_CVS.csv,1.70309186113803,Linear,0.66666667,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_IBM.csv,2.424952417622002,Linear,0.5,7,Linear,0.28571429,1.0
19,Twitter_volume_KO.csv,8.457265784112838,Linear,0.8,8,Linear,0.28571429,1.0
20,Twitter_volume_FB.csv,13.355744380509433,Linear,1.0,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_FB.csv,7.465457204615149,Linear,1.0,1,Linear,0.8,1.0
24,Twitter_volume_PFE.csv,11.71394965626915,KMeans,0.42857143,2,KMeans,0.8,1.0
25,Twitter_volume_UPS.csv,12.190844051660886,Linear,0.28571429,3,Linear,0.8,1.0
26,Twitter_volume_AMZN.csv,13.140627898311656,KMeans,0.66666667,4,KMeans,0.8,1.0
27,Twitter_volume_CRM.csv,13.213107100412822,KMeans,0.54545455,5,KMeans,0.8,1.0
28,Twitter_volume_AAPL.csv,15.561609516035634,Linear,0.4,6,KMeans,0.8,1.0
29,Twitter_volume_CVS.csv,16.692181473529608,Linear,0.66666667,7,Linear,0.8,1.0
30,Twitter_volume_GOOG.csv,17.647606593957576,Linear,0.4,8,Linear,0.8,1.0
31,Twitter_volume_IBM.csv,18.469182669114534,Linear,0.5,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_IBM.csv,0.3894664078133707,Linear,0.5,1,Linear,0.4,1.0
35,Twitter_volume_CVS.csv,0.8558942685383295,Linear,0.66666667,2,Linear,0.4,1.0
36,Twitter_volume_AAPL.csv,1.7477910170372892,Linear,0.4,3,Linear,0.4,1.0
37,Twitter_volume_AMZN.csv,3.031375895611628,KMeans,0.66666667,4,Linear,0.4,1.0
38,Twitter_volume_CRM.csv,3.578502935637321,KMeans,0.54545455,5,Linear,0.4,1.0
39,Twitter_volume_UPS.csv,3.8070040158960294,Linear,0.28571429,6,Linear,0.4,1.0
40,Twitter_volume_PFE.csv,4.88419341477999,KMeans,0.42857143,7,Linear,0.4,1.0
41,Twitter_volume_KO.csv,13.047912640196895,Linear,0.8,8,Linear,0.4,1.0
42,Twitter_volume_FB.csv,19.471562695375567,Linear,1.0,9,Linear,0.4,1.0
43,,,,,,,,
44,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
45,Twitter_volume_AAPL.csv,0.8499841819996372,Linear,0.4,1,Linear,0.66666667,1.0
46,Twitter_volume_GOOG.csv,0.9232060285228161,Linear,0.4,2,Linear,0.66666667,1.0
47,Twitter_volume_IBM.csv,0.9946081018130646,Linear,0.5,3,Linear,0.66666667,1.0
48,Twitter_volume_AMZN.csv,1.260980339486998,KMeans,0.66666667,4,Linear,0.66666667,1.0
49,Twitter_volume_UPS.csv,2.544496022071088,Linear,0.28571429,5,Linear,0.66666667,1.0
50,Twitter_volume_CRM.csv,2.647603148025502,KMeans,0.54545455,6,Linear,0.66666667,1.0
51,Twitter_volume_PFE.csv,3.64385780735445,KMeans,0.42857143,7,Linear,0.66666667,1.0
52,Twitter_volume_KO.csv,9.791428267206351,Linear,0.8,8,Linear,0.66666667,1.0
53,Twitter_volume_FB.csv,15.37803083250238,Linear,1.0,9,Linear,0.66666667,1.0
54,,,,,,,,
55,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
56,Twitter_volume_KO.csv,9.658616718076054,Linear,0.8,1,Linear,1.0,1.0
57,Twitter_volume_PFE.csv,23.602951765358867,KMeans,0.42857143,2,KMeans,1.0,1.0
