,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_CVS.csv,1.2648709060212582,Linear,0.66666667,1,Linear,0.4,1.0
2,Twitter_volume_KO.csv,3.209443074851592,Linear,0.8,2,Linear,0.4,1.0
3,Twitter_volume_GOOG.csv,3.4398343116981493,Linear,0.4,3,Linear,0.4,1.0
4,Twitter_volume_PFE.csv,4.122464723599602,KMeans,0.42857143,4,Linear,0.4,1.0
5,Twitter_volume_UPS.csv,7.142480753535491,Linear,0.28571429,5,Linear,0.4,1.0
6,Twitter_volume_FB.csv,8.385584418610566,Linear,1.0,6,Linear,0.4,1.0
7,Twitter_volume_IBM.csv,8.608528405308814,Linear,0.5,7,Linear,0.4,1.0
8,Twitter_volume_AMZN.csv,12.188247088659637,KMeans,0.66666667,8,Linear,0.4,1.0
9,Twitter_volume_CRM.csv,16.227977884150658,KMeans,0.54545455,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_CVS.csv,1.2648709060212582,Linear,0.66666667,1,Linear,0.28571429,1.0
13,Twitter_volume_KO.csv,3.209443074851592,Linear,0.8,2,Linear,0.28571429,1.0
14,Twitter_volume_GOOG.csv,3.4398343116981493,Linear,0.4,3,Linear,0.28571429,1.0
15,Twitter_volume_PFE.csv,4.122464723599602,KMeans,0.42857143,4,Linear,0.28571429,1.0
16,Twitter_volume_UPS.csv,7.142480753535491,Linear,0.28571429,5,Linear,0.28571429,1.0
17,Twitter_volume_FB.csv,8.385584418610566,Linear,1.0,6,Linear,0.28571429,1.0
18,Twitter_volume_IBM.csv,8.608528405308814,Linear,0.5,7,Linear,0.28571429,1.0
19,Twitter_volume_AMZN.csv,12.188247088659637,KMeans,0.66666667,8,Linear,0.28571429,1.0
20,Twitter_volume_CRM.csv,16.227977884150658,KMeans,0.54545455,9,Linear,0.28571429,1.0
21,,,,,,,,
