,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_CRM.csv,0.019232102,KMeans,0.54545455,1,KMeans,0.4,1.0
2,Twitter_volume_CVS.csv,0.020490259,Linear,0.66666667,2,KMeans,0.4,1.0
3,Twitter_volume_AMZN.csv,0.083096735,KMeans,0.66666667,3,KMeans,0.4,1.0
4,Twitter_volume_IBM.csv,0.15642735,Linear,0.5,4,KMeans,0.4,1.0
5,Twitter_volume_PFE.csv,0.23241505,KMeans,0.42857143,5,KMeans,0.4,1.0
6,Twitter_volume_GOOG.csv,0.2512165,Linear,0.4,6,KMeans,0.4,1.0
7,Twitter_volume_UPS.csv,0.37480205,Linear,0.28571429,7,Linear,0.4,1.0
8,Twitter_volume_FB.csv,0.8887347,Linear,1.0,8,Linear,0.4,1.0
9,Twitter_volume_KO.csv,1.0712807,Linear,0.8,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_CVS.csv,0.0025887117,Linear,0.66666667,1,Linear,0.28571429,1.0
13,Twitter_volume_CRM.csv,0.034905024,KMeans,0.54545455,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_AMZN.csv,0.082652874,KMeans,0.66666667,3,KMeans,0.22222222,0.93650793
15,Twitter_volume_IBM.csv,0.17315325,Linear,0.5,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_PFE.csv,0.25544834,KMeans,0.42857143,5,KMeans,0.22222222,0.93650793
17,Twitter_volume_GOOG.csv,0.28641605,Linear,0.4,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_UPS.csv,0.39833307,Linear,0.28571429,7,Linear,0.28571429,1.0
19,Twitter_volume_FB.csv,0.79557085,Linear,1.0,8,Linear,0.28571429,1.0
20,Twitter_volume_KO.csv,0.94641167,Linear,0.8,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_CRM.csv,0.00077931583,KMeans,0.54545455,1,KMeans,0.8,1.0
24,Twitter_volume_CVS.csv,0.0032470077,Linear,0.66666667,2,KMeans,0.8,1.0
