,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_IBM.csv,0.9780553655661502,Linear,0.5,1,Linear,0.4,1.0
2,Twitter_volume_CRM.csv,1.098007682736785,KMeans,0.54545455,2,KMeans,0.4,1.0
3,Twitter_volume_PFE.csv,1.2582211339742182,KMeans,0.42857143,3,KMeans,0.4,1.0
4,Twitter_volume_UPS.csv,1.5391413096334283,Linear,0.28571429,4,KMeans,0.4,1.0
5,Twitter_volume_GOOG.csv,1.9871242536348668,Linear,0.4,5,Linear,0.4,1.0
6,Twitter_volume_AMZN.csv,2.009954949068026,KMeans,0.66666667,6,KMeans,0.4,1.0
7,Twitter_volume_CVS.csv,2.0363104912759855,Linear,0.66666667,7,Linear,0.4,1.0
8,Twitter_volume_FB.csv,4.514339358435916,Linear,1.0,8,Linear,0.4,1.0
9,Twitter_volume_KO.csv,4.63291412927401,Linear,0.8,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_PFE.csv,0.46669218682340363,KMeans,0.42857143,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_IBM.csv,0.6474358882117813,Linear,0.5,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_AAPL.csv,1.5391413096334283,Linear,0.4,3,Linear,0.28571429,1.0
15,Twitter_volume_CRM.csv,1.720033432612655,KMeans,0.54545455,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_GOOG.csv,2.019617323177409,Linear,0.4,5,Linear,0.28571429,1.0
17,Twitter_volume_AMZN.csv,3.035107287880254,KMeans,0.66666667,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_CVS.csv,3.4436166737177016,Linear,0.66666667,7,Linear,0.28571429,1.0
19,Twitter_volume_FB.csv,5.960602948824665,Linear,1.0,8,Linear,0.28571429,1.0
20,Twitter_volume_KO.csv,6.1373933396968905,Linear,0.8,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_FB.csv,2.4190939103142597,Linear,1.0,1,Linear,0.8,1.0
24,Twitter_volume_CVS.csv,3.3555960662107593,Linear,0.66666667,2,Linear,0.8,1.0
25,Twitter_volume_AMZN.csv,4.446214486961953,KMeans,0.66666667,3,Linear,0.8,1.0
26,Twitter_volume_AAPL.csv,4.63291412927401,Linear,0.4,4,Linear,0.8,1.0
27,Twitter_volume_CRM.csv,5.098328789883574,KMeans,0.54545455,5,Linear,0.8,1.0
28,Twitter_volume_IBM.csv,5.593482039846673,Linear,0.5,6,Linear,0.8,1.0
29,Twitter_volume_PFE.csv,5.867622501729844,KMeans,0.42857143,7,Linear,0.8,1.0
30,Twitter_volume_GOOG.csv,5.876394787618551,Linear,0.4,8,Linear,0.8,1.0
31,Twitter_volume_UPS.csv,6.1373933396968905,Linear,0.28571429,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_CRM.csv,0.9329431449717035,KMeans,0.54545455,1,KMeans,0.4,1.0
35,Twitter_volume_PFE.csv,1.5913853043034718,KMeans,0.42857143,2,KMeans,0.4,1.0
36,Twitter_volume_IBM.csv,1.6090811017288846,Linear,0.5,3,KMeans,0.4,1.0
37,Twitter_volume_AMZN.csv,1.6391287513187196,KMeans,0.66666667,4,KMeans,0.4,1.0
38,Twitter_volume_AAPL.csv,1.9871242536348668,Linear,0.4,5,KMeans,0.4,1.0
39,Twitter_volume_UPS.csv,2.019617323177409,Linear,0.28571429,6,KMeans,0.4,1.0
40,Twitter_volume_CVS.csv,2.590355258369703,Linear,0.66666667,7,Linear,0.4,1.0
41,Twitter_volume_FB.csv,4.91585385061693,Linear,1.0,8,Linear,0.4,1.0
42,Twitter_volume_KO.csv,5.876394787618551,Linear,0.8,9,Linear,0.4,1.0
43,,,,,,,,
44,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
45,Twitter_volume_AMZN.csv,1.1090025697423564,KMeans,0.66666667,1,KMeans,0.66666667,1.0
46,Twitter_volume_CRM.csv,1.940824636716936,KMeans,0.54545455,2,KMeans,0.66666667,1.0
47,Twitter_volume_AAPL.csv,2.0363104912759855,Linear,0.4,3,KMeans,0.66666667,1.0
48,Twitter_volume_FB.csv,2.5340212411273417,Linear,1.0,4,KMeans,0.66666667,1.0
49,Twitter_volume_GOOG.csv,2.590355258369703,Linear,0.4,5,Linear,0.66666667,1.0
50,Twitter_volume_IBM.csv,2.8009270558059733,Linear,0.5,6,Linear,0.66666667,1.0
51,Twitter_volume_PFE.csv,3.0391880413385572,KMeans,0.42857143,7,Linear,0.66666667,1.0
52,Twitter_volume_KO.csv,3.3555960662107593,Linear,0.8,8,Linear,0.66666667,1.0
53,Twitter_volume_UPS.csv,3.4436166737177016,Linear,0.28571429,9,Linear,0.66666667,1.0
54,,,,,,,,
55,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
56,Twitter_volume_KO.csv,2.4190939103142597,Linear,0.8,1,Linear,1.0,1.0
57,Twitter_volume_CVS.csv,2.5340212411273417,Linear,0.66666667,2,Linear,1.0,1.0
58,Twitter_volume_AMZN.csv,3.288777903413685,KMeans,0.66666667,3,Linear,1.0,1.0
59,Twitter_volume_CRM.csv,4.431423895238123,KMeans,0.54545455,4,KMeans,1.0,1.0
60,Twitter_volume_AAPL.csv,4.514339358435916,Linear,0.4,5,Linear,1.0,1.0
61,Twitter_volume_GOOG.csv,4.91585385061693,Linear,0.4,6,Linear,1.0,1.0
62,Twitter_volume_IBM.csv,5.32321392495112,Linear,0.5,7,Linear,1.0,1.0
63,Twitter_volume_PFE.csv,5.560906276973843,KMeans,0.42857143,8,Linear,1.0,1.0
64,Twitter_volume_UPS.csv,5.960602948824665,Linear,0.28571429,9,Linear,1.0,1.0
65,,,,,,,,
66,Twitter_volume_IBM.csv,0,Linear,0.5,0,Linear,0.5,1
67,Twitter_volume_PFE.csv,0.2803809489001612,KMeans,0.42857143,1,KMeans,0.5,1.0
68,Twitter_volume_UPS.csv,0.6474358882117813,Linear,0.28571429,2,KMeans,0.5,1.0
69,Twitter_volume_AAPL.csv,0.9780553655661502,Linear,0.4,3,Linear,0.5,1.0
70,Twitter_volume_CRM.csv,1.110698327998221,KMeans,0.54545455,4,KMeans,0.5,1.0
71,Twitter_volume_GOOG.csv,1.6090811017288846,Linear,0.4,5,Linear,0.5,1.0
72,Twitter_volume_AMZN.csv,2.409013897743679,KMeans,0.66666667,6,KMeans,0.5,1.0
73,Twitter_volume_CVS.csv,2.8009270558059733,Linear,0.66666667,7,Linear,0.5,1.0
74,Twitter_volume_FB.csv,5.32321392495112,Linear,1.0,8,Linear,0.5,1.0
75,Twitter_volume_KO.csv,5.593482039846673,Linear,0.8,9,Linear,0.5,1.0
76,,,,,,,,
77,Twitter_volume_CRM.csv,0,KMeans,0.54545455,0,KMeans,0.54545455,1
78,Twitter_volume_GOOG.csv,0.9329431449717035,Linear,0.4,1,Linear,0.5,0.95454545
79,Twitter_volume_AAPL.csv,1.098007682736785,Linear,0.4,2,Linear,0.5,0.95454545
80,Twitter_volume_IBM.csv,1.110698327998221,Linear,0.5,3,Linear,0.5,0.95454545
81,Twitter_volume_PFE.csv,1.2578628312874038,KMeans,0.42857143,4,Linear,0.5,0.95454545
82,Twitter_volume_AMZN.csv,1.3199286525945404,KMeans,0.66666667,5,Linear,0.5,0.95454545
83,Twitter_volume_UPS.csv,1.720033432612655,Linear,0.28571429,6,Linear,0.5,0.95454545
84,Twitter_volume_CVS.csv,1.940824636716936,Linear,0.66666667,7,Linear,0.5,0.95454545
85,Twitter_volume_FB.csv,4.431423895238123,Linear,1.0,8,Linear,0.5,0.95454545
86,Twitter_volume_KO.csv,5.098328789883574,Linear,0.8,9,Linear,0.5,0.95454545
87,,,,,,,,
88,Twitter_volume_PFE.csv,0,KMeans,0.42857143,0,KMeans,0.42857143,1
89,Twitter_volume_IBM.csv,0.2803809489001612,Linear,0.5,1,Linear,0.36363636,0.93506493
90,Twitter_volume_UPS.csv,0.46669218682340363,Linear,0.28571429,2,Linear,0.36363636,0.93506493
91,Twitter_volume_CRM.csv,1.2578628312874038,KMeans,0.54545455,3,Linear,0.36363636,0.93506493
92,Twitter_volume_AAPL.csv,1.2582211339742182,Linear,0.4,4,Linear,0.36363636,0.93506493
93,Twitter_volume_GOOG.csv,1.5913853043034718,Linear,0.4,5,Linear,0.36363636,0.93506493
94,Twitter_volume_AMZN.csv,2.5761204344200928,KMeans,0.66666667,6,Linear,0.36363636,0.93506493
95,Twitter_volume_CVS.csv,3.0391880413385572,Linear,0.66666667,7,Linear,0.36363636,0.93506493
96,Twitter_volume_FB.csv,5.560906276973843,Linear,1.0,8,Linear,0.36363636,0.93506493
97,Twitter_volume_KO.csv,5.867622501729844,Linear,0.8,9,Linear,0.36363636,0.93506493
98,,,,,,,,
99,Twitter_volume_AMZN.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
100,Twitter_volume_CVS.csv,1.1090025697423564,Linear,0.66666667,1,Linear,0.57142857,0.9047619
101,Twitter_volume_CRM.csv,1.3199286525945404,KMeans,0.54545455,2,KMeans,0.66666667,1.0
102,Twitter_volume_GOOG.csv,1.6391287513187196,Linear,0.4,3,Linear,0.57142857,0.9047619
103,Twitter_volume_AAPL.csv,2.009954949068026,Linear,0.4,4,Linear,0.57142857,0.9047619
104,Twitter_volume_IBM.csv,2.409013897743679,Linear,0.5,5,Linear,0.57142857,0.9047619
105,Twitter_volume_PFE.csv,2.5761204344200928,KMeans,0.42857143,6,Linear,0.57142857,0.9047619
106,Twitter_volume_UPS.csv,3.035107287880254,Linear,0.28571429,7,Linear,0.57142857,0.9047619
107,Twitter_volume_FB.csv,3.288777903413685,Linear,1.0,8,Linear,0.57142857,0.9047619
108,Twitter_volume_KO.csv,4.446214486961953,Linear,0.8,9,Linear,0.57142857,0.9047619
109,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.6,0.973088021
0,,,,,2.0,,0.7,0.982611831
0,,,,,3.0,,0.7,0.9794372280000001
0,,,,,4.0,,0.6,0.973088021
0,,,,,5.0,,0.7,0.9794372280000001
0,,,,,6.0,,0.6,0.973088021
0,,,,,7.0,,0.7,0.9794372280000001
0,,,,,8.0,,0.7,0.9794372280000001
0,,,,,9.0,,0.7,0.9794372280000001
0,,,,,10.0,,0.0,0.0
