,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_IBM.csv,1.966934842862742,Linear,0.5,1,Linear,0.4,1.0
2,Twitter_volume_CRM.csv,1.9741345000110564,KMeans,0.54545455,2,KMeans,0.4,1.0
3,Twitter_volume_PFE.csv,2.521716411518956,KMeans,0.42857143,3,KMeans,0.4,1.0
4,Twitter_volume_AMZN.csv,2.692236340084068,KMeans,0.66666667,4,KMeans,0.4,1.0
5,Twitter_volume_UPS.csv,3.36146170369755,Linear,0.28571429,5,KMeans,0.4,1.0
6,Twitter_volume_GOOG.csv,3.996009124520318,Linear,0.4,6,KMeans,0.4,1.0
7,Twitter_volume_CVS.csv,4.236996887959754,Linear,0.66666667,7,Linear,0.4,1.0
8,Twitter_volume_KO.csv,9.793400893172555,Linear,0.8,8,Linear,0.4,1.0
9,Twitter_volume_FB.csv,9.88033066064033,Linear,1.0,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_PFE.csv,0.8397452921785938,KMeans,0.42857143,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_IBM.csv,1.3945268608348074,Linear,0.5,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_GOOG.csv,2.490705818703595,Linear,0.4,3,Linear,0.28571429,1.0
15,Twitter_volume_CRM.csv,3.3405795085189007,KMeans,0.54545455,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_AAPL.csv,3.36146170369755,Linear,0.4,5,Linear,0.28571429,1.0
17,Twitter_volume_AMZN.csv,6.053698043781618,KMeans,0.66666667,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_CVS.csv,7.598458591657304,Linear,0.66666667,7,Linear,0.28571429,1.0
19,Twitter_volume_KO.csv,13.154862596870103,Linear,0.8,8,Linear,0.28571429,1.0
20,Twitter_volume_FB.csv,13.241792364337881,Linear,1.0,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_FB.csv,4.2633917217752755,Linear,1.0,1,Linear,0.8,1.0
24,Twitter_volume_CVS.csv,7.328339875996511,Linear,0.66666667,2,Linear,0.8,1.0
25,Twitter_volume_AAPL.csv,9.793400893172555,Linear,0.4,3,Linear,0.8,1.0
26,Twitter_volume_AMZN.csv,9.805497238654011,KMeans,0.66666667,4,Linear,0.8,1.0
27,Twitter_volume_CRM.csv,10.516417240570208,KMeans,0.54545455,5,Linear,0.8,1.0
28,Twitter_volume_IBM.csv,11.760335736035296,Linear,0.5,6,Linear,0.8,1.0
29,Twitter_volume_PFE.csv,12.31511730469151,KMeans,0.42857143,7,Linear,0.8,1.0
30,Twitter_volume_GOOG.csv,12.538291865079469,Linear,0.4,8,Linear,0.8,1.0
31,Twitter_volume_UPS.csv,13.154862596870103,Linear,0.28571429,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_PFE.csv,1.6509605265250005,KMeans,0.42857143,1,KMeans,0.4,1.0
35,Twitter_volume_CRM.csv,2.0218746245092616,KMeans,0.54545455,2,KMeans,0.4,1.0
36,Twitter_volume_IBM.csv,2.0829041533652193,Linear,0.5,3,KMeans,0.4,1.0
37,Twitter_volume_UPS.csv,2.490705818703595,Linear,0.28571429,4,KMeans,0.4,1.0
38,Twitter_volume_AMZN.csv,3.5629922250780233,KMeans,0.66666667,5,KMeans,0.4,1.0
39,Twitter_volume_AAPL.csv,3.996009124520318,Linear,0.4,6,KMeans,0.4,1.0
40,Twitter_volume_CVS.csv,5.209951989082958,Linear,0.66666667,7,Linear,0.4,1.0
41,Twitter_volume_FB.csv,10.751086545634287,Linear,1.0,8,Linear,0.4,1.0
42,Twitter_volume_KO.csv,12.538291865079469,Linear,0.8,9,Linear,0.4,1.0
43,,,,,,,,
44,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
45,Twitter_volume_AMZN.csv,2.4771573626575014,KMeans,0.66666667,1,KMeans,0.66666667,1.0
46,Twitter_volume_AAPL.csv,4.236996887959754,Linear,0.4,2,KMeans,0.66666667,1.0
47,Twitter_volume_CRM.csv,4.257879083138403,KMeans,0.54545455,3,KMeans,0.66666667,1.0
48,Twitter_volume_GOOG.csv,5.209951989082958,Linear,0.4,4,KMeans,0.66666667,1.0
49,Twitter_volume_FB.csv,5.643333772680577,Linear,1.0,5,Linear,0.66666667,1.0
50,Twitter_volume_IBM.csv,6.203931730822495,Linear,0.5,6,Linear,0.66666667,1.0
51,Twitter_volume_PFE.csv,6.75871329947871,KMeans,0.42857143,7,Linear,0.66666667,1.0
52,Twitter_volume_KO.csv,7.328339875996511,Linear,0.8,8,Linear,0.66666667,1.0
53,Twitter_volume_UPS.csv,7.598458591657304,Linear,0.28571429,9,Linear,0.66666667,1.0
54,,,,,,,,
55,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
56,Twitter_volume_KO.csv,4.2633917217752755,Linear,0.8,1,Linear,1.0,1.0
57,Twitter_volume_CVS.csv,5.643333772680577,Linear,0.66666667,2,Linear,1.0,1.0
