,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_CRM.csv,0.0033493902550893254,KMeans,0.54545455,1,KMeans,0.4,1.0
2,Twitter_volume_GOOG.csv,0.06505823613690312,Linear,0.4,2,KMeans,0.4,1.0
3,Twitter_volume_AMZN.csv,0.11789130029146326,KMeans,0.66666667,3,KMeans,0.4,1.0
4,Twitter_volume_IBM.csv,0.1747903323733934,Linear,0.5,4,KMeans,0.4,1.0
5,Twitter_volume_PFE.csv,0.27313962828824434,KMeans,0.42857143,5,KMeans,0.4,1.0
6,Twitter_volume_CVS.csv,0.3459566192528075,Linear,0.66666667,6,KMeans,0.4,1.0
7,Twitter_volume_UPS.csv,0.44857948916565327,Linear,0.28571429,7,Linear,0.4,1.0
8,Twitter_volume_KO.csv,1.5701718513173273,Linear,0.8,8,Linear,0.4,1.0
9,Twitter_volume_FB.csv,1.8762312400964896,Linear,1.0,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_AMZN.csv,0.10524533868416022,KMeans,0.66666667,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_CVS.csv,0.12705526762317942,Linear,0.66666667,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_PFE.csv,0.131271582009948,KMeans,0.42857143,3,KMeans,0.22222222,0.93650793
15,Twitter_volume_IBM.csv,0.19418487967948675,Linear,0.5,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_GOOG.csv,0.27958849724197615,Linear,0.4,5,Linear,0.28571429,1.0
17,Twitter_volume_AAPL.csv,0.29398769284637805,Linear,0.4,6,Linear,0.28571429,1.0
18,Twitter_volume_CRM.csv,0.29414033149372587,KMeans,0.54545455,7,Linear,0.28571429,1.0
19,Twitter_volume_KO.csv,1.5631146990005145,Linear,0.8,8,Linear,0.28571429,1.0
20,Twitter_volume_FB.csv,1.8627973102168884,Linear,1.0,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_FB.csv,0.16228745152727897,Linear,1.0,1,Linear,0.8,1.0
24,Twitter_volume_CVS.csv,0.5600088853910999,Linear,0.66666667,2,Linear,0.8,1.0
25,Twitter_volume_AMZN.csv,0.7381061869167449,KMeans,0.66666667,3,Linear,0.8,1.0
26,Twitter_volume_UPS.csv,0.8572626211045734,Linear,0.28571429,4,Linear,0.8,1.0
27,Twitter_volume_AAPL.csv,0.8883703386388624,Linear,0.4,5,Linear,0.8,1.0
28,Twitter_volume_PFE.csv,0.8962271832120489,KMeans,0.42857143,6,Linear,0.8,1.0
29,Twitter_volume_CRM.csv,0.9021420429787713,KMeans,0.54545455,7,Linear,0.8,1.0
30,Twitter_volume_IBM.csv,0.9142245432528003,Linear,0.5,8,Linear,0.8,1.0
31,Twitter_volume_GOOG.csv,0.919849566596999,Linear,0.4,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_CRM.csv,0.011966411966738394,KMeans,0.54545455,1,KMeans,0.4,1.0
35,Twitter_volume_AAPL.csv,0.12426633551799637,Linear,0.4,2,KMeans,0.4,1.0
36,Twitter_volume_CVS.csv,0.13031719904114658,Linear,0.66666667,3,Linear,0.4,1.0
37,Twitter_volume_AMZN.csv,0.14601948436360013,KMeans,0.66666667,4,KMeans,0.4,1.0
38,Twitter_volume_IBM.csv,0.3385152879444886,Linear,0.5,5,Linear,0.4,1.0
39,Twitter_volume_PFE.csv,0.39738697512599347,KMeans,0.42857143,6,KMeans,0.4,1.0
40,Twitter_volume_UPS.csv,0.5890220785594065,Linear,0.28571429,7,Linear,0.4,1.0
41,Twitter_volume_KO.csv,0.8778744386965307,Linear,0.8,8,Linear,0.4,1.0
42,Twitter_volume_FB.csv,1.0393697080580824,Linear,1.0,9,Linear,0.4,1.0
43,,,,,,,,
44,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
45,Twitter_volume_CRM.csv,0.04710082337861367,KMeans,0.54545455,1,KMeans,0.66666667,1.0
46,Twitter_volume_AAPL.csv,0.0789958411801048,Linear,0.4,2,KMeans,0.66666667,1.0
47,Twitter_volume_GOOG.csv,0.13388465415055967,Linear,0.4,3,Linear,0.66666667,1.0
48,Twitter_volume_AMZN.csv,0.135386044774781,KMeans,0.66666667,4,KMeans,0.66666667,1.0
49,Twitter_volume_IBM.csv,0.2710639570340583,Linear,0.5,5,Linear,0.66666667,1.0
50,Twitter_volume_PFE.csv,0.43503031671818354,KMeans,0.42857143,6,KMeans,0.66666667,1.0
51,Twitter_volume_UPS.csv,0.6843204842083228,Linear,0.28571429,7,Linear,0.66666667,1.0
52,Twitter_volume_KO.csv,0.8071726519777871,Linear,0.8,8,Linear,0.66666667,1.0
53,Twitter_volume_FB.csv,1.0630400412114165,Linear,1.0,9,Linear,0.66666667,1.0
54,,,,,,,,
55,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
56,Twitter_volume_KO.csv,0.19702693698999396,Linear,0.8,1,Linear,1.0,1.0
57,Twitter_volume_UPS.csv,1.2441604434663684,Linear,0.28571429,2,Linear,1.0,1.0
58,Twitter_volume_PFE.csv,1.3802622270882212,KMeans,0.42857143,3,Linear,1.0,1.0
59,Twitter_volume_IBM.csv,1.425823382680832,Linear,0.5,4,Linear,1.0,1.0
60,Twitter_volume_CVS.csv,1.5058178372779727,Linear,0.66666667,5,Linear,1.0,1.0
61,Twitter_volume_AAPL.csv,1.565167796235748,Linear,0.4,6,Linear,1.0,1.0
62,Twitter_volume_AMZN.csv,1.5898789940041909,KMeans,0.66666667,7,Linear,1.0,1.0
63,Twitter_volume_GOOG.csv,1.6078641376040401,Linear,0.4,8,Linear,1.0,1.0
64,Twitter_volume_CRM.csv,1.6099640468412202,KMeans,0.54545455,9,Linear,1.0,1.0
65,,,,,,,,
66,Twitter_volume_IBM.csv,0,Linear,0.5,0,Linear,0.5,1
67,Twitter_volume_GOOG.csv,0.014705216412595028,Linear,0.4,1,Linear,0.5,1.0
68,Twitter_volume_AMZN.csv,0.03413924209129362,KMeans,0.66666667,2,KMeans,0.5,1.0
69,Twitter_volume_AAPL.csv,0.04785019080264804,Linear,0.4,3,Linear,0.5,1.0
70,Twitter_volume_PFE.csv,0.04814258697355294,KMeans,0.42857143,4,KMeans,0.5,1.0
71,Twitter_volume_CRM.csv,0.051055020161245086,KMeans,0.54545455,5,KMeans,0.5,1.0
72,Twitter_volume_UPS.csv,0.12172889556489172,Linear,0.28571429,6,KMeans,0.5,1.0
73,Twitter_volume_CVS.csv,0.18296174221638448,Linear,0.66666667,7,Linear,0.5,1.0
74,Twitter_volume_KO.csv,0.5937873089724214,Linear,0.8,8,Linear,0.5,1.0
75,Twitter_volume_FB.csv,0.743015251733278,Linear,1.0,9,Linear,0.5,1.0
76,,,,,,,,
77,Twitter_volume_CRM.csv,0,KMeans,0.54545455,0,KMeans,0.54545455,1
78,Twitter_volume_CVS.csv,0.011124188701062299,Linear,0.66666667,1,Linear,0.5,0.95454545
79,Twitter_volume_AAPL.csv,0.034613832846786555,Linear,0.4,2,Linear,0.5,0.95454545
80,Twitter_volume_AMZN.csv,0.059705895199266626,KMeans,0.66666667,3,Linear,0.5,0.95454545
81,Twitter_volume_GOOG.csv,0.14110058850331192,Linear,0.4,4,Linear,0.5,0.95454545
82,Twitter_volume_IBM.csv,0.16601457110583112,Linear,0.5,5,Linear,0.5,0.95454545
83,Twitter_volume_PFE.csv,0.26841484816869166,KMeans,0.42857143,6,Linear,0.5,0.95454545
84,Twitter_volume_KO.csv,0.28752314164881876,Linear,0.8,7,Linear,0.5,0.95454545
85,Twitter_volume_UPS.csv,0.40303770006223294,Linear,0.28571429,8,Linear,0.5,0.95454545
86,Twitter_volume_FB.csv,0.4087952384209279,Linear,1.0,9,Linear,0.5,0.95454545
87,,,,,,,,
88,Twitter_volume_PFE.csv,0,KMeans,0.42857143,0,KMeans,0.42857143,1
89,Twitter_volume_IBM.csv,0.0844756136141882,Linear,0.5,1,Linear,0.36363636,0.93506493
90,Twitter_volume_UPS.csv,0.15231445597428372,Linear,0.28571429,2,Linear,0.36363636,0.93506493
91,Twitter_volume_GOOG.csv,0.22947703685256282,Linear,0.4,3,Linear,0.36363636,0.93506493
92,Twitter_volume_KO.csv,0.24088328300340223,Linear,0.8,4,Linear,0.36363636,0.93506493
93,Twitter_volume_AAPL.csv,0.29681011744444924,Linear,0.4,5,Linear,0.36363636,0.93506493
94,Twitter_volume_CRM.csv,0.3018699091128768,KMeans,0.54545455,6,Linear,0.36363636,0.93506493
95,Twitter_volume_CVS.csv,0.33700877549579755,Linear,0.66666667,7,Linear,0.36363636,0.93506493
96,Twitter_volume_FB.csv,0.3852254892352506,Linear,1.0,8,Linear,0.36363636,0.93506493
97,Twitter_volume_AMZN.csv,0.38612605752190593,KMeans,0.66666667,9,Linear,0.36363636,0.93506493
98,,,,,,,,
99,Twitter_volume_AMZN.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
100,Twitter_volume_GOOG.csv,0.005855663403195342,Linear,0.4,1,Linear,0.57142857,0.9047619
101,Twitter_volume_AAPL.csv,0.007851285206390765,Linear,0.4,2,Linear,0.57142857,0.9047619
102,Twitter_volume_CRM.csv,0.031818035421298935,KMeans,0.54545455,3,Linear,0.57142857,0.9047619
103,Twitter_volume_CVS.csv,0.12156780871657291,Linear,0.66666667,4,Linear,0.57142857,0.9047619
104,Twitter_volume_IBM.csv,0.16834008278780704,Linear,0.5,5,Linear,0.57142857,0.9047619
105,Twitter_volume_PFE.csv,0.2377255942621536,KMeans,0.42857143,6,Linear,0.57142857,0.9047619
106,Twitter_volume_UPS.csv,0.39757044954497256,Linear,0.28571429,7,Linear,0.57142857,0.9047619
107,Twitter_volume_KO.csv,1.4081610590955187,Linear,0.8,8,Linear,0.57142857,0.9047619
108,Twitter_volume_FB.csv,1.643760617879647,Linear,1.0,9,Linear,0.57142857,0.9047619
109,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.6,0.973088021
0,,,,,2.0,,0.6,0.973088021
0,,,,,3.0,,0.6,0.973088021
0,,,,,4.0,,0.6,0.973088021
0,,,,,5.0,,0.7,0.9794372280000001
0,,,,,6.0,,0.7,0.9794372280000001
0,,,,,7.0,,0.7,0.9794372280000001
0,,,,,8.0,,0.7,0.9794372280000001
0,,,,,9.0,,0.7,0.9794372280000001
0,,,,,10.0,,0.0,0.0
