,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_AMZN.csv,0.0073638186,KMeans,0.66666667,1,KMeans,0.4,1.0
2,Twitter_volume_KO.csv,0.09209165,Linear,0.8,2,KMeans,0.4,1.0
3,Twitter_volume_CRM.csv,0.16042681,KMeans,0.54545455,3,KMeans,0.4,1.0
4,Twitter_volume_PFE.csv,0.68912995,KMeans,0.42857143,4,KMeans,0.4,1.0
5,Twitter_volume_UPS.csv,1.0020707,Linear,0.28571429,5,KMeans,0.4,1.0
6,Twitter_volume_CVS.csv,1.2357004,Linear,0.66666667,6,KMeans,0.4,1.0
7,Twitter_volume_IBM.csv,1.3674862,Linear,0.5,7,Linear,0.4,1.0
8,Twitter_volume_GOOG.csv,1.5417037,Linear,0.4,8,Linear,0.4,1.0
9,Twitter_volume_FB.csv,1.7731326,Linear,1.0,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_PFE.csv,0.25787866,KMeans,0.42857143,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_CVS.csv,0.29084408,Linear,0.66666667,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_IBM.csv,0.4214623,Linear,0.5,3,Linear,0.28571429,1.0
15,Twitter_volume_GOOG.csv,0.57131505,Linear,0.4,4,Linear,0.28571429,1.0
16,Twitter_volume_CRM.csv,0.75917864,KMeans,0.54545455,5,Linear,0.28571429,1.0
17,Twitter_volume_FB.csv,0.8208214,Linear,1.0,6,Linear,0.28571429,1.0
18,Twitter_volume_KO.csv,0.8393849,Linear,0.8,7,Linear,0.28571429,1.0
19,Twitter_volume_AMZN.csv,0.9417511,KMeans,0.66666667,8,Linear,0.28571429,1.0
20,Twitter_volume_AAPL.csv,0.9493967,Linear,0.4,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_CRM.csv,0.08562347,KMeans,0.54545455,1,KMeans,0.8,1.0
24,Twitter_volume_AMZN.csv,0.09286583,KMeans,0.66666667,2,KMeans,0.8,1.0
25,Twitter_volume_AAPL.csv,0.101873636,Linear,0.4,3,KMeans,0.8,1.0
26,Twitter_volume_PFE.csv,0.6127979,KMeans,0.42857143,4,KMeans,0.8,1.0
27,Twitter_volume_UPS.csv,0.7624303,Linear,0.28571429,5,KMeans,0.8,1.0
28,Twitter_volume_CVS.csv,1.1651958,Linear,0.66666667,6,KMeans,0.8,1.0
29,Twitter_volume_IBM.csv,1.2224616,Linear,0.5,7,Linear,0.8,1.0
30,Twitter_volume_GOOG.csv,1.3943104,Linear,0.4,8,Linear,0.8,1.0
31,Twitter_volume_FB.csv,1.6037835,Linear,1.0,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
