,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_AMZN.csv,0.10001010075499076,KMeans,0.66666667,1,KMeans,0.4,1.0
2,Twitter_volume_KO.csv,1.271056578185193,Linear,0.8,2,KMeans,0.4,1.0
3,Twitter_volume_CRM.csv,1.2792098519892419,KMeans,0.54545455,3,KMeans,0.4,1.0
4,Twitter_volume_PFE.csv,1.3954916011438476,KMeans,0.42857143,4,KMeans,0.4,1.0
5,Twitter_volume_UPS.csv,1.405875941324024,Linear,0.28571429,5,KMeans,0.4,1.0
6,Twitter_volume_CVS.csv,1.9245248683752623,Linear,0.66666667,6,KMeans,0.4,1.0
7,Twitter_volume_GOOG.csv,2.4057814207681387,Linear,0.4,7,Linear,0.4,1.0
8,Twitter_volume_IBM.csv,2.7699306787332487,Linear,0.5,8,Linear,0.4,1.0
9,Twitter_volume_FB.csv,3.0838325808464613,Linear,1.0,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_AMZN.csv,1.3865164009589666,KMeans,0.66666667,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_AAPL.csv,1.405875941324024,Linear,0.4,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_PFE.csv,1.5575998511809361,KMeans,0.42857143,3,KMeans,0.22222222,0.93650793
15,Twitter_volume_CVS.csv,1.9652950326433338,Linear,0.66666667,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_CRM.csv,2.5088049339164584,KMeans,0.54545455,5,KMeans,0.22222222,0.93650793
17,Twitter_volume_KO.csv,2.635579238494877,Linear,0.8,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_GOOG.csv,2.772426458587845,Linear,0.4,7,Linear,0.28571429,1.0
19,Twitter_volume_IBM.csv,4.154069163339714,Linear,0.5,8,Linear,0.28571429,1.0
20,Twitter_volume_FB.csv,4.4802083834584865,Linear,1.0,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_CRM.csv,0.4798515788959031,KMeans,0.54545455,1,KMeans,0.8,1.0
24,Twitter_volume_AMZN.csv,1.2695949800240791,KMeans,0.66666667,2,KMeans,0.8,1.0
25,Twitter_volume_AAPL.csv,1.271056578185193,Linear,0.4,3,KMeans,0.8,1.0
26,Twitter_volume_IBM.csv,1.5237909474861981,Linear,0.5,4,KMeans,0.8,1.0
27,Twitter_volume_FB.csv,1.9068984480276514,Linear,1.0,5,Linear,0.8,1.0
28,Twitter_volume_PFE.csv,1.927426495766417,KMeans,0.42857143,6,KMeans,0.8,1.0
29,Twitter_volume_CVS.csv,2.3041256329611324,Linear,0.66666667,7,Linear,0.8,1.0
30,Twitter_volume_UPS.csv,2.635579238494877,Linear,0.28571429,8,Linear,0.8,1.0
31,Twitter_volume_GOOG.csv,3.0304909722515188,Linear,0.4,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_AAPL.csv,2.4057814207681387,Linear,0.4,1,Linear,0.4,1.0
35,Twitter_volume_AMZN.csv,2.5029750963197497,KMeans,0.66666667,2,KMeans,0.4,1.0
36,Twitter_volume_UPS.csv,2.772426458587845,Linear,0.28571429,3,Linear,0.4,1.0
37,Twitter_volume_KO.csv,3.0304909722515188,Linear,0.8,4,Linear,0.4,1.0
38,Twitter_volume_CRM.csv,3.2622535425029966,KMeans,0.54545455,5,Linear,0.4,1.0
39,Twitter_volume_PFE.csv,3.6378697390249815,KMeans,0.42857143,6,KMeans,0.4,1.0
40,Twitter_volume_IBM.csv,4.026155971149106,Linear,0.5,7,Linear,0.4,1.0
41,Twitter_volume_FB.csv,4.170783224515669,Linear,1.0,8,Linear,0.4,1.0
42,Twitter_volume_CVS.csv,4.180010623604913,Linear,0.66666667,9,Linear,0.4,1.0
43,,,,,,,,
44,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
45,Twitter_volume_PFE.csv,0.5447728392029222,KMeans,0.42857143,1,KMeans,0.66666667,1.0
46,Twitter_volume_AMZN.csv,1.8340002924919598,KMeans,0.66666667,2,KMeans,0.66666667,1.0
47,Twitter_volume_CRM.csv,1.899079906284199,KMeans,0.54545455,3,KMeans,0.66666667,1.0
48,Twitter_volume_AAPL.csv,1.9245248683752623,Linear,0.4,4,KMeans,0.66666667,1.0
49,Twitter_volume_UPS.csv,1.9652950326433338,Linear,0.28571429,5,KMeans,0.66666667,1.0
50,Twitter_volume_KO.csv,2.3041256329611324,Linear,0.8,6,KMeans,0.66666667,1.0
51,Twitter_volume_IBM.csv,3.566871007666331,Linear,0.5,7,Linear,0.66666667,1.0
52,Twitter_volume_FB.csv,4.006727610185571,Linear,1.0,8,Linear,0.66666667,1.0
53,Twitter_volume_GOOG.csv,4.180010623604913,Linear,0.4,9,Linear,0.66666667,1.0
54,,,,,,,,
55,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
56,Twitter_volume_IBM.csv,0.5522724446506286,Linear,0.5,1,Linear,1.0,1.0
57,Twitter_volume_KO.csv,1.9068984480276514,Linear,0.8,2,Linear,1.0,1.0
58,Twitter_volume_CRM.csv,2.228947374420963,KMeans,0.54545455,3,Linear,1.0,1.0
59,Twitter_volume_AAPL.csv,3.0838325808464613,Linear,0.4,4,Linear,1.0,1.0
60,Twitter_volume_AMZN.csv,3.095209301027056,KMeans,0.66666667,5,Linear,1.0,1.0
61,Twitter_volume_PFE.csv,3.7384525699901157,KMeans,0.42857143,6,KMeans,1.0,1.0
62,Twitter_volume_CVS.csv,4.006727610185571,Linear,0.66666667,7,Linear,1.0,1.0
63,Twitter_volume_GOOG.csv,4.170783224515669,Linear,0.4,8,Linear,1.0,1.0
64,Twitter_volume_UPS.csv,4.4802083834584865,Linear,0.28571429,9,Linear,1.0,1.0
65,,,,,,,,
66,Twitter_volume_IBM.csv,0,Linear,0.5,0,Linear,0.5,1
67,Twitter_volume_FB.csv,0.5522724446506286,Linear,1.0,1,Linear,0.5,1.0
68,Twitter_volume_KO.csv,1.5237909474861981,Linear,0.8,2,Linear,0.5,1.0
69,Twitter_volume_CRM.csv,1.7806926560107683,KMeans,0.54545455,3,Linear,0.5,1.0
70,Twitter_volume_AAPL.csv,2.7699306787332487,Linear,0.4,4,Linear,0.5,1.0
71,Twitter_volume_AMZN.csv,2.7752213317261396,KMeans,0.66666667,5,Linear,0.5,1.0
72,Twitter_volume_PFE.csv,3.3123926932770744,KMeans,0.42857143,6,KMeans,0.5,1.0
73,Twitter_volume_CVS.csv,3.566871007666331,Linear,0.66666667,7,Linear,0.5,1.0
