,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_AMZN.csv,0.01142837132621824,KMeans,0.66666667,1,KMeans,0.4,1.0
2,Twitter_volume_PFE.csv,0.040263754044114766,KMeans,0.42857143,2,KMeans,0.4,1.0
3,Twitter_volume_CRM.csv,0.0415848160524188,KMeans,0.54545455,3,KMeans,0.4,1.0
4,Twitter_volume_KO.csv,0.06419457184598419,Linear,0.8,4,KMeans,0.4,1.0
5,Twitter_volume_IBM.csv,0.0686807780383231,Linear,0.5,5,KMeans,0.4,1.0
6,Twitter_volume_CVS.csv,0.08527251336771405,Linear,0.66666667,6,KMeans,0.4,1.0
7,Twitter_volume_UPS.csv,0.09157275327541195,Linear,0.28571429,7,Linear,0.4,1.0
8,Twitter_volume_FB.csv,0.10530700952741259,Linear,1.0,8,Linear,0.4,1.0
9,Twitter_volume_GOOG.csv,0.11984855897175506,Linear,0.4,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_CVS.csv,0.006300239907697909,Linear,0.66666667,1,Linear,0.28571429,1.0
13,Twitter_volume_FB.csv,0.013734256252000629,Linear,1.0,2,Linear,0.28571429,1.0
14,Twitter_volume_IBM.csv,0.02289197523708885,Linear,0.5,3,Linear,0.28571429,1.0
15,Twitter_volume_GOOG.csv,0.0282758056963431,Linear,0.4,4,Linear,0.28571429,1.0
16,Twitter_volume_CRM.csv,0.049987937222993155,KMeans,0.54545455,5,Linear,0.28571429,1.0
17,Twitter_volume_PFE.csv,0.05130899923129719,KMeans,0.42857143,6,Linear,0.28571429,1.0
18,Twitter_volume_AMZN.csv,0.08014438194919371,KMeans,0.66666667,7,Linear,0.28571429,1.0
19,Twitter_volume_AAPL.csv,0.09157275327541195,Linear,0.4,8,Linear,0.28571429,1.0
20,Twitter_volume_KO.csv,0.15576732512139616,Linear,0.8,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_AAPL.csv,0.06419457184598419,Linear,0.4,1,Linear,0.8,1.0
24,Twitter_volume_AMZN.csv,0.07562294317220243,KMeans,0.66666667,2,KMeans,0.8,1.0
25,Twitter_volume_PFE.csv,0.10445832589009896,KMeans,0.42857143,3,KMeans,0.8,1.0
26,Twitter_volume_CRM.csv,0.105779387898403,KMeans,0.54545455,4,KMeans,0.8,1.0
27,Twitter_volume_IBM.csv,0.1328753498843073,Linear,0.5,5,KMeans,0.8,1.0
28,Twitter_volume_CVS.csv,0.14946708521369823,Linear,0.66666667,6,KMeans,0.8,1.0
29,Twitter_volume_UPS.csv,0.15576732512139616,Linear,0.28571429,7,Linear,0.8,1.0
30,Twitter_volume_FB.csv,0.16950158137339677,Linear,1.0,8,Linear,0.8,1.0
31,Twitter_volume_GOOG.csv,0.18404313081773924,Linear,0.4,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_FB.csv,0.014541549444342468,Linear,1.0,1,Linear,0.4,1.0
35,Twitter_volume_UPS.csv,0.028275805696343095,Linear,0.28571429,2,Linear,0.4,1.0
36,Twitter_volume_CVS.csv,0.034576045604041004,Linear,0.66666667,3,Linear,0.4,1.0
37,Twitter_volume_IBM.csv,0.051167780933431946,Linear,0.5,4,Linear,0.4,1.0
38,Twitter_volume_CRM.csv,0.07826374291933626,KMeans,0.54545455,5,Linear,0.4,1.0
39,Twitter_volume_PFE.csv,0.07958480492764029,KMeans,0.42857143,6,Linear,0.4,1.0
40,Twitter_volume_AMZN.csv,0.10842018764553682,KMeans,0.66666667,7,Linear,0.4,1.0
41,Twitter_volume_AAPL.csv,0.11984855897175506,Linear,0.4,8,Linear,0.4,1.0
42,Twitter_volume_KO.csv,0.18404313081773924,Linear,0.8,9,Linear,0.4,1.0
43,,,,,,,,
44,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
45,Twitter_volume_UPS.csv,0.006300239907697909,Linear,0.28571429,1,Linear,0.66666667,1.0
46,Twitter_volume_IBM.csv,0.01659173532939094,Linear,0.5,2,Linear,0.66666667,1.0
47,Twitter_volume_FB.csv,0.020034496159698538,Linear,1.0,3,Linear,0.66666667,1.0
48,Twitter_volume_GOOG.csv,0.034576045604041004,Linear,0.4,4,Linear,0.66666667,1.0
49,Twitter_volume_CRM.csv,0.043687697315295246,KMeans,0.54545455,5,Linear,0.66666667,1.0
50,Twitter_volume_PFE.csv,0.04500875932359928,KMeans,0.42857143,6,Linear,0.66666667,1.0
51,Twitter_volume_AMZN.csv,0.07384414204149581,KMeans,0.66666667,7,Linear,0.66666667,1.0
52,Twitter_volume_AAPL.csv,0.08527251336771405,Linear,0.4,8,Linear,0.66666667,1.0
53,Twitter_volume_KO.csv,0.14946708521369823,Linear,0.8,9,Linear,0.66666667,1.0
54,,,,,,,,
55,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
56,Twitter_volume_UPS.csv,0.013734256252000629,Linear,0.28571429,1,Linear,1.0,1.0
57,Twitter_volume_GOOG.csv,0.014541549444342468,Linear,0.4,2,Linear,1.0,1.0
