,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_AMZN.csv,0.14266985818752959,KMeans,0.66666667,1,KMeans,0.4,1.0
2,Twitter_volume_CRM.csv,1.867968786017564,KMeans,0.54545455,2,KMeans,0.4,1.0
3,Twitter_volume_PFE.csv,1.9851565499733836,KMeans,0.42857143,3,KMeans,0.4,1.0
4,Twitter_volume_KO.csv,2.0480442282929263,Linear,0.8,4,KMeans,0.4,1.0
5,Twitter_volume_UPS.csv,2.1377629829303566,Linear,0.28571429,5,KMeans,0.4,1.0
6,Twitter_volume_CVS.csv,2.72548740088051,Linear,0.66666667,6,KMeans,0.4,1.0
7,Twitter_volume_GOOG.csv,2.7970680978314117,Linear,0.4,7,Linear,0.4,1.0
8,Twitter_volume_IBM.csv,4.497994928854492,Linear,0.5,8,Linear,0.4,1.0
9,Twitter_volume_FB.csv,4.997860841905885,Linear,1.0,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_AAPL.csv,2.1377629829303566,Linear,0.4,1,Linear,0.28571429,1.0
13,Twitter_volume_AMZN.csv,2.1818831501080624,KMeans,0.66666667,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_PFE.csv,2.263611447939261,KMeans,0.42857143,3,KMeans,0.22222222,0.93650793
15,Twitter_volume_CVS.csv,3.001277564390351,Linear,0.66666667,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_CRM.csv,4.00573176894792,KMeans,0.54545455,5,KMeans,0.22222222,0.93650793
17,Twitter_volume_KO.csv,4.185807211223283,Linear,0.8,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_GOOG.csv,4.566111006375271,Linear,0.4,7,Linear,0.28571429,1.0
19,Twitter_volume_IBM.csv,6.635757911784848,Linear,0.5,8,Linear,0.28571429,1.0
20,Twitter_volume_FB.csv,7.135623824836241,Linear,1.0,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_CRM.csv,0.6616561506726093,KMeans,0.54545455,1,KMeans,0.8,1.0
24,Twitter_volume_AMZN.csv,2.0039240611152205,KMeans,0.66666667,2,KMeans,0.8,1.0
25,Twitter_volume_AAPL.csv,2.0480442282929263,Linear,0.4,3,KMeans,0.8,1.0
26,Twitter_volume_IBM.csv,2.4499507005615655,Linear,0.5,4,KMeans,0.8,1.0
27,Twitter_volume_FB.csv,2.9498166136129584,Linear,1.0,5,Linear,0.8,1.0
28,Twitter_volume_PFE.csv,3.1137911703474304,KMeans,0.42857143,6,KMeans,0.8,1.0
29,Twitter_volume_CVS.csv,3.8541220212545566,Linear,0.66666667,7,Linear,0.8,1.0
30,Twitter_volume_GOOG.csv,4.023757335050661,Linear,0.4,8,Linear,0.8,1.0
31,Twitter_volume_UPS.csv,4.185807211223283,Linear,0.28571429,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_AAPL.csv,2.7970680978314117,Linear,0.4,1,Linear,0.4,1.0
35,Twitter_volume_AMZN.csv,2.907789192382876,KMeans,0.66666667,2,KMeans,0.4,1.0
36,Twitter_volume_KO.csv,4.023757335050661,Linear,0.8,3,Linear,0.4,1.0
37,Twitter_volume_CRM.csv,4.452929295154611,KMeans,0.54545455,4,KMeans,0.4,1.0
38,Twitter_volume_UPS.csv,4.566111006375271,Linear,0.28571429,5,Linear,0.4,1.0
39,Twitter_volume_PFE.csv,4.758803034428048,KMeans,0.42857143,6,KMeans,0.4,1.0
40,Twitter_volume_CVS.csv,5.496469150879137,Linear,0.66666667,7,Linear,0.4,1.0
41,Twitter_volume_IBM.csv,6.473708035612226,Linear,0.5,8,Linear,0.4,1.0
42,Twitter_volume_FB.csv,6.973573948663621,Linear,1.0,9,Linear,0.4,1.0
43,,,,,,,,
44,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
45,Twitter_volume_PFE.csv,0.7403308509071264,KMeans,0.42857143,1,KMeans,0.66666667,1.0
46,Twitter_volume_AMZN.csv,2.594570424135922,KMeans,0.66666667,2,KMeans,0.66666667,1.0
47,Twitter_volume_AAPL.csv,2.72548740088051,Linear,0.4,3,KMeans,0.66666667,1.0
48,Twitter_volume_UPS.csv,3.001277564390351,Linear,0.28571429,4,KMeans,0.66666667,1.0
49,Twitter_volume_CRM.csv,3.2135312977028296,KMeans,0.54545455,5,KMeans,0.66666667,1.0
50,Twitter_volume_KO.csv,3.8541220212545566,Linear,0.8,6,KMeans,0.66666667,1.0
51,Twitter_volume_GOOG.csv,5.496469150879137,Linear,0.4,7,Linear,0.66666667,1.0
52,Twitter_volume_IBM.csv,5.577044773417475,Linear,0.5,8,Linear,0.66666667,1.0
53,Twitter_volume_FB.csv,6.161070130269465,Linear,1.0,9,Linear,0.66666667,1.0
54,,,,,,,,
55,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
56,Twitter_volume_IBM.csv,0.6013321058980406,Linear,0.5,1,Linear,1.0,1.0
57,Twitter_volume_KO.csv,2.9498166136129584,Linear,0.8,2,Linear,1.0,1.0
58,Twitter_volume_CRM.csv,3.129892055888321,KMeans,0.54545455,3,Linear,1.0,1.0
59,Twitter_volume_AMZN.csv,4.953740674728179,KMeans,0.66666667,4,KMeans,1.0,1.0
60,Twitter_volume_AAPL.csv,4.997860841905885,Linear,0.4,5,Linear,1.0,1.0
61,Twitter_volume_PFE.csv,5.420739279362339,KMeans,0.42857143,6,KMeans,1.0,1.0
62,Twitter_volume_CVS.csv,6.161070130269465,Linear,0.66666667,7,Linear,1.0,1.0
63,Twitter_volume_GOOG.csv,6.973573948663621,Linear,0.4,8,Linear,1.0,1.0
64,Twitter_volume_UPS.csv,7.135623824836241,Linear,0.28571429,9,Linear,1.0,1.0
65,,,,,,,,
66,Twitter_volume_IBM.csv,0,Linear,0.5,0,Linear,0.5,1
67,Twitter_volume_FB.csv,0.6013321058980406,Linear,1.0,1,Linear,0.5,1.0
68,Twitter_volume_KO.csv,2.4499507005615655,Linear,0.8,2,Linear,0.5,1.0
69,Twitter_volume_CRM.csv,2.6300261428369276,KMeans,0.54545455,3,Linear,0.5,1.0
70,Twitter_volume_AMZN.csv,4.4538747616767855,KMeans,0.66666667,4,KMeans,0.5,1.0
71,Twitter_volume_AAPL.csv,4.497994928854492,Linear,0.4,5,Linear,0.5,1.0
72,Twitter_volume_PFE.csv,4.836713922510349,KMeans,0.42857143,6,KMeans,0.5,1.0
73,Twitter_volume_CVS.csv,5.577044773417475,Linear,0.66666667,7,Linear,0.5,1.0
74,Twitter_volume_GOOG.csv,6.473708035612226,Linear,0.4,8,Linear,0.5,1.0
75,Twitter_volume_UPS.csv,6.635757911784848,Linear,0.28571429,9,Linear,0.5,1.0
76,,,,,,,,
77,Twitter_volume_CRM.csv,0,KMeans,0.54545455,0,KMeans,0.54545455,1
78,Twitter_volume_KO.csv,0.6616561506726093,Linear,0.8,1,Linear,0.5,0.95454545
79,Twitter_volume_AMZN.csv,1.823848618839858,KMeans,0.66666667,2,KMeans,0.54545455,1.0
80,Twitter_volume_AAPL.csv,1.867968786017564,Linear,0.4,3,Linear,0.5,0.95454545
81,Twitter_volume_PFE.csv,2.4732004467957034,KMeans,0.42857143,4,KMeans,0.54545455,1.0
82,Twitter_volume_IBM.csv,2.6300261428369276,Linear,0.5,5,Linear,0.5,0.95454545
83,Twitter_volume_FB.csv,3.129892055888321,Linear,1.0,6,Linear,0.5,0.95454545
84,Twitter_volume_CVS.csv,3.2135312977028296,Linear,0.66666667,7,Linear,0.5,0.95454545
85,Twitter_volume_UPS.csv,4.00573176894792,Linear,0.28571429,8,Linear,0.5,0.95454545
86,Twitter_volume_GOOG.csv,4.452929295154611,Linear,0.4,9,Linear,0.5,0.95454545
87,,,,,,,,
88,Twitter_volume_PFE.csv,0,KMeans,0.42857143,0,KMeans,0.42857143,1
89,Twitter_volume_CVS.csv,0.7403308509071264,Linear,0.66666667,1,Linear,0.36363636,0.93506493
90,Twitter_volume_AMZN.csv,1.8569043076848328,KMeans,0.66666667,2,KMeans,0.42857143,1.0
91,Twitter_volume_AAPL.csv,1.9851565499733836,Linear,0.4,3,Linear,0.36363636,0.93506493
92,Twitter_volume_UPS.csv,2.263611447939261,Linear,0.28571429,4,Linear,0.36363636,0.93506493
93,Twitter_volume_CRM.csv,2.4732004467957034,KMeans,0.54545455,5,Linear,0.36363636,0.93506493
94,Twitter_volume_KO.csv,3.1137911703474304,Linear,0.8,6,Linear,0.36363636,0.93506493
95,Twitter_volume_GOOG.csv,4.758803034428048,Linear,0.4,7,Linear,0.36363636,0.93506493
96,Twitter_volume_IBM.csv,4.836713922510349,Linear,0.5,8,Linear,0.36363636,0.93506493
97,Twitter_volume_FB.csv,5.420739279362339,Linear,1.0,9,Linear,0.36363636,0.93506493
98,,,,,,,,
99,Twitter_volume_AMZN.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
100,Twitter_volume_AAPL.csv,0.14266985818752959,Linear,0.4,1,Linear,0.57142857,0.9047619
101,Twitter_volume_CRM.csv,1.823848618839858,KMeans,0.54545455,2,KMeans,0.66666667,1.0
102,Twitter_volume_PFE.csv,1.8569043076848328,KMeans,0.42857143,3,KMeans,0.66666667,1.0
103,Twitter_volume_KO.csv,2.0039240611152205,Linear,0.8,4,KMeans,0.66666667,1.0
104,Twitter_volume_UPS.csv,2.1818831501080624,Linear,0.28571429,5,Linear,0.57142857,0.9047619
105,Twitter_volume_CVS.csv,2.594570424135922,Linear,0.66666667,6,Linear,0.57142857,0.9047619
106,Twitter_volume_GOOG.csv,2.907789192382876,Linear,0.4,7,Linear,0.57142857,0.9047619
107,Twitter_volume_IBM.csv,4.4538747616767855,Linear,0.5,8,Linear,0.57142857,0.9047619
108,Twitter_volume_FB.csv,4.953740674728179,Linear,1.0,9,Linear,0.57142857,0.9047619
109,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.7,0.9794372280000001
0,,,,,2.0,,0.9,0.9936507929999999
0,,,,,3.0,,0.7,0.982611831
0,,,,,4.0,,0.8,0.9871572859999999
0,,,,,5.0,,0.6,0.973088021
0,,,,,6.0,,0.6,0.973088021
0,,,,,7.0,,0.7,0.9794372280000001
0,,,,,8.0,,0.7,0.9794372280000001
0,,,,,9.0,,0.7,0.9794372280000001
0,,,,,10.0,,0.0,0.0
