,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_AMZN.csv,0.012125371879886299,KMeans,0.66666667,1,KMeans,0.4,1.0
2,Twitter_volume_KO.csv,0.03272612945268,Linear,0.8,2,KMeans,0.4,1.0
3,Twitter_volume_PFE.csv,0.04674486271559734,KMeans,0.42857143,3,KMeans,0.4,1.0
4,Twitter_volume_FB.csv,0.07880626867128036,Linear,1.0,4,KMeans,0.4,1.0
5,Twitter_volume_GOOG.csv,0.0897187783291395,Linear,0.4,5,Linear,0.4,1.0
6,Twitter_volume_IBM.csv,0.10646675999906131,Linear,0.5,6,Linear,0.4,1.0
7,Twitter_volume_CVS.csv,0.14328943591641902,Linear,0.66666667,7,Linear,0.4,1.0
8,Twitter_volume_UPS.csv,0.18525071494059991,Linear,0.28571429,8,Linear,0.4,1.0
9,Twitter_volume_CRM.csv,0.2719954032488937,KMeans,0.54545455,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_CVS.csv,0.0006425256504176899,Linear,0.66666667,1,Linear,0.28571429,1.0
13,Twitter_volume_CRM.csv,0.004880347106325216,KMeans,0.54545455,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_PFE.csv,0.006405887434699756,KMeans,0.42857143,3,KMeans,0.22222222,0.93650793
15,Twitter_volume_KO.csv,0.01849375034142011,Linear,0.8,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_AAPL.csv,0.05007151745964592,Linear,0.4,5,Linear,0.28571429,1.0
17,Twitter_volume_AMZN.csv,0.07251401580241068,KMeans,0.66666667,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_IBM.csv,0.16321107086577963,Linear,0.5,7,Linear,0.28571429,1.0
19,Twitter_volume_GOOG.csv,0.588562464939236,Linear,0.4,8,Linear,0.28571429,1.0
20,Twitter_volume_FB.csv,0.8892012877901315,Linear,1.0,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_AMZN.csv,0.0013449910822006857,KMeans,0.66666667,1,KMeans,0.8,1.0
24,Twitter_volume_IBM.csv,0.003493278360301934,Linear,0.5,2,KMeans,0.8,1.0
25,Twitter_volume_AAPL.csv,0.004945903958050919,Linear,0.4,3,Linear,0.8,1.0
26,Twitter_volume_UPS.csv,0.008631596419399978,Linear,0.28571429,4,Linear,0.8,1.0
27,Twitter_volume_CVS.csv,0.11711865577274987,Linear,0.66666667,5,Linear,0.8,1.0
28,Twitter_volume_PFE.csv,0.12150270289629352,KMeans,0.42857143,6,Linear,0.8,1.0
29,Twitter_volume_CRM.csv,0.14859241036165788,KMeans,0.54545455,7,Linear,0.8,1.0
30,Twitter_volume_FB.csv,0.36153053257643136,Linear,1.0,8,Linear,0.8,1.0
31,Twitter_volume_GOOG.csv,0.6763205035816788,Linear,0.4,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_FB.csv,0.1403168727209445,Linear,1.0,1,Linear,0.4,1.0
35,Twitter_volume_CRM.csv,0.29672180829844663,KMeans,0.54545455,2,KMeans,0.4,1.0
36,Twitter_volume_CVS.csv,0.3364479265783073,Linear,0.66666667,3,Linear,0.4,1.0
37,Twitter_volume_PFE.csv,0.34437932144240185,KMeans,0.42857143,4,KMeans,0.4,1.0
38,Twitter_volume_AMZN.csv,0.4296835820788989,KMeans,0.66666667,5,KMeans,0.4,1.0
39,Twitter_volume_AAPL.csv,0.439926556617052,Linear,0.4,6,KMeans,0.4,1.0
40,Twitter_volume_UPS.csv,0.44756806074665456,Linear,0.28571429,7,Linear,0.4,1.0
41,Twitter_volume_KO.csv,0.4482855236195929,Linear,0.8,8,Linear,0.4,1.0
42,Twitter_volume_IBM.csv,0.4553515562078511,Linear,0.5,9,Linear,0.4,1.0
43,,,,,,,,
44,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
45,Twitter_volume_KO.csv,0.012954566065352568,Linear,0.8,1,Linear,0.66666667,1.0
46,Twitter_volume_PFE.csv,0.016446881027694236,KMeans,0.42857143,2,KMeans,0.66666667,1.0
47,Twitter_volume_IBM.csv,0.022116810143245413,Linear,0.5,3,Linear,0.66666667,1.0
48,Twitter_volume_GOOG.csv,0.022501636568246153,Linear,0.4,4,Linear,0.66666667,1.0
49,Twitter_volume_CRM.csv,0.036954146271478375,KMeans,0.54545455,5,Linear,0.66666667,1.0
50,Twitter_volume_AAPL.csv,0.2339337964956968,Linear,0.4,6,Linear,0.66666667,1.0
51,Twitter_volume_AMZN.csv,0.26100816214558703,KMeans,0.66666667,7,Linear,0.66666667,1.0
52,Twitter_volume_FB.csv,0.2954706058588402,Linear,1.0,8,Linear,0.66666667,1.0
53,Twitter_volume_UPS.csv,0.37107278425467805,Linear,0.28571429,9,Linear,0.66666667,1.0
54,,,,,,,,
55,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
56,Twitter_volume_GOOG.csv,0.175055101863845,Linear,0.4,1,Linear,1.0,1.0
57,Twitter_volume_CRM.csv,0.18537289744078173,KMeans,0.54545455,2,KMeans,1.0,1.0
58,Twitter_volume_CVS.csv,0.22190079147533312,Linear,0.66666667,3,Linear,1.0,1.0
59,Twitter_volume_PFE.csv,0.22603306351762173,KMeans,0.42857143,4,KMeans,1.0,1.0
60,Twitter_volume_AMZN.csv,0.3171659021396385,KMeans,0.66666667,5,KMeans,1.0,1.0
61,Twitter_volume_AAPL.csv,0.32667251551117654,Linear,0.4,6,KMeans,1.0,1.0
62,Twitter_volume_KO.csv,0.33233024238690984,Linear,0.8,7,Linear,1.0,1.0
63,Twitter_volume_UPS.csv,0.33535363971335835,Linear,0.28571429,8,Linear,1.0,1.0
64,Twitter_volume_IBM.csv,0.3372176964314969,Linear,0.5,9,Linear,1.0,1.0
65,,,,,,,,
66,Twitter_volume_IBM.csv,0,Linear,0.5,0,Linear,0.5,1
67,Twitter_volume_AMZN.csv,0.00539601603087612,KMeans,0.66666667,1,KMeans,0.5,1.0
68,Twitter_volume_AAPL.csv,0.013539947161240594,Linear,0.4,2,KMeans,0.5,1.0
69,Twitter_volume_UPS.csv,0.052948704114134756,Linear,0.28571429,3,Linear,0.5,1.0
70,Twitter_volume_KO.csv,0.05681196072334343,Linear,0.8,4,Linear,0.5,1.0
71,Twitter_volume_FB.csv,0.24717359020879678,Linear,1.0,5,Linear,0.5,1.0
72,Twitter_volume_CVS.csv,0.2519155075651513,Linear,0.66666667,6,Linear,0.5,1.0
73,Twitter_volume_PFE.csv,0.2704835039722727,KMeans,0.42857143,7,Linear,0.5,1.0
74,Twitter_volume_CRM.csv,0.28740949466878407,KMeans,0.54545455,8,Linear,0.5,1.0
75,Twitter_volume_GOOG.csv,1.149154929384988,Linear,0.4,9,Linear,0.5,1.0
76,,,,,,,,
77,Twitter_volume_CRM.csv,0,KMeans,0.54545455,0,KMeans,0.54545455,1
78,Twitter_volume_KO.csv,0.0017622477002108422,Linear,0.8,1,Linear,0.5,0.95454545
79,Twitter_volume_UPS.csv,0.0034015515170190656,Linear,0.28571429,2,Linear,0.5,0.95454545
80,Twitter_volume_PFE.csv,0.004174337849153428,KMeans,0.42857143,3,Linear,0.5,0.95454545
81,Twitter_volume_CVS.csv,0.008663484181928973,Linear,0.66666667,4,Linear,0.5,0.95454545
82,Twitter_volume_AAPL.csv,0.05121815778731777,Linear,0.4,5,Linear,0.5,0.95454545
83,Twitter_volume_AMZN.csv,0.07443906491692967,KMeans,0.66666667,6,Linear,0.5,0.95454545
84,Twitter_volume_IBM.csv,0.10731423956445357,Linear,0.5,7,Linear,0.5,0.95454545
85,Twitter_volume_GOOG.csv,0.4476806292498625,Linear,0.4,8,Linear,0.5,0.95454545
86,Twitter_volume_FB.csv,0.7743421021669473,Linear,1.0,9,Linear,0.5,0.95454545
87,,,,,,,,
88,Twitter_volume_PFE.csv,0,KMeans,0.42857143,0,KMeans,0.42857143,1
