,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_KO.csv,0.055602706358023196,Linear,0.8,1,Linear,0.4,1.0
2,Twitter_volume_AMZN.csv,0.12679378109090644,KMeans,0.66666667,2,KMeans,0.4,1.0
3,Twitter_volume_CRM.csv,0.19807197189174516,KMeans,0.54545455,3,KMeans,0.4,1.0
4,Twitter_volume_UPS.csv,0.795311448202264,Linear,0.28571429,4,KMeans,0.4,1.0
5,Twitter_volume_IBM.csv,0.9117689313346602,Linear,0.5,5,Linear,0.4,1.0
6,Twitter_volume_PFE.csv,1.4735906065229687,KMeans,0.42857143,6,KMeans,0.4,1.0
7,Twitter_volume_FB.csv,1.537668350356262,Linear,1.0,7,Linear,0.4,1.0
8,Twitter_volume_CVS.csv,2.2124489041776627,Linear,0.66666667,8,Linear,0.4,1.0
9,Twitter_volume_GOOG.csv,2.671612251223893,Linear,0.4,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_IBM.csv,0.11645748313239623,Linear,0.5,1,Linear,0.28571429,1.0
13,Twitter_volume_CRM.csv,0.5972394763105189,KMeans,0.54545455,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_AMZN.csv,0.6685176671113575,KMeans,0.66666667,3,KMeans,0.22222222,0.93650793
15,Twitter_volume_PFE.csv,0.6782791583207046,KMeans,0.42857143,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_FB.csv,0.742356902153998,Linear,1.0,5,KMeans,0.22222222,0.93650793
17,Twitter_volume_AAPL.csv,0.795311448202264,Linear,0.4,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_KO.csv,0.8509141545602872,Linear,0.8,7,Linear,0.28571429,1.0
19,Twitter_volume_CVS.csv,1.4171374559753989,Linear,0.66666667,8,Linear,0.28571429,1.0
20,Twitter_volume_GOOG.csv,1.876300803021629,Linear,0.4,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_AAPL.csv,0.055602706358023196,Linear,0.4,1,Linear,0.8,1.0
24,Twitter_volume_AMZN.csv,0.18239648744892964,KMeans,0.66666667,2,KMeans,0.8,1.0
25,Twitter_volume_CRM.csv,0.25367467824976836,KMeans,0.54545455,3,KMeans,0.8,1.0
26,Twitter_volume_UPS.csv,0.8509141545602872,Linear,0.28571429,4,KMeans,0.8,1.0
27,Twitter_volume_IBM.csv,0.9673716376926834,Linear,0.5,5,Linear,0.8,1.0
28,Twitter_volume_PFE.csv,1.5291933128809918,KMeans,0.42857143,6,KMeans,0.8,1.0
29,Twitter_volume_FB.csv,1.5932710567142851,Linear,1.0,7,Linear,0.8,1.0
30,Twitter_volume_CVS.csv,2.268051610535686,Linear,0.66666667,8,Linear,0.8,1.0
31,Twitter_volume_GOOG.csv,2.727214957581916,Linear,0.4,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_CVS.csv,0.4591633470462302,Linear,0.66666667,1,Linear,0.4,1.0
35,Twitter_volume_FB.csv,1.133943900867631,Linear,1.0,2,Linear,0.4,1.0
36,Twitter_volume_PFE.csv,1.1980216447009244,KMeans,0.42857143,3,Linear,0.4,1.0
37,Twitter_volume_IBM.csv,1.759843319889233,Linear,0.5,4,Linear,0.4,1.0
38,Twitter_volume_UPS.csv,1.876300803021629,Linear,0.28571429,5,Linear,0.4,1.0
39,Twitter_volume_CRM.csv,2.473540279332148,KMeans,0.54545455,6,Linear,0.4,1.0
40,Twitter_volume_AMZN.csv,2.5448184701329866,KMeans,0.66666667,7,Linear,0.4,1.0
41,Twitter_volume_AAPL.csv,2.671612251223893,Linear,0.4,8,Linear,0.4,1.0
42,Twitter_volume_KO.csv,2.727214957581916,Linear,0.8,9,Linear,0.4,1.0
43,,,,,,,,
44,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
45,Twitter_volume_GOOG.csv,0.4591633470462302,Linear,0.4,1,Linear,0.66666667,1.0
46,Twitter_volume_FB.csv,0.6747805538214009,Linear,1.0,2,Linear,0.66666667,1.0
47,Twitter_volume_PFE.csv,0.7388582976546942,KMeans,0.42857143,3,Linear,0.66666667,1.0
48,Twitter_volume_IBM.csv,1.3006799728430027,Linear,0.5,4,Linear,0.66666667,1.0
49,Twitter_volume_UPS.csv,1.4171374559753989,Linear,0.28571429,5,Linear,0.66666667,1.0
50,Twitter_volume_CRM.csv,2.0143769322859177,KMeans,0.54545455,6,Linear,0.66666667,1.0
51,Twitter_volume_AMZN.csv,2.0856551230867564,KMeans,0.66666667,7,Linear,0.66666667,1.0
52,Twitter_volume_AAPL.csv,2.2124489041776627,Linear,0.4,8,Linear,0.66666667,1.0
53,Twitter_volume_KO.csv,2.268051610535686,Linear,0.8,9,Linear,0.66666667,1.0
54,,,,,,,,
55,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
56,Twitter_volume_PFE.csv,0.06407774383329334,KMeans,0.42857143,1,KMeans,1.0,1.0
57,Twitter_volume_IBM.csv,0.6258994190216017,Linear,0.5,2,KMeans,1.0,1.0
58,Twitter_volume_CVS.csv,0.6747805538214009,Linear,0.66666667,3,Linear,1.0,1.0
59,Twitter_volume_UPS.csv,0.742356902153998,Linear,0.28571429,4,Linear,1.0,1.0
60,Twitter_volume_GOOG.csv,1.133943900867631,Linear,0.4,5,Linear,1.0,1.0
61,Twitter_volume_CRM.csv,1.3395963784645168,KMeans,0.54545455,6,Linear,1.0,1.0
62,Twitter_volume_AMZN.csv,1.4108745692653555,KMeans,0.66666667,7,Linear,1.0,1.0
63,Twitter_volume_AAPL.csv,1.537668350356262,Linear,0.4,8,Linear,1.0,1.0
64,Twitter_volume_KO.csv,1.5932710567142851,Linear,0.8,9,Linear,1.0,1.0
65,,,,,,,,
66,Twitter_volume_IBM.csv,0,Linear,0.5,0,Linear,0.5,1
67,Twitter_volume_UPS.csv,0.11645748313239623,Linear,0.28571429,1,Linear,0.5,1.0
68,Twitter_volume_PFE.csv,0.5618216751883084,KMeans,0.42857143,2,KMeans,0.5,1.0
69,Twitter_volume_FB.csv,0.6258994190216017,Linear,1.0,3,Linear,0.5,1.0
70,Twitter_volume_CRM.csv,0.713696959442915,KMeans,0.54545455,4,KMeans,0.5,1.0
71,Twitter_volume_AMZN.csv,0.7849751502437537,KMeans,0.66666667,5,KMeans,0.5,1.0
72,Twitter_volume_AAPL.csv,0.9117689313346602,Linear,0.4,6,KMeans,0.5,1.0
73,Twitter_volume_KO.csv,0.9673716376926834,Linear,0.8,7,Linear,0.5,1.0
74,Twitter_volume_CVS.csv,1.3006799728430027,Linear,0.66666667,8,Linear,0.5,1.0
75,Twitter_volume_GOOG.csv,1.759843319889233,Linear,0.4,9,Linear,0.5,1.0
76,,,,,,,,
77,Twitter_volume_CRM.csv,0,KMeans,0.54545455,0,KMeans,0.54545455,1
78,Twitter_volume_AMZN.csv,0.07127819080083872,KMeans,0.66666667,1,KMeans,0.54545455,1.0
79,Twitter_volume_AAPL.csv,0.19807197189174516,Linear,0.4,2,KMeans,0.54545455,1.0
80,Twitter_volume_KO.csv,0.25367467824976836,Linear,0.8,3,Linear,0.5,0.95454545
81,Twitter_volume_UPS.csv,0.5972394763105189,Linear,0.28571429,4,Linear,0.5,0.95454545
82,Twitter_volume_IBM.csv,0.713696959442915,Linear,0.5,5,Linear,0.5,0.95454545
83,Twitter_volume_PFE.csv,1.2755186346312235,KMeans,0.42857143,6,Linear,0.5,0.95454545
84,Twitter_volume_FB.csv,1.3395963784645168,Linear,1.0,7,Linear,0.5,0.95454545
85,Twitter_volume_CVS.csv,2.0143769322859177,Linear,0.66666667,8,Linear,0.5,0.95454545
