,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_PFE.csv,0.0011755936,KMeans,0.42857143,1,KMeans,0.4,1.0
2,Twitter_volume_CVS.csv,0.0013119616,Linear,0.66666667,2,KMeans,0.4,1.0
3,Twitter_volume_GOOG.csv,0.0016031377,Linear,0.4,3,Linear,0.4,1.0
4,Twitter_volume_AMZN.csv,0.0019134786,KMeans,0.66666667,4,KMeans,0.4,1.0
5,Twitter_volume_KO.csv,0.018711403,Linear,0.8,5,Linear,0.4,1.0
6,Twitter_volume_CRM.csv,0.020065095,KMeans,0.54545455,6,KMeans,0.4,1.0
7,Twitter_volume_UPS.csv,0.23657529,Linear,0.28571429,7,Linear,0.4,1.0
8,Twitter_volume_FB.csv,0.28658438,Linear,1.0,8,Linear,0.4,1.0
9,Twitter_volume_IBM.csv,0.28960836,Linear,0.5,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_PFE.csv,0.0012194868,KMeans,0.42857143,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_CVS.csv,0.0013609249,Linear,0.66666667,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_GOOG.csv,0.0016628671,Linear,0.4,3,Linear,0.28571429,1.0
15,Twitter_volume_AMZN.csv,0.0019846484,KMeans,0.66666667,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_KO.csv,0.01629704,Linear,0.8,5,Linear,0.28571429,1.0
17,Twitter_volume_CRM.csv,0.017637936,KMeans,0.54545455,6,KMeans,0.22222222,0.93650793
18,Twitter_volume_UPS.csv,0.2433757,Linear,0.28571429,7,Linear,0.28571429,1.0
19,Twitter_volume_FB.csv,0.28287843,Linear,1.0,8,Linear,0.28571429,1.0
20,Twitter_volume_IBM.csv,0.2858938,Linear,0.5,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_PFE.csv,0.0012198593,KMeans,0.42857143,1,KMeans,0.8,1.0
24,Twitter_volume_CVS.csv,0.0013613123,Linear,0.66666667,2,KMeans,0.8,1.0
25,Twitter_volume_GOOG.csv,0.0016632862,Linear,0.4,3,Linear,0.8,1.0
26,Twitter_volume_AMZN.csv,0.0019851774,KMeans,0.66666667,4,KMeans,0.8,1.0
27,Twitter_volume_KO.csv,0.016807165,Linear,0.8,5,Linear,0.8,1.0
28,Twitter_volume_CRM.csv,0.018161166,KMeans,0.54545455,6,KMeans,0.8,1.0
29,Twitter_volume_UPS.csv,0.24264273,Linear,0.28571429,7,Linear,0.8,1.0
30,Twitter_volume_FB.csv,0.28481552,Linear,1.0,8,Linear,0.8,1.0
31,Twitter_volume_IBM.csv,0.28784055,Linear,0.5,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_PFE.csv,0.001100298,KMeans,0.42857143,1,KMeans,0.4,1.0
