,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1,
1,Twitter_volume_PFE.csv,0.012037105707764506,KMeans,0.42857143,1,KMeans,0.4,1.0,0.0
2,Twitter_volume_CVS.csv,0.013412774931509386,Linear,0.66666667,2,KMeans,0.4,1.0,0.0
3,Twitter_volume_GOOG.csv,0.016336072031966964,Linear,0.4,3,Linear,0.4,1.0,0.0
4,Twitter_volume_AMZN.csv,0.019431327785391583,KMeans,0.66666667,4,KMeans,0.4,1.0,0.0
5,Twitter_volume_KO.csv,1.0709584906851632,Linear,0.8,5,Linear,0.4,1.0,0.0
6,Twitter_volume_CRM.csv,1.0812760098632475,KMeans,0.54545455,6,KMeans,0.4,1.0,0.0
7,Twitter_volume_UPS.csv,1.093657032876948,Linear,0.28571429,7,Linear,0.4,1.0,0.0
8,Twitter_volume_FB.csv,2.1532662524662185,Linear,1.0,8,Linear,0.4,1.0,0.0
9,Twitter_volume_IBM.csv,2.161520267808686,Linear,0.5,9,Linear,0.4,1.0,0.0
10,,,,,,,,,
11,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1,
12,Twitter_volume_PFE.csv,0.012037105707764506,KMeans,0.42857143,1,KMeans,0.4,1.0,0.1
13,Twitter_volume_CVS.csv,0.013412774931509386,Linear,0.66666667,2,KMeans,0.4,1.0,0.1
14,Twitter_volume_GOOG.csv,0.016336072031966964,Linear,0.4,3,Linear,0.4,1.0,0.1
15,Twitter_volume_AMZN.csv,0.019431327785391583,KMeans,0.66666667,4,KMeans,0.4,1.0,0.1
16,Twitter_volume_KO.csv,1.0709584906851632,Linear,0.8,5,Linear,0.4,1.0,0.1
17,Twitter_volume_CRM.csv,1.0812760098632475,KMeans,0.54545455,6,KMeans,0.4,1.0,0.1
18,Twitter_volume_UPS.csv,1.093657032876948,Linear,0.28571429,7,Linear,0.4,1.0,0.1
19,Twitter_volume_FB.csv,2.1532662524662185,Linear,1.0,8,Linear,0.4,1.0,0.1
20,Twitter_volume_IBM.csv,2.161520267808686,Linear,0.5,9,Linear,0.4,1.0,0.1
21,,,,,,,,,
22,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1,
23,Twitter_volume_PFE.csv,0.012037105707764506,KMeans,0.42857143,1,KMeans,0.4,1.0,0.2
24,Twitter_volume_CVS.csv,0.013412774931509386,Linear,0.66666667,2,KMeans,0.4,1.0,0.2
25,Twitter_volume_GOOG.csv,0.016336072031966964,Linear,0.4,3,Linear,0.4,1.0,0.2
26,Twitter_volume_AMZN.csv,0.019431327785391583,KMeans,0.66666667,4,KMeans,0.4,1.0,0.2
27,Twitter_volume_KO.csv,1.0709584906851632,Linear,0.8,5,Linear,0.4,1.0,0.2
28,Twitter_volume_CRM.csv,1.0812760098632475,KMeans,0.54545455,6,KMeans,0.4,1.0,0.2
29,Twitter_volume_UPS.csv,1.093657032876948,Linear,0.28571429,7,Linear,0.4,1.0,0.2
30,Twitter_volume_FB.csv,2.1532662524662185,Linear,1.0,8,Linear,0.4,1.0,0.2
31,Twitter_volume_IBM.csv,2.161520267808686,Linear,0.5,9,Linear,0.4,1.0,0.2
32,,,,,,,,,
33,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1,
34,Twitter_volume_PFE.csv,0.012037105707764506,KMeans,0.42857143,1,KMeans,0.4,1.0,0.30000000000000004
35,Twitter_volume_CVS.csv,0.013412774931509386,Linear,0.66666667,2,KMeans,0.4,1.0,0.30000000000000004
36,Twitter_volume_GOOG.csv,0.016336072031966964,Linear,0.4,3,Linear,0.4,1.0,0.30000000000000004
37,Twitter_volume_AMZN.csv,0.019431327785391583,KMeans,0.66666667,4,KMeans,0.4,1.0,0.30000000000000004
38,Twitter_volume_KO.csv,1.0709584906851632,Linear,0.8,5,Linear,0.4,1.0,0.30000000000000004
39,Twitter_volume_CRM.csv,1.0812760098632475,KMeans,0.54545455,6,KMeans,0.4,1.0,0.30000000000000004
40,Twitter_volume_UPS.csv,1.093657032876948,Linear,0.28571429,7,Linear,0.4,1.0,0.30000000000000004
41,Twitter_volume_FB.csv,2.1532662524662185,Linear,1.0,8,Linear,0.4,1.0,0.30000000000000004
42,Twitter_volume_IBM.csv,2.161520267808686,Linear,0.5,9,Linear,0.4,1.0,0.30000000000000004
43,,,,,,,,,
44,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1,
45,Twitter_volume_PFE.csv,0.012037105707764506,KMeans,0.42857143,1,KMeans,0.4,1.0,0.4
46,Twitter_volume_CVS.csv,0.013412774931509386,Linear,0.66666667,2,KMeans,0.4,1.0,0.4
47,Twitter_volume_GOOG.csv,0.016336072031966964,Linear,0.4,3,Linear,0.4,1.0,0.4
48,Twitter_volume_AMZN.csv,0.019431327785391583,KMeans,0.66666667,4,KMeans,0.4,1.0,0.4
49,Twitter_volume_KO.csv,1.0709584906851632,Linear,0.8,5,Linear,0.4,1.0,0.4
50,Twitter_volume_CRM.csv,1.0812760098632475,KMeans,0.54545455,6,KMeans,0.4,1.0,0.4
51,Twitter_volume_UPS.csv,1.093657032876948,Linear,0.28571429,7,Linear,0.4,1.0,0.4
52,Twitter_volume_FB.csv,2.1532662524662185,Linear,1.0,8,Linear,0.4,1.0,0.4
53,Twitter_volume_IBM.csv,2.161520267808686,Linear,0.5,9,Linear,0.4,1.0,0.4
54,,,,,,,,,
55,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1,
56,Twitter_volume_PFE.csv,0.012037105707764506,KMeans,0.42857143,1,KMeans,0.4,1.0,0.5
57,Twitter_volume_CVS.csv,0.013412774931509386,Linear,0.66666667,2,KMeans,0.4,1.0,0.5
58,Twitter_volume_GOOG.csv,0.016336072031966964,Linear,0.4,3,Linear,0.4,1.0,0.5
59,Twitter_volume_AMZN.csv,0.019431327785391583,KMeans,0.66666667,4,KMeans,0.4,1.0,0.5
60,Twitter_volume_KO.csv,1.0709584906851632,Linear,0.8,5,Linear,0.4,1.0,0.5
61,Twitter_volume_CRM.csv,1.0812760098632475,KMeans,0.54545455,6,KMeans,0.4,1.0,0.5
62,Twitter_volume_UPS.csv,1.093657032876948,Linear,0.28571429,7,Linear,0.4,1.0,0.5
63,Twitter_volume_FB.csv,2.1532662524662185,Linear,1.0,8,Linear,0.4,1.0,0.5
64,Twitter_volume_IBM.csv,2.161520267808686,Linear,0.5,9,Linear,0.4,1.0,0.5
65,,,,,,,,,
66,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1,
67,Twitter_volume_PFE.csv,0.012037105707764506,KMeans,0.42857143,1,KMeans,0.4,1.0,0.6000000000000001
68,Twitter_volume_CVS.csv,0.013412774931509386,Linear,0.66666667,2,KMeans,0.4,1.0,0.6000000000000001
69,Twitter_volume_GOOG.csv,0.016336072031966964,Linear,0.4,3,Linear,0.4,1.0,0.6000000000000001
70,Twitter_volume_AMZN.csv,0.019431327785391583,KMeans,0.66666667,4,KMeans,0.4,1.0,0.6000000000000001
71,Twitter_volume_KO.csv,1.0709584906851632,Linear,0.8,5,Linear,0.4,1.0,0.6000000000000001
72,Twitter_volume_CRM.csv,1.0812760098632475,KMeans,0.54545455,6,KMeans,0.4,1.0,0.6000000000000001
73,Twitter_volume_UPS.csv,1.093657032876948,Linear,0.28571429,7,Linear,0.4,1.0,0.6000000000000001
74,Twitter_volume_FB.csv,2.1532662524662185,Linear,1.0,8,Linear,0.4,1.0,0.6000000000000001
75,Twitter_volume_IBM.csv,2.161520267808686,Linear,0.5,9,Linear,0.4,1.0,0.6000000000000001
76,,,,,,,,,
77,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1,
78,Twitter_volume_PFE.csv,0.012037105707764506,KMeans,0.42857143,1,KMeans,0.4,1.0,0.7000000000000001
