,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_PFE.csv,0.012037105707764506,KMeans,0.42857143,1,KMeans,0.4,1.0
2,Twitter_volume_CVS.csv,0.013412774931509386,Linear,0.66666667,2,KMeans,0.4,1.0
3,Twitter_volume_GOOG.csv,0.016336072031966964,Linear,0.4,3,Linear,0.4,1.0
4,Twitter_volume_AMZN.csv,0.019431327785391583,KMeans,0.66666667,4,KMeans,0.4,1.0
5,Twitter_volume_KO.csv,1.0709584906851632,Linear,0.8,5,Linear,0.4,1.0
6,Twitter_volume_CRM.csv,1.0812760098632475,KMeans,0.54545455,6,KMeans,0.4,1.0
7,Twitter_volume_UPS.csv,1.093657032876948,Linear,0.28571429,7,Linear,0.4,1.0
8,Twitter_volume_FB.csv,2.1532662524662185,Linear,1.0,8,Linear,0.4,1.0
9,Twitter_volume_IBM.csv,2.161520267808686,Linear,0.5,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_AMZN.csv,1.0742257050915565,KMeans,0.66666667,1,KMeans,0.22222222,0.93650793
13,Twitter_volume_GOOG.csv,1.077320960844981,Linear,0.4,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_CVS.csv,1.0802442579454385,Linear,0.66666667,3,Linear,0.28571429,1.0
15,Twitter_volume_PFE.csv,1.0816199271691835,KMeans,0.42857143,4,KMeans,0.22222222,0.93650793
16,Twitter_volume_AAPL.csv,1.093657032876948,Linear,0.4,5,Linear,0.28571429,1.0
17,Twitter_volume_KO.csv,2.164615523562111,Linear,0.8,6,Linear,0.28571429,1.0
18,Twitter_volume_CRM.csv,2.174933042740195,KMeans,0.54545455,7,Linear,0.28571429,1.0
19,Twitter_volume_FB.csv,3.2469232853431667,Linear,1.0,8,Linear,0.28571429,1.0
20,Twitter_volume_IBM.csv,3.255177300685634,Linear,0.5,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_CRM.csv,0.010317519178084211,KMeans,0.54545455,1,KMeans,0.8,1.0
24,Twitter_volume_AAPL.csv,1.0709584906851632,Linear,0.4,2,KMeans,0.8,1.0
25,Twitter_volume_FB.csv,1.0823077617810553,Linear,1.0,3,Linear,0.8,1.0
26,Twitter_volume_PFE.csv,1.0829955963929276,KMeans,0.42857143,4,KMeans,0.8,1.0
27,Twitter_volume_CVS.csv,1.0843712656166726,Linear,0.66666667,5,Linear,0.8,1.0
28,Twitter_volume_GOOG.csv,1.0872945627171302,Linear,0.4,6,Linear,0.8,1.0
29,Twitter_volume_AMZN.csv,1.0903898184705547,KMeans,0.66666667,7,Linear,0.8,1.0
30,Twitter_volume_IBM.csv,1.090561777123523,Linear,0.5,8,Linear,0.8,1.0
31,Twitter_volume_UPS.csv,2.164615523562111,Linear,0.28571429,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_CVS.csv,0.002923297100457578,Linear,0.66666667,1,Linear,0.4,1.0
35,Twitter_volume_AMZN.csv,0.0030952557534246194,KMeans,0.66666667,2,KMeans,0.4,1.0
36,Twitter_volume_PFE.csv,0.004298966324202458,KMeans,0.42857143,3,KMeans,0.4,1.0
37,Twitter_volume_AAPL.csv,0.016336072031966964,Linear,0.4,4,KMeans,0.4,1.0
38,Twitter_volume_UPS.csv,1.077320960844981,Linear,0.28571429,5,Linear,0.4,1.0
39,Twitter_volume_KO.csv,1.0872945627171302,Linear,0.8,6,Linear,0.4,1.0
40,Twitter_volume_CRM.csv,1.0976120818952144,KMeans,0.54545455,7,Linear,0.4,1.0
41,Twitter_volume_FB.csv,2.1696023244981855,Linear,1.0,8,Linear,0.4,1.0
