,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
1,Twitter_volume_PFE.csv,0.0007355314575541172,KMeans,0.42857143,1,KMeans,0.4,1.0
2,Twitter_volume_CVS.csv,0.0008191813219013966,Linear,0.66666667,2,KMeans,0.4,1.0
3,Twitter_volume_GOOG.csv,0.000996653939765002,Linear,0.4,3,Linear,0.4,1.0
4,Twitter_volume_AMZN.csv,0.0011841538027068665,KMeans,0.66666667,4,KMeans,0.4,1.0
5,Twitter_volume_UPS.csv,0.04044290597352229,Linear,0.28571429,5,Linear,0.4,1.0
6,Twitter_volume_KO.csv,0.0913118948075855,Linear,0.8,6,Linear,0.4,1.0
7,Twitter_volume_CRM.csv,0.0924404344806975,KMeans,0.54545455,7,Linear,0.4,1.0
8,Twitter_volume_FB.csv,0.23557383571775858,Linear,1.0,8,Linear,0.4,1.0
9,Twitter_volume_IBM.csv,0.23687481404621735,Linear,0.5,9,Linear,0.4,1.0
10,,,,,,,,
11,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
12,Twitter_volume_AAPL.csv,0.00015374056705295958,Linear,0.4,1,Linear,0.28571429,1.0
13,Twitter_volume_PFE.csv,0.0002408173299512928,KMeans,0.42857143,2,KMeans,0.22222222,0.93650793
14,Twitter_volume_CVS.csv,0.0002506431553506161,Linear,0.66666667,3,Linear,0.28571429,1.0
15,Twitter_volume_GOOG.csv,0.00027143751008051886,Linear,0.4,4,Linear,0.28571429,1.0
16,Twitter_volume_AMZN.csv,0.0002933278774661513,KMeans,0.66666667,5,Linear,0.28571429,1.0
17,Twitter_volume_KO.csv,0.015501540196182217,Linear,0.8,6,Linear,0.28571429,1.0
18,Twitter_volume_CRM.csv,0.01572842322702317,KMeans,0.54545455,7,Linear,0.28571429,1.0
19,Twitter_volume_FB.csv,0.047212301498903875,Linear,1.0,8,Linear,0.28571429,1.0
20,Twitter_volume_IBM.csv,0.0475155109699148,Linear,0.5,9,Linear,0.28571429,1.0
21,,,,,,,,
22,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
23,Twitter_volume_CRM.csv,0.0003841853877588619,KMeans,0.54545455,1,KMeans,0.8,1.0
24,Twitter_volume_AAPL.csv,0.028835429482437502,Linear,0.4,2,KMeans,0.8,1.0
25,Twitter_volume_PFE.csv,0.02903520461185649,KMeans,0.42857143,3,KMeans,0.8,1.0
26,Twitter_volume_CVS.csv,0.02905786109141828,Linear,0.66666667,4,KMeans,0.8,1.0
27,Twitter_volume_GOOG.csv,0.02910588374732881,Linear,0.4,5,Linear,0.8,1.0
28,Twitter_volume_AMZN.csv,0.02915655375463544,KMeans,0.66666667,6,KMeans,0.8,1.0
29,Twitter_volume_UPS.csv,0.035705177011233324,Linear,0.28571429,7,Linear,0.8,1.0
30,Twitter_volume_FB.csv,0.05136640267656034,Linear,1.0,8,Linear,0.8,1.0
31,Twitter_volume_IBM.csv,0.051843987899187205,Linear,0.5,9,Linear,0.8,1.0
32,,,,,,,,
33,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
34,Twitter_volume_CVS.csv,0.000306583260971216,Linear,0.66666667,1,Linear,0.4,1.0
