,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Landsat Satellite,3.8206685,Linear,0.71794872,1,Linear,0.92639843,0.98790185
2,Statlog Shuttle,4.050111,KMeans,0.96766744,2,KMeans,0.38537271,0.4468761299999999
3,ambient_temperature_system_failure.csv,5.0185127,KMeans,0.8,3,KMeans,0.38537271,0.4468761299999999
4,ec2_cpu_utilization_c6585a.csv,5.4326935,Linear,0.0,4,KMeans,0.38537271,0.4468761299999999
5,art_increase_spike_density.csv,6.568727,KMeans,0.15384615,5,KMeans,0.38537271,0.4468761299999999
6,art_daily_flatmiddle.csv,6.977072,KMeans,0.02,6,KMeans,0.38537271,0.4468761299999999
7,machine_temperature_system_failure.csv,7.0758777,Linear,0.4,7,KMeans,0.38537271,0.4468761299999999
8,ec2_disk_write_bytes_1ef3de.csv,7.0973215,Linear,0.08695652,8,KMeans,0.38537271,0.4468761299999999
9,cpu_utilization_asg_misconfiguration.csv,7.116031,KMeans,0.00775194,9,KMeans,0.38537271,0.4468761299999999
10,ec2_disk_write_bytes_c0d644.csv,7.11919,Linear,0.5,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,3.7474558,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,Statlog Shuttle,3.9437046,KMeans,0.96766744,2,KMeans,0.96766744,1.0
15,ambient_temperature_system_failure.csv,4.7814007,KMeans,0.8,3,KMeans,0.96766744,1.0
16,ec2_cpu_utilization_c6585a.csv,5.1917305,Linear,0.0,4,KMeans,0.96766744,1.0
17,art_increase_spike_density.csv,6.3171825,KMeans,0.15384615,5,KMeans,0.96766744,1.0
18,art_daily_flatmiddle.csv,6.721254,KMeans,0.02,6,KMeans,0.96766744,1.0
19,machine_temperature_system_failure.csv,6.827775,Linear,0.4,7,KMeans,0.96766744,1.0
20,ec2_disk_write_bytes_1ef3de.csv,6.850494,Linear,0.08695652,8,KMeans,0.96766744,1.0
21,cpu_utilization_asg_misconfiguration.csv,6.8705416,KMeans,0.00775194,9,KMeans,0.96766744,1.0
22,ec2_disk_write_bytes_c0d644.csv,6.8722324,Linear,0.5,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Landsat Satellite,3.7219126,Linear,0.71794872,1,Linear,0.71794872,1.0
26,Statlog Shuttle,3.9778147,KMeans,0.96766744,2,KMeans,0.65517241,0.93722369
27,ambient_temperature_system_failure.csv,4.9451857,KMeans,0.8,3,KMeans,0.65517241,0.93722369
28,ec2_cpu_utilization_c6585a.csv,5.3745074,Linear,0.0,4,KMeans,0.65517241,0.93722369
29,art_increase_spike_density.csv,6.5253286,KMeans,0.15384615,5,KMeans,0.65517241,0.93722369
30,art_daily_flatmiddle.csv,6.9205456,KMeans,0.02,6,KMeans,0.65517241,0.93722369
31,machine_temperature_system_failure.csv,7.018925,Linear,0.4,7,KMeans,0.65517241,0.93722369
32,ec2_disk_write_bytes_1ef3de.csv,7.0466595,Linear,0.08695652,8,KMeans,0.65517241,0.93722369
33,cpu_utilization_asg_misconfiguration.csv,7.0638766,KMeans,0.00775194,9,KMeans,0.65517241,0.93722369
34,ec2_disk_write_bytes_c0d644.csv,7.06982,Linear,0.5,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,Landsat Satellite,3.7132165,Linear,0.71794872,1,Linear,0.14285714,0.34285714
38,Statlog Shuttle,3.9501283,KMeans,0.96766744,2,KMeans,0.8,1.0
39,ambient_temperature_system_failure.csv,4.920251,KMeans,0.8,3,KMeans,0.8,1.0
40,ec2_cpu_utilization_c6585a.csv,5.3117275,Linear,0.0,4,KMeans,0.8,1.0
41,art_increase_spike_density.csv,6.446847,KMeans,0.15384615,5,KMeans,0.8,1.0
42,art_daily_flatmiddle.csv,6.8412776,KMeans,0.02,6,KMeans,0.8,1.0
43,machine_temperature_system_failure.csv,6.9469476,Linear,0.4,7,KMeans,0.8,1.0
44,ec2_disk_write_bytes_1ef3de.csv,6.9724636,Linear,0.08695652,8,KMeans,0.8,1.0
45,cpu_utilization_asg_misconfiguration.csv,6.987852,KMeans,0.00775194,9,KMeans,0.8,1.0
46,ec2_disk_write_bytes_c0d644.csv,6.9934783,Linear,0.5,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,Landsat Satellite,3.8105185,Linear,0.71794872,1,Linear,0.4,1.0
50,Statlog Shuttle,3.9716287,KMeans,0.96766744,2,KMeans,0.4,1.0
