,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,156.26966756481343,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,Landsat Satellite,156.6059303581319,Linear,0.71794872,2,KMeans,0.38537271,0.4468761299999999
3,art_daily_flatmiddle.csv,200.14094918671992,KMeans,0.02,3,KMeans,0.38537271,0.4468761299999999
4,ec2_disk_write_bytes_c0d644.csv,202.13228850821514,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999
5,art_load_balancer_spikes.csv,203.20662238683795,KMeans,0.25,5,KMeans,0.38537271,0.4468761299999999
6,art_increase_spike_density.csv,203.30786122437473,KMeans,0.15384615,6,KMeans,0.38537271,0.4468761299999999
7,ec2_cpu_utilization_24ae8d.csv,204.04438780939188,KMeans,1.0,7,KMeans,0.38537271,0.4468761299999999
8,ec2_disk_write_bytes_1ef3de.csv,205.66875612956431,Linear,0.08695652,8,KMeans,0.38537271,0.4468761299999999
9,ec2_cpu_utilization_77c1ca.csv,207.95179745826732,KMeans,0.03921569,9,KMeans,0.38537271,0.4468761299999999
10,ec2_network_in_5abac7.csv,209.8236278135113,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,61.87648904950801,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,art_daily_flatmiddle.csv,111.5809791018707,KMeans,0.02,2,KMeans,0.96766744,1.0
15,ec2_cpu_utilization_24ae8d.csv,120.86149392124135,KMeans,1.0,3,KMeans,0.96766744,1.0
16,ec2_cpu_utilization_77c1ca.csv,121.13214935065054,KMeans,0.03921569,4,KMeans,0.96766744,1.0
17,ec2_cpu_utilization_825cc2.csv,121.7518143993115,KMeans,0.66666667,5,KMeans,0.96766744,1.0
18,ec2_network_in_5abac7.csv,122.46351305207749,Linear,0.66666667,6,KMeans,0.96766744,1.0
19,ec2_cpu_utilization_fe7f93.csv,122.89560500405969,Linear,0.5,7,KMeans,0.96766744,1.0
20,ec2_cpu_utilization_53ea38.csv,123.50469734563451,KMeans,0.04255319,8,KMeans,0.96766744,1.0
21,elb_request_count_8c0756.csv,123.76415728049643,Linear,0.66666667,9,KMeans,0.96766744,1.0
22,art_daily_jumpsup.csv,123.79088186901798,KMeans,0.22222222,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Statlog Shuttle,61.87648904950801,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
26,art_daily_flatmiddle.csv,116.96555514910732,KMeans,0.02,2,KMeans,0.65517241,0.93722369
27,rds_cpu_utilization_e47b3b.csv,123.6603836238161,Linear,0.66666667,3,KMeans,0.65517241,0.93722369
28,ec2_cpu_utilization_5f5533.csv,123.82262687439797,KMeans,0.57142857,4,KMeans,0.65517241,0.93722369
29,grok_asg_anomaly.csv,123.87572091664097,KMeans,0.5,5,KMeans,0.65517241,0.93722369
30,rds_cpu_utilization_cc0c53.csv,124.41186989170636,Gaussian,1.0,6,KMeans,0.65517241,0.93722369
31,ec2_cpu_utilization_ac20cd.csv,126.24856091291142,KMeans,0.66666667,7,KMeans,0.65517241,0.93722369
32,ec2_cpu_utilization_fe7f93.csv,127.24853662172613,Linear,0.5,8,KMeans,0.65517241,0.93722369
33,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,127.56661013845974,KMeans,0.5,9,KMeans,0.65517241,0.93722369
34,ec2_request_latency_system_failure.csv,128.19989162046355,KMeans,0.66666667,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,cpu_utilization_asg_misconfiguration.csv,44.37856502139359,KMeans,0.00775194,1,KMeans,0.8,1.0
38,machine_temperature_system_failure.csv,44.711863425021875,Linear,0.4,2,KMeans,0.8,1.0
39,ec2_network_in_257a54.csv,54.09322945219327,KMeans,0.5,3,KMeans,0.8,1.0
40,art_daily_jumpsup.csv,54.53872714980188,KMeans,0.22222222,4,KMeans,0.8,1.0
41,ec2_cpu_utilization_825cc2.csv,54.672738396512685,KMeans,0.66666667,5,KMeans,0.8,1.0
42,art_daily_jumpsdown.csv,54.83924238265092,KMeans,0.03030303,6,KMeans,0.8,1.0
43,art_daily_nojump.csv,54.91010948144429,KMeans,0.00152207,7,KMeans,0.8,1.0
44,ec2_cpu_utilization_fe7f93.csv,55.12445986664092,Linear,0.5,8,KMeans,0.8,1.0
45,ec2_request_latency_system_failure.csv,55.196375157920556,KMeans,0.66666667,9,KMeans,0.8,1.0
