,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Landsat Satellite,677.124683084445,Linear,0.71794872,1,Linear,0.92639843,0.98790185
2,Statlog Shuttle,711.8544926162566,KMeans,0.96766744,2,KMeans,0.38537271,0.4468761299999999
3,ambient_temperature_system_failure.csv,881.1731668501262,KMeans,0.8,3,KMeans,0.38537271,0.4468761299999999
4,ec2_cpu_utilization_c6585a.csv,948.8944996146407,Linear,0.0,4,KMeans,0.38537271,0.4468761299999999
5,machine_temperature_system_failure.csv,969.2855876070978,Linear,0.4,5,Linear,0.92639843,0.98790185
6,cpu_utilization_asg_misconfiguration.csv,972.7791489882869,KMeans,0.00775194,6,KMeans,0.38537271,0.4468761299999999
7,art_daily_nojump.csv,983.3475504778138,KMeans,0.00152207,7,KMeans,0.38537271,0.4468761299999999
8,art_daily_jumpsdown.csv,983.5484063818004,KMeans,0.03030303,8,KMeans,0.38537271,0.4468761299999999
9,art_daily_jumpsup.csv,984.352920039763,KMeans,0.22222222,9,KMeans,0.38537271,0.4468761299999999
10,ec2_network_in_257a54.csv,985.4334417511313,KMeans,0.5,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,117.43386295782034,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,ambient_temperature_system_failure.csv,503.98982038445473,KMeans,0.8,2,KMeans,0.96766744,1.0
15,ec2_cpu_utilization_c6585a.csv,716.9097927522828,Linear,0.0,3,Linear,0.96707106,0.9994036199999999
16,cpu_utilization_asg_misconfiguration.csv,791.3480325162038,KMeans,0.00775194,4,KMeans,0.96766744,1.0
17,machine_temperature_system_failure.csv,793.7821529546258,Linear,0.4,5,Linear,0.96707106,0.9994036199999999
18,art_daily_nojump.csv,825.6147349999985,KMeans,0.00152207,6,KMeans,0.96766744,1.0
19,art_daily_jumpsdown.csv,825.9148784977264,KMeans,0.03030303,7,KMeans,0.96766744,1.0
20,art_daily_jumpsup.csv,827.0227058925927,KMeans,0.22222222,8,KMeans,0.96766744,1.0
21,elb_request_count_8c0756.csv,830.6277966932132,Linear,0.66666667,9,KMeans,0.96766744,1.0
22,ec2_network_in_257a54.csv,830.8496718641967,KMeans,0.5,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Statlog Shuttle,44.23464886477768,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
26,ambient_temperature_system_failure.csv,237.4101991205345,KMeans,0.8,2,KMeans,0.65517241,0.93722369
27,ec2_cpu_utilization_c6585a.csv,318.10247527747646,Linear,0.0,3,KMeans,0.65517241,0.93722369
28,machine_temperature_system_failure.csv,343.89896751006796,Linear,0.4,4,KMeans,0.65517241,0.93722369
29,cpu_utilization_asg_misconfiguration.csv,346.1607824423142,KMeans,0.00775194,5,KMeans,0.65517241,0.93722369
30,art_daily_nojump.csv,362.0923171995476,KMeans,0.00152207,6,KMeans,0.65517241,0.93722369
31,art_daily_jumpsup.csv,362.205119190764,KMeans,0.22222222,7,KMeans,0.65517241,0.93722369
32,art_daily_jumpsdown.csv,362.41802801112374,KMeans,0.03030303,8,KMeans,0.65517241,0.93722369
33,ec2_cpu_utilization_825cc2.csv,363.77185052917486,KMeans,0.66666667,9,KMeans,0.65517241,0.93722369
34,ec2_cpu_utilization_53ea38.csv,363.78955481370684,KMeans,0.04255319,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,ec2_cpu_utilization_c6585a.csv,25.18324916160836,Linear,0.0,1,Linear,0.14285714,0.34285714
38,cpu_utilization_asg_misconfiguration.csv,30.876860331935575,KMeans,0.00775194,2,KMeans,0.8,1.0
39,machine_temperature_system_failure.csv,31.14440576899155,Linear,0.4,3,Linear,0.14285714,0.34285714
40,ec2_cpu_utilization_825cc2.csv,41.50837621248764,KMeans,0.66666667,4,KMeans,0.8,1.0
41,art_daily_jumpsup.csv,41.61789043307561,KMeans,0.22222222,5,KMeans,0.8,1.0
42,art_daily_nojump.csv,41.74076775659719,KMeans,0.00152207,6,KMeans,0.8,1.0
43,ec2_request_latency_system_failure.csv,41.74397496195462,KMeans,0.66666667,7,KMeans,0.8,1.0
44,ec2_network_in_257a54.csv,41.751210549863536,KMeans,0.5,8,KMeans,0.8,1.0
45,art_daily_jumpsdown.csv,41.83900831678426,KMeans,0.03030303,9,KMeans,0.8,1.0
46,ec2_network_in_5abac7.csv,41.84539498619755,Linear,0.66666667,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,cpu_utilization_asg_misconfiguration.csv,0.5992404188589404,KMeans,0.00775194,1,KMeans,0.4,1.0
50,art_daily_nojump.csv,11.731202992583585,KMeans,0.00152207,2,KMeans,0.4,1.0
51,art_daily_jumpsdown.csv,11.872053746333593,KMeans,0.03030303,3,KMeans,0.4,1.0
52,art_daily_jumpsup.csv,12.403201312185205,KMeans,0.22222222,4,KMeans,0.4,1.0
53,ec2_cpu_utilization_825cc2.csv,13.099935541582978,KMeans,0.66666667,5,KMeans,0.4,1.0
54,elb_request_count_8c0756.csv,13.93823359502017,Linear,0.66666667,6,KMeans,0.4,1.0
55,ec2_network_in_5abac7.csv,14.37122451745903,Linear,0.66666667,7,KMeans,0.4,1.0
56,ec2_cpu_utilization_53ea38.csv,14.604739341586464,KMeans,0.04255319,8,KMeans,0.4,1.0
57,ec2_request_latency_system_failure.csv,14.864140347726872,KMeans,0.66666667,9,KMeans,0.4,1.0
58,ec2_network_in_257a54.csv,15.200462067295403,KMeans,0.5,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,ec2_cpu_utilization_825cc2.csv,0.03464041424459818,KMeans,0.66666667,1,KMeans,0.66666667,1.0
62,ec2_cpu_utilization_53ea38.csv,0.3244660159117796,KMeans,0.04255319,2,KMeans,0.66666667,1.0
63,elb_request_count_8c0756.csv,0.6970785684203289,Linear,0.66666667,3,KMeans,0.66666667,1.0
64,ec2_network_in_5abac7.csv,0.7877816417677685,Linear,0.66666667,4,KMeans,0.66666667,1.0
65,art_daily_jumpsdown.csv,1.274861503525937,KMeans,0.03030303,5,KMeans,0.66666667,1.0
66,ec2_cpu_utilization_fe7f93.csv,1.2981846359776013,Linear,0.5,6,KMeans,0.66666667,1.0
67,art_daily_nojump.csv,1.694742242161686,KMeans,0.00152207,7,KMeans,0.66666667,1.0
68,art_daily_jumpsup.csv,1.7239705608064746,KMeans,0.22222222,8,KMeans,0.66666667,1.0
69,ec2_network_in_257a54.csv,2.7708042662332435,KMeans,0.5,9,KMeans,0.66666667,1.0
70,ec2_cpu_utilization_77c1ca.csv,3.267465105325723,KMeans,0.03921569,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
73,art_daily_jumpsup.csv,1.0827504175048563,KMeans,0.22222222,1,KMeans,0.66666667,1.0
74,art_daily_jumpsdown.csv,1.2822236701876193,KMeans,0.03030303,2,KMeans,0.66666667,1.0
75,art_daily_nojump.csv,1.4458427599560864,KMeans,0.00152207,3,KMeans,0.66666667,1.0
76,ec2_network_in_5abac7.csv,3.187005218097754,Linear,0.66666667,4,KMeans,0.66666667,1.0
77,ec2_network_in_257a54.csv,3.582252610667094,KMeans,0.5,5,KMeans,0.66666667,1.0
78,elb_request_count_8c0756.csv,3.7030422791348387,Linear,0.66666667,6,KMeans,0.66666667,1.0
79,ec2_cpu_utilization_ac20cd.csv,4.805364441726861,KMeans,0.66666667,7,KMeans,0.66666667,1.0
80,ec2_cpu_utilization_53ea38.csv,4.954380821161452,KMeans,0.04255319,8,KMeans,0.66666667,1.0
81,ec2_cpu_utilization_fe7f93.csv,4.9969281330525614,Linear,0.5,9,KMeans,0.66666667,1.0
82,ec2_request_latency_system_failure.csv,5.021632608471813,KMeans,0.66666667,10,KMeans,0.66666667,1.0
83,,,,,,,,
84,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
85,machine_temperature_system_failure.csv,4.8472048856213945,Linear,0.4,1,Linear,0.4,0.9
86,art_daily_jumpsdown.csv,5.949142208886775,KMeans,0.03030303,2,KMeans,0.5,1.0
87,art_daily_nojump.csv,6.053655642282365,KMeans,0.00152207,3,KMeans,0.5,1.0
88,art_daily_jumpsup.csv,6.119604899936883,KMeans,0.22222222,4,KMeans,0.5,1.0
89,ec2_cpu_utilization_825cc2.csv,7.2608746615757305,KMeans,0.66666667,5,KMeans,0.5,1.0
90,cpu_utilization_asg_misconfiguration.csv,7.501498782656366,KMeans,0.00775194,6,KMeans,0.5,1.0
91,elb_request_count_8c0756.csv,8.471121498689163,Linear,0.66666667,7,KMeans,0.5,1.0
92,ec2_cpu_utilization_fe7f93.csv,9.415327626434934,Linear,0.5,8,KMeans,0.5,1.0
93,ec2_request_latency_system_failure.csv,9.506769428056785,KMeans,0.66666667,9,KMeans,0.5,1.0
94,ec2_cpu_utilization_53ea38.csv,9.655660487621006,KMeans,0.04255319,10,KMeans,0.5,1.0
95,,,,,,,,
96,ec2_cpu_utilization_c6585a.csv,0,Linear,0.0,0,Linear,0.0,1
97,machine_temperature_system_failure.csv,22.34241737826877,Linear,0.4,1,Linear,0.0,1.0
98,cpu_utilization_asg_misconfiguration.csv,23.710732827684602,KMeans,0.00775194,2,KMeans,0.0,1.0
99,elb_request_count_8c0756.csv,30.132792525512833,Linear,0.66666667,3,Linear,0.0,1.0
100,ec2_network_in_5abac7.csv,30.470875821180655,Linear,0.66666667,4,Linear,0.0,1.0
101,art_daily_jumpsup.csv,31.624406964951156,KMeans,0.22222222,5,Linear,0.0,1.0
102,ec2_cpu_utilization_825cc2.csv,31.668243968395156,KMeans,0.66666667,6,KMeans,0.0,1.0
103,art_daily_nojump.csv,32.10206422771361,KMeans,0.00152207,7,KMeans,0.0,1.0
104,art_daily_jumpsdown.csv,32.318878103811876,KMeans,0.03030303,8,KMeans,0.0,1.0
105,ec2_cpu_utilization_fe7f93.csv,33.079783173780775,Linear,0.5,9,KMeans,0.0,1.0
