,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Landsat Satellite,2.7126417,Linear,0.71794872,1,Linear,0.92639843,0.98790185
2,ec2_cpu_utilization_c6585a.csv,4.645782,Linear,0.0,2,Linear,0.92639843,0.98790185
3,machine_temperature_system_failure.csv,7.1866555,Linear,0.4,3,Linear,0.92639843,0.98790185
4,cpu_utilization_asg_misconfiguration.csv,7.3791227,KMeans,0.00775194,4,Linear,0.92639843,0.98790185
5,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,7.492253,KMeans,0.5,5,Linear,0.92639843,0.98790185
6,art_increase_spike_density.csv,7.5149703,KMeans,0.15384615,6,KMeans,0.38537271,0.4468761299999999
7,Statlog Shuttle,7.5339594,KMeans,0.96766744,7,KMeans,0.38537271,0.4468761299999999
8,ec2_cpu_utilization_77c1ca.csv,7.5789866,KMeans,0.03921569,8,KMeans,0.38537271,0.4468761299999999
9,ec2_cpu_utilization_53ea38.csv,7.5789866,KMeans,0.04255319,9,KMeans,0.38537271,0.4468761299999999
10,ec2_cpu_utilization_24ae8d.csv,7.5789866,KMeans,1.0,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,2.3542938,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,ec2_cpu_utilization_c6585a.csv,4.2235694,Linear,0.0,2,Linear,0.96707106,0.9994036199999999
15,machine_temperature_system_failure.csv,6.7644634,Linear,0.4,3,Linear,0.96707106,0.9994036199999999
16,cpu_utilization_asg_misconfiguration.csv,6.954588,KMeans,0.00775194,4,Linear,0.96707106,0.9994036199999999
17,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,7.0664,KMeans,0.5,5,Linear,0.96707106,0.9994036199999999
18,art_increase_spike_density.csv,7.084285,KMeans,0.15384615,6,KMeans,0.96766744,1.0
19,Statlog Shuttle,7.119236,KMeans,0.96766744,7,KMeans,0.96766744,1.0
20,ec2_cpu_utilization_77c1ca.csv,7.153973,KMeans,0.03921569,8,KMeans,0.96766744,1.0
21,ec2_cpu_utilization_53ea38.csv,7.153973,KMeans,0.04255319,9,KMeans,0.96766744,1.0
22,ec2_cpu_utilization_24ae8d.csv,7.153973,KMeans,1.0,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Landsat Satellite,2.338338,Linear,0.71794872,1,Linear,0.71794872,1.0
