,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,9.334721580988276,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,machine_temperature_system_failure.csv,9.506182595312188,Linear,0.4,2,KMeans,0.38537271,0.4468761299999999
3,cpu_utilization_asg_misconfiguration.csv,9.69897407057497,KMeans,0.00775194,3,KMeans,0.38537271,0.4468761299999999
4,art_increase_spike_density.csv,9.929162631206596,KMeans,0.15384615,4,KMeans,0.38537271,0.4468761299999999
5,ambient_temperature_system_failure.csv,10.261692419665811,KMeans,0.8,5,KMeans,0.38537271,0.4468761299999999
6,ec2_disk_write_bytes_1ef3de.csv,10.417677217259278,Linear,0.08695652,6,KMeans,0.38537271,0.4468761299999999
7,ec2_network_in_5abac7.csv,10.417677217259278,Linear,0.66666667,7,KMeans,0.38537271,0.4468761299999999
8,grok_asg_anomaly.csv,10.42466712351219,KMeans,0.5,8,KMeans,0.38537271,0.4468761299999999
9,ec2_cpu_utilization_825cc2.csv,10.463047707582291,KMeans,0.66666667,9,KMeans,0.38537271,0.4468761299999999
10,ec2_cpu_utilization_77c1ca.csv,10.463047707582291,KMeans,0.03921569,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,ambient_temperature_system_failure.csv,1.388588646552377,KMeans,0.8,1,KMeans,0.96766744,1.0
14,ec2_network_in_5abac7.csv,1.5227228757127766,Linear,0.66666667,2,KMeans,0.96766744,1.0
15,ec2_disk_write_bytes_1ef3de.csv,1.5227228757127766,Linear,0.08695652,3,Linear,0.96707106,0.9994036199999999
16,grok_asg_anomaly.csv,1.530304035047581,KMeans,0.5,4,KMeans,0.96766744,1.0
17,ec2_cpu_utilization_77c1ca.csv,1.5746362304910768,KMeans,0.03921569,5,KMeans,0.96766744,1.0
18,ec2_cpu_utilization_53ea38.csv,1.5746362304910768,KMeans,0.04255319,6,KMeans,0.96766744,1.0
19,ec2_cpu_utilization_24ae8d.csv,1.5746362304910768,KMeans,1.0,7,KMeans,0.96766744,1.0
20,art_load_balancer_spikes.csv,1.5746362304910768,KMeans,0.25,8,KMeans,0.96766744,1.0
21,art_daily_jumpsup.csv,1.5746362304910768,KMeans,0.22222222,9,KMeans,0.96766744,1.0
22,elb_request_count_8c0756.csv,1.5746362304910768,Linear,0.66666667,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Statlog Shuttle,7.648332519788652,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
26,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,7.69965412397725,KMeans,0.5,2,KMeans,0.65517241,0.93722369
27,ec2_cpu_utilization_fe7f93.csv,8.283952324453091,Linear,0.5,3,KMeans,0.65517241,0.93722369
28,art_load_balancer_spikes.csv,8.283952324453091,KMeans,0.25,4,KMeans,0.65517241,0.93722369
29,art_daily_jumpsup.csv,8.283952324453091,KMeans,0.22222222,5,KMeans,0.65517241,0.93722369
30,elb_request_count_8c0756.csv,8.283952324453091,Linear,0.66666667,6,KMeans,0.65517241,0.93722369
31,art_daily_jumpsdown.csv,8.283952324453091,KMeans,0.03030303,7,KMeans,0.65517241,0.93722369
32,ec2_cpu_utilization_ac20cd.csv,8.283952324453091,KMeans,0.66666667,8,KMeans,0.65517241,0.93722369
33,art_daily_nojump.csv,8.283952324453091,KMeans,0.00152207,9,KMeans,0.65517241,0.93722369
34,rds_cpu_utilization_e47b3b.csv,8.283952324453091,Linear,0.66666667,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,ec2_network_in_5abac7.csv,0.34026860120587404,Linear,0.66666667,1,Linear,0.14285714,0.34285714
38,ec2_disk_write_bytes_1ef3de.csv,0.34026860120587404,Linear,0.08695652,2,Linear,0.14285714,0.34285714
39,grok_asg_anomaly.csv,0.3559771492665922,KMeans,0.5,3,Linear,0.14285714,0.34285714
40,ec2_cpu_utilization_77c1ca.csv,0.44425569862538655,KMeans,0.03921569,4,KMeans,0.8,1.0
41,ec2_cpu_utilization_53ea38.csv,0.44425569862538655,KMeans,0.04255319,5,KMeans,0.8,1.0
42,ec2_cpu_utilization_24ae8d.csv,0.44425569862538655,KMeans,1.0,6,KMeans,0.8,1.0
43,art_load_balancer_spikes.csv,0.44425569862538655,KMeans,0.25,7,KMeans,0.8,1.0
44,art_daily_jumpsup.csv,0.44425569862538655,KMeans,0.22222222,8,KMeans,0.8,1.0
45,elb_request_count_8c0756.csv,0.44425569862538655,Linear,0.66666667,9,KMeans,0.8,1.0
46,art_daily_jumpsdown.csv,0.44425569862538655,KMeans,0.03030303,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,cpu_utilization_asg_misconfiguration.csv,0.581877823624063,KMeans,0.00775194,1,KMeans,0.4,1.0
50,ambient_temperature_system_failure.csv,1.9378384148504517,KMeans,0.8,2,KMeans,0.4,1.0
51,Statlog Shuttle,2.0228413718246716,KMeans,0.96766744,3,KMeans,0.4,1.0
52,ec2_network_in_5abac7.csv,2.2662509833783897,Linear,0.66666667,4,KMeans,0.4,1.0
53,ec2_disk_write_bytes_1ef3de.csv,2.2662509833783897,Linear,0.08695652,5,KMeans,0.4,1.0
54,grok_asg_anomaly.csv,2.280812467628556,KMeans,0.5,6,KMeans,0.4,1.0
55,ec2_cpu_utilization_77c1ca.csv,2.3608921393552085,KMeans,0.03921569,7,KMeans,0.4,1.0
56,ec2_cpu_utilization_53ea38.csv,2.3608921393552085,KMeans,0.04255319,8,KMeans,0.4,1.0
57,ec2_cpu_utilization_24ae8d.csv,2.3608921393552085,KMeans,1.0,9,KMeans,0.4,1.0
58,art_load_balancer_spikes.csv,2.3608921393552085,KMeans,0.25,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,1,Linear,0.57142857,0.9047619
62,art_daily_jumpsdown.csv,0.0,KMeans,0.03030303,2,KMeans,0.66666667,1.0
63,ec2_cpu_utilization_ac20cd.csv,0.0,KMeans,0.66666667,3,KMeans,0.66666667,1.0
64,art_daily_nojump.csv,0.0,KMeans,0.00152207,4,KMeans,0.66666667,1.0
65,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,5,KMeans,0.66666667,1.0
66,ec2_disk_write_bytes_c0d644.csv,0.0,Linear,0.5,6,KMeans,0.66666667,1.0
67,art_daily_flatmiddle.csv,0.0,KMeans,0.02,7,KMeans,0.66666667,1.0
68,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,8,KMeans,0.66666667,1.0
69,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,9,KMeans,0.66666667,1.0
70,ec2_cpu_utilization_24ae8d.csv,0.0,KMeans,1.0,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
73,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,1,Linear,0.125,0.45833333
74,art_daily_jumpsdown.csv,0.0,KMeans,0.03030303,2,KMeans,0.66666667,1.0
75,ec2_cpu_utilization_ac20cd.csv,0.0,KMeans,0.66666667,3,KMeans,0.66666667,1.0
76,art_daily_nojump.csv,0.0,KMeans,0.00152207,4,KMeans,0.66666667,1.0
77,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,5,KMeans,0.66666667,1.0
78,ec2_disk_write_bytes_c0d644.csv,0.0,Linear,0.5,6,KMeans,0.66666667,1.0
79,art_daily_flatmiddle.csv,0.0,KMeans,0.02,7,KMeans,0.66666667,1.0
80,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,8,KMeans,0.66666667,1.0
81,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,9,KMeans,0.66666667,1.0
82,ec2_cpu_utilization_24ae8d.csv,0.0,KMeans,1.0,10,KMeans,0.66666667,1.0
83,,,,,,,,
84,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
85,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,1,Linear,0.4,0.9
86,art_daily_jumpsdown.csv,0.0,KMeans,0.03030303,2,KMeans,0.5,1.0
87,ec2_cpu_utilization_ac20cd.csv,0.0,KMeans,0.66666667,3,KMeans,0.5,1.0
88,art_daily_nojump.csv,0.0,KMeans,0.00152207,4,KMeans,0.5,1.0
89,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,5,KMeans,0.5,1.0
90,ec2_disk_write_bytes_c0d644.csv,0.0,Linear,0.5,6,KMeans,0.5,1.0
91,art_daily_flatmiddle.csv,0.0,KMeans,0.02,7,KMeans,0.5,1.0
92,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,8,KMeans,0.5,1.0
93,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,9,KMeans,0.5,1.0
94,ec2_cpu_utilization_24ae8d.csv,0.0,KMeans,1.0,10,KMeans,0.5,1.0
95,,,,,,,,
96,ec2_cpu_utilization_c6585a.csv,0,Linear,0.0,0,Linear,0.0,1
97,ec2_cpu_utilization_fe7f93.csv,5.570860145311557,Linear,0.5,1,Linear,0.0,1.0
98,ec2_cpu_utilization_24ae8d.csv,5.570860145311557,KMeans,1.0,2,KMeans,0.0,1.0
99,elb_request_count_8c0756.csv,5.570860145311557,Linear,0.66666667,3,Linear,0.0,1.0
100,art_daily_jumpsdown.csv,5.570860145311557,KMeans,0.03030303,4,KMeans,0.0,1.0
101,ec2_cpu_utilization_ac20cd.csv,5.570860145311557,KMeans,0.66666667,5,KMeans,0.0,1.0
102,art_daily_nojump.csv,5.570860145311557,KMeans,0.00152207,6,KMeans,0.0,1.0
103,rds_cpu_utilization_e47b3b.csv,5.570860145311557,Linear,0.66666667,7,KMeans,0.0,1.0
104,ec2_disk_write_bytes_c0d644.csv,5.570860145311557,Linear,0.5,8,KMeans,0.0,1.0
105,art_daily_flatmiddle.csv,5.570860145311557,KMeans,0.02,9,KMeans,0.0,1.0
106,ec2_cpu_utilization_5f5533.csv,5.570860145311557,KMeans,0.57142857,10,KMeans,0.0,1.0
107,,,,,,,,
108,rds_cpu_utilization_cc0c53.csv,0,Gaussian,1.0,0,Gaussian,1.0,1
109,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,1,Linear,0.66666667,0.66666667
110,art_daily_jumpsdown.csv,0.0,KMeans,0.03030303,2,KMeans,1.0,1.0
111,ec2_cpu_utilization_ac20cd.csv,0.0,KMeans,0.66666667,3,KMeans,1.0,1.0
112,art_daily_nojump.csv,0.0,KMeans,0.00152207,4,KMeans,1.0,1.0
113,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,5,KMeans,1.0,1.0
114,ec2_disk_write_bytes_c0d644.csv,0.0,Linear,0.5,6,KMeans,1.0,1.0
115,art_daily_flatmiddle.csv,0.0,KMeans,0.02,7,KMeans,1.0,1.0
116,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,8,KMeans,1.0,1.0
117,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,9,KMeans,1.0,1.0
118,ec2_cpu_utilization_24ae8d.csv,0.0,KMeans,1.0,10,KMeans,1.0,1.0
119,,,,,,,,
120,ec2_cpu_utilization_5f5533.csv,0,KMeans,0.57142857,0,KMeans,0.57142857,1
121,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,1,Linear,0.5,0.92857143
122,art_daily_jumpsdown.csv,0.0,KMeans,0.03030303,2,KMeans,0.57142857,1.0
123,ec2_cpu_utilization_ac20cd.csv,0.0,KMeans,0.66666667,3,KMeans,0.57142857,1.0
124,art_daily_nojump.csv,0.0,KMeans,0.00152207,4,KMeans,0.57142857,1.0
125,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,5,KMeans,0.57142857,1.0
126,ec2_disk_write_bytes_c0d644.csv,0.0,Linear,0.5,6,KMeans,0.57142857,1.0
127,art_daily_flatmiddle.csv,0.0,KMeans,0.02,7,KMeans,0.57142857,1.0
128,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,8,KMeans,0.57142857,1.0
129,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,9,KMeans,0.57142857,1.0
130,ec2_cpu_utilization_24ae8d.csv,0.0,KMeans,1.0,10,KMeans,0.57142857,1.0
131,,,,,,,,
132,art_daily_flatmiddle.csv,0,KMeans,0.02,0,KMeans,0.02,1
133,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,1,Linear,0.0,0.98
134,art_daily_jumpsdown.csv,0.0,KMeans,0.03030303,2,KMeans,0.02,1.0
135,ec2_cpu_utilization_ac20cd.csv,0.0,KMeans,0.66666667,3,KMeans,0.02,1.0
136,art_daily_nojump.csv,0.0,KMeans,0.00152207,4,KMeans,0.02,1.0
137,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,5,KMeans,0.02,1.0
138,ec2_disk_write_bytes_c0d644.csv,0.0,Linear,0.5,6,KMeans,0.02,1.0
139,art_daily_flatmiddle.csv,0.0,KMeans,0.02,7,KMeans,0.02,1.0
140,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,8,KMeans,0.02,1.0
141,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,9,KMeans,0.02,1.0
142,ec2_cpu_utilization_24ae8d.csv,0.0,KMeans,1.0,10,KMeans,0.02,1.0
143,,,,,,,,
144,ec2_disk_write_bytes_c0d644.csv,0,Linear,0.5,0,Linear,0.5,1
145,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,1,Linear,0.5,1.0
146,art_daily_jumpsdown.csv,0.0,KMeans,0.03030303,2,KMeans,0.5,1.0
147,ec2_cpu_utilization_ac20cd.csv,0.0,KMeans,0.66666667,3,KMeans,0.5,1.0
148,art_daily_nojump.csv,0.0,KMeans,0.00152207,4,KMeans,0.5,1.0
149,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,5,KMeans,0.5,1.0
150,ec2_disk_write_bytes_c0d644.csv,0.0,Linear,0.5,6,KMeans,0.5,1.0
151,art_daily_flatmiddle.csv,0.0,KMeans,0.02,7,KMeans,0.5,1.0
152,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,8,KMeans,0.5,1.0
153,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,9,KMeans,0.5,1.0
