,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Landsat Satellite,8.549163072682859,Linear,0.71794872,1,Linear,0.92639843,0.98790185
2,ec2_cpu_utilization_c6585a.csv,12.66191625450773,Linear,0.0,2,Linear,0.92639843,0.98790185
3,Statlog Shuttle,13.172676907139348,KMeans,0.96766744,3,Linear,0.92639843,0.98790185
4,machine_temperature_system_failure.csv,13.436320023063622,Linear,0.4,4,Linear,0.92639843,0.98790185
5,cpu_utilization_asg_misconfiguration.csv,13.468279863352969,KMeans,0.00775194,5,Linear,0.92639843,0.98790185
6,art_increase_spike_density.csv,13.502653914606746,KMeans,0.15384615,6,KMeans,0.38537271,0.4468761299999999
7,ambient_temperature_system_failure.csv,13.503953789226411,KMeans,0.8,7,KMeans,0.38537271,0.4468761299999999
8,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,13.50437609871911,KMeans,0.5,8,KMeans,0.38537271,0.4468761299999999
9,ec2_disk_write_bytes_1ef3de.csv,13.505244066328675,Linear,0.08695652,9,KMeans,0.38537271,0.4468761299999999
10,ec2_network_in_5abac7.csv,13.505244066328675,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,art_increase_spike_density.csv,0.07947869934135099,KMeans,0.15384615,1,KMeans,0.96766744,1.0
14,machine_temperature_system_failure.csv,0.10461484159064494,Linear,0.4,2,KMeans,0.96766744,1.0
15,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.14076052577809128,KMeans,0.5,3,KMeans,0.96766744,1.0
16,cpu_utilization_asg_misconfiguration.csv,0.14534878374945492,KMeans,0.00775194,4,KMeans,0.96766744,1.0
17,art_load_balancer_spikes.csv,0.15351796683044583,KMeans,0.25,5,KMeans,0.96766744,1.0
18,art_daily_jumpsup.csv,0.15351796683044583,KMeans,0.22222222,6,KMeans,0.96766744,1.0
19,elb_request_count_8c0756.csv,0.15351796683044583,Linear,0.66666667,7,KMeans,0.96766744,1.0
20,art_daily_jumpsdown.csv,0.15351796683044583,KMeans,0.03030303,8,KMeans,0.96766744,1.0
21,ec2_cpu_utilization_ac20cd.csv,0.15351796683044583,KMeans,0.66666667,9,KMeans,0.96766744,1.0
22,art_daily_nojump.csv,0.15351796683044583,KMeans,0.00152207,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,ec2_cpu_utilization_c6585a.csv,1.128450819186071,Linear,0.0,1,Linear,0.71794872,1.0
26,grok_asg_anomaly.csv,2.4069937118733513,KMeans,0.5,2,KMeans,0.65517241,0.93722369
27,ec2_network_in_5abac7.csv,2.407180876601487,Linear,0.66666667,3,Linear,0.71794872,1.0
28,ec2_disk_write_bytes_1ef3de.csv,2.407180876601487,Linear,0.08695652,4,Linear,0.71794872,1.0
29,ec2_cpu_utilization_77c1ca.csv,2.407580990569329,KMeans,0.03921569,5,Linear,0.71794872,1.0
30,ec2_cpu_utilization_53ea38.csv,2.407580990569329,KMeans,0.04255319,6,KMeans,0.65517241,0.93722369
31,ec2_cpu_utilization_24ae8d.csv,2.407580990569329,KMeans,1.0,7,KMeans,0.65517241,0.93722369
32,art_load_balancer_spikes.csv,2.407580990569329,KMeans,0.25,8,KMeans,0.65517241,0.93722369
33,art_daily_jumpsup.csv,2.407580990569329,KMeans,0.22222222,9,KMeans,0.65517241,0.93722369
34,elb_request_count_8c0756.csv,2.407580990569329,Linear,0.66666667,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.0005181187551785982,KMeans,0.5,1,KMeans,0.8,1.0
38,ec2_cpu_utilization_fe7f93.csv,0.001355726653099687,Linear,0.5,2,KMeans,0.8,1.0
39,art_daily_jumpsup.csv,0.001355726653099687,KMeans,0.22222222,3,KMeans,0.8,1.0
40,elb_request_count_8c0756.csv,0.001355726653099687,Linear,0.66666667,4,KMeans,0.8,1.0
41,art_daily_jumpsdown.csv,0.001355726653099687,KMeans,0.03030303,5,KMeans,0.8,1.0
42,ec2_cpu_utilization_ac20cd.csv,0.001355726653099687,KMeans,0.66666667,6,KMeans,0.8,1.0
43,art_daily_nojump.csv,0.001355726653099687,KMeans,0.00152207,7,KMeans,0.8,1.0
44,rds_cpu_utilization_e47b3b.csv,0.001355726653099687,Linear,0.66666667,8,KMeans,0.8,1.0
45,ec2_disk_write_bytes_c0d644.csv,0.001355726653099687,Linear,0.5,9,KMeans,0.8,1.0
46,art_daily_flatmiddle.csv,0.001355726653099687,KMeans,0.02,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.009002489862567131,KMeans,0.5,1,KMeans,0.4,1.0
50,Statlog Shuttle,0.024696670634214657,KMeans,0.96766744,2,KMeans,0.4,1.0
51,cpu_utilization_asg_misconfiguration.csv,0.03447444247068332,KMeans,0.00775194,3,KMeans,0.4,1.0
52,ec2_cpu_utilization_53ea38.csv,0.1390594545029431,KMeans,0.04255319,4,KMeans,0.4,1.0
53,art_load_balancer_spikes.csv,0.1390594545029431,KMeans,0.25,5,KMeans,0.4,1.0
54,art_daily_jumpsup.csv,0.1390594545029431,KMeans,0.22222222,6,KMeans,0.4,1.0
55,elb_request_count_8c0756.csv,0.1390594545029431,Linear,0.66666667,7,KMeans,0.4,1.0
56,art_daily_jumpsdown.csv,0.1390594545029431,KMeans,0.03030303,8,KMeans,0.4,1.0
57,ec2_cpu_utilization_ac20cd.csv,0.1390594545029431,KMeans,0.66666667,9,KMeans,0.4,1.0
58,art_daily_nojump.csv,0.1390594545029431,KMeans,0.00152207,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,elb_request_count_8c0756.csv,7.097127108224299e-09,Linear,0.66666667,1,Linear,0.57142857,0.9047619
62,art_daily_jumpsdown.csv,7.097127108224299e-09,KMeans,0.03030303,2,KMeans,0.66666667,1.0
63,ec2_cpu_utilization_ac20cd.csv,7.097127108224299e-09,KMeans,0.66666667,3,KMeans,0.66666667,1.0
64,art_daily_nojump.csv,7.097127108224299e-09,KMeans,0.00152207,4,KMeans,0.66666667,1.0
65,rds_cpu_utilization_e47b3b.csv,7.097127108224299e-09,Linear,0.66666667,5,KMeans,0.66666667,1.0
66,ec2_disk_write_bytes_c0d644.csv,7.097127108224299e-09,Linear,0.5,6,KMeans,0.66666667,1.0
67,art_daily_flatmiddle.csv,7.097127108224299e-09,KMeans,0.02,7,KMeans,0.66666667,1.0
68,ec2_cpu_utilization_5f5533.csv,7.097127108224299e-09,KMeans,0.57142857,8,KMeans,0.66666667,1.0
69,rds_cpu_utilization_cc0c53.csv,7.097127108224299e-09,Gaussian,1.0,9,KMeans,0.66666667,1.0
70,ec2_cpu_utilization_24ae8d.csv,7.097127108224299e-09,KMeans,1.0,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
73,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,1,Linear,0.125,0.45833333
74,art_daily_jumpsdown.csv,0.0,KMeans,0.03030303,2,KMeans,0.66666667,1.0
75,ec2_cpu_utilization_ac20cd.csv,0.0,KMeans,0.66666667,3,KMeans,0.66666667,1.0
76,art_daily_nojump.csv,0.0,KMeans,0.00152207,4,KMeans,0.66666667,1.0
77,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,5,KMeans,0.66666667,1.0
78,ec2_disk_write_bytes_c0d644.csv,0.0,Linear,0.5,6,KMeans,0.66666667,1.0
79,art_daily_flatmiddle.csv,0.0,KMeans,0.02,7,KMeans,0.66666667,1.0
80,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,8,KMeans,0.66666667,1.0
81,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,9,KMeans,0.66666667,1.0
82,ec2_cpu_utilization_24ae8d.csv,0.0,KMeans,1.0,10,KMeans,0.66666667,1.0
83,,,,,,,,
84,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
85,elb_request_count_8c0756.csv,3.1704521230579985e-09,Linear,0.66666667,1,Linear,0.4,0.9
86,art_daily_jumpsdown.csv,3.1704521230579985e-09,KMeans,0.03030303,2,KMeans,0.5,1.0
87,ec2_cpu_utilization_ac20cd.csv,3.1704521230579985e-09,KMeans,0.66666667,3,KMeans,0.5,1.0
88,art_daily_nojump.csv,3.1704521230579985e-09,KMeans,0.00152207,4,KMeans,0.5,1.0
89,rds_cpu_utilization_e47b3b.csv,3.1704521230579985e-09,Linear,0.66666667,5,KMeans,0.5,1.0
90,ec2_disk_write_bytes_c0d644.csv,3.1704521230579985e-09,Linear,0.5,6,KMeans,0.5,1.0
91,art_daily_flatmiddle.csv,3.1704521230579985e-09,KMeans,0.02,7,KMeans,0.5,1.0
92,ec2_cpu_utilization_5f5533.csv,3.1704521230579985e-09,KMeans,0.57142857,8,KMeans,0.5,1.0
93,rds_cpu_utilization_cc0c53.csv,3.1704521230579985e-09,Gaussian,1.0,9,KMeans,0.5,1.0
94,ec2_cpu_utilization_24ae8d.csv,3.1704521230579985e-09,KMeans,1.0,10,KMeans,0.5,1.0
95,,,,,,,,
96,ec2_cpu_utilization_c6585a.csv,0,Linear,0.0,0,Linear,0.0,1
97,Landsat Satellite,1.635228604311223,Linear,0.71794872,1,Linear,0.0,1.0
98,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.7933905068201312,KMeans,0.5,2,KMeans,0.0,1.0
99,ec2_cpu_utilization_fe7f93.csv,1.9292984333822716,Linear,0.5,3,Linear,0.0,1.0
100,art_load_balancer_spikes.csv,1.9292984333822716,KMeans,0.25,4,KMeans,0.0,1.0
101,art_daily_jumpsup.csv,1.9292984333822716,KMeans,0.22222222,5,KMeans,0.0,1.0
102,elb_request_count_8c0756.csv,1.9292984333822716,Linear,0.66666667,6,KMeans,0.0,1.0
103,art_daily_jumpsdown.csv,1.9292984333822716,KMeans,0.03030303,7,KMeans,0.0,1.0
104,ec2_cpu_utilization_ac20cd.csv,1.9292984333822716,KMeans,0.66666667,8,KMeans,0.0,1.0
105,art_daily_nojump.csv,1.9292984333822716,KMeans,0.00152207,9,KMeans,0.0,1.0
106,rds_cpu_utilization_e47b3b.csv,1.9292984333822716,Linear,0.66666667,10,KMeans,0.0,1.0
107,,,,,,,,
108,rds_cpu_utilization_cc0c53.csv,0,Gaussian,1.0,0,Gaussian,1.0,1
109,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,1,Linear,0.66666667,0.66666667
