,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Landsat Satellite,6.012839568501047,Linear,0.71794872,1,Linear,0.92639843,0.98790185
2,ec2_cpu_utilization_c6585a.csv,15.230134946537062,Linear,0.0,2,Linear,0.92639843,0.98790185
3,machine_temperature_system_failure.csv,18.07505182099236,Linear,0.4,3,Linear,0.92639843,0.98790185
4,Statlog Shuttle,18.59098461697929,KMeans,0.96766744,4,Linear,0.92639843,0.98790185
5,cpu_utilization_asg_misconfiguration.csv,18.71590634350263,KMeans,0.00775194,5,Linear,0.92639843,0.98790185
6,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,19.547948753823675,KMeans,0.5,6,KMeans,0.38537271,0.4468761299999999
7,art_increase_spike_density.csv,19.701141823306735,KMeans,0.15384615,7,KMeans,0.38537271,0.4468761299999999
8,ambient_temperature_system_failure.csv,20.294048096415565,KMeans,0.8,8,KMeans,0.38537271,0.4468761299999999
9,ec2_disk_write_bytes_1ef3de.csv,20.6920023418215,Linear,0.08695652,9,KMeans,0.38537271,0.4468761299999999
10,ec2_network_in_5abac7.csv,20.6920023418215,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,6.012839568501047,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,ec2_cpu_utilization_c6585a.csv,15.230134946537062,Linear,0.0,2,Linear,0.96707106,0.9994036199999999
15,machine_temperature_system_failure.csv,18.07505182099236,Linear,0.4,3,Linear,0.96707106,0.9994036199999999
16,Statlog Shuttle,18.59098461697929,KMeans,0.96766744,4,Linear,0.96707106,0.9994036199999999
17,cpu_utilization_asg_misconfiguration.csv,18.71590634350263,KMeans,0.00775194,5,Linear,0.96707106,0.9994036199999999
18,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,19.547948753823675,KMeans,0.5,6,KMeans,0.96766744,1.0
19,art_increase_spike_density.csv,19.701141823306735,KMeans,0.15384615,7,KMeans,0.96766744,1.0
20,ambient_temperature_system_failure.csv,20.294048096415565,KMeans,0.8,8,KMeans,0.96766744,1.0
21,ec2_disk_write_bytes_1ef3de.csv,20.6920023418215,Linear,0.08695652,9,KMeans,0.96766744,1.0
22,ec2_network_in_5abac7.csv,20.6920023418215,Linear,0.66666667,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Landsat Satellite,6.012839568501047,Linear,0.71794872,1,Linear,0.71794872,1.0
26,ec2_cpu_utilization_c6585a.csv,15.230134946537062,Linear,0.0,2,Linear,0.71794872,1.0
27,machine_temperature_system_failure.csv,18.07505182099236,Linear,0.4,3,Linear,0.71794872,1.0
28,Statlog Shuttle,18.59098461697929,KMeans,0.96766744,4,Linear,0.71794872,1.0
29,cpu_utilization_asg_misconfiguration.csv,18.71590634350263,KMeans,0.00775194,5,Linear,0.71794872,1.0
30,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,19.547948753823675,KMeans,0.5,6,KMeans,0.65517241,0.93722369
31,art_increase_spike_density.csv,19.701141823306735,KMeans,0.15384615,7,KMeans,0.65517241,0.93722369
32,ambient_temperature_system_failure.csv,20.294048096415565,KMeans,0.8,8,KMeans,0.65517241,0.93722369
33,ec2_disk_write_bytes_1ef3de.csv,20.6920023418215,Linear,0.08695652,9,KMeans,0.65517241,0.93722369
34,ec2_network_in_5abac7.csv,20.6920023418215,Linear,0.66666667,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,Landsat Satellite,6.012839568501047,Linear,0.71794872,1,Linear,0.14285714,0.34285714
38,ec2_cpu_utilization_c6585a.csv,15.230134946537062,Linear,0.0,2,Linear,0.14285714,0.34285714
39,machine_temperature_system_failure.csv,18.07505182099236,Linear,0.4,3,Linear,0.14285714,0.34285714
40,Statlog Shuttle,18.59098461697929,KMeans,0.96766744,4,Linear,0.14285714,0.34285714
41,cpu_utilization_asg_misconfiguration.csv,18.71590634350263,KMeans,0.00775194,5,Linear,0.14285714,0.34285714
42,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,19.547948753823675,KMeans,0.5,6,KMeans,0.8,1.0
43,art_increase_spike_density.csv,19.701141823306735,KMeans,0.15384615,7,KMeans,0.8,1.0
44,ambient_temperature_system_failure.csv,20.294048096415565,KMeans,0.8,8,KMeans,0.8,1.0
45,ec2_disk_write_bytes_1ef3de.csv,20.6920023418215,Linear,0.08695652,9,KMeans,0.8,1.0
46,ec2_network_in_5abac7.csv,20.6920023418215,Linear,0.66666667,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,Landsat Satellite,6.012839568501047,Linear,0.71794872,1,Linear,0.4,1.0
50,ec2_cpu_utilization_c6585a.csv,15.230134946537062,Linear,0.0,2,Linear,0.4,1.0
51,machine_temperature_system_failure.csv,18.07505182099236,Linear,0.4,3,Linear,0.4,1.0
52,Statlog Shuttle,18.59098461697929,KMeans,0.96766744,4,Linear,0.4,1.0
53,cpu_utilization_asg_misconfiguration.csv,18.71590634350263,KMeans,0.00775194,5,Linear,0.4,1.0
54,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,19.547948753823675,KMeans,0.5,6,KMeans,0.4,1.0
55,art_increase_spike_density.csv,19.701141823306735,KMeans,0.15384615,7,KMeans,0.4,1.0
56,ambient_temperature_system_failure.csv,20.294048096415565,KMeans,0.8,8,KMeans,0.4,1.0
57,ec2_disk_write_bytes_1ef3de.csv,20.6920023418215,Linear,0.08695652,9,KMeans,0.4,1.0
58,ec2_network_in_5abac7.csv,20.6920023418215,Linear,0.66666667,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,Landsat Satellite,6.012839568501047,Linear,0.71794872,1,Linear,0.57142857,0.9047619
