,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Landsat Satellite,4.783817,Linear,0.71794872,1,Linear,0.92639843,0.98790185
2,Statlog Shuttle,4.997738,KMeans,0.96766744,2,KMeans,0.38537271,0.4468761299999999
3,ambient_temperature_system_failure.csv,5.548415,KMeans,0.8,3,KMeans,0.38537271,0.4468761299999999
4,ec2_cpu_utilization_c6585a.csv,5.924899,Linear,0.0,4,KMeans,0.38537271,0.4468761299999999
5,art_increase_spike_density.csv,7.316437,KMeans,0.15384615,5,KMeans,0.38537271,0.4468761299999999
6,art_daily_flatmiddle.csv,7.8273168,KMeans,0.02,6,KMeans,0.38537271,0.4468761299999999
7,machine_temperature_system_failure.csv,7.96256,Linear,0.4,7,KMeans,0.38537271,0.4468761299999999
8,ec2_disk_write_bytes_1ef3de.csv,7.977289,Linear,0.08695652,8,KMeans,0.38537271,0.4468761299999999
9,ec2_disk_write_bytes_c0d644.csv,8.004611,Linear,0.5,9,Linear,0.92639843,0.98790185
10,cpu_utilization_asg_misconfiguration.csv,8.013598,KMeans,0.00775194,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,4.6446257,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,Statlog Shuttle,4.9038324,KMeans,0.96766744,2,KMeans,0.96766744,1.0
15,ambient_temperature_system_failure.csv,5.2825584,KMeans,0.8,3,KMeans,0.96766744,1.0
16,ec2_cpu_utilization_c6585a.csv,5.7469435,Linear,0.0,4,KMeans,0.96766744,1.0
17,art_increase_spike_density.csv,7.1635294,KMeans,0.15384615,5,KMeans,0.96766744,1.0
18,art_daily_flatmiddle.csv,7.647654,KMeans,0.02,6,KMeans,0.96766744,1.0
19,machine_temperature_system_failure.csv,7.8004103,Linear,0.4,7,KMeans,0.96766744,1.0
20,ec2_disk_write_bytes_1ef3de.csv,7.8071833,Linear,0.08695652,8,KMeans,0.96766744,1.0
21,ec2_disk_write_bytes_c0d644.csv,7.832395,Linear,0.5,9,Linear,0.96707106,0.9994036199999999
22,cpu_utilization_asg_misconfiguration.csv,7.8499794,KMeans,0.00775194,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Landsat Satellite,4.499263,Linear,0.71794872,1,Linear,0.71794872,1.0
26,Statlog Shuttle,4.7657022,KMeans,0.96766744,2,KMeans,0.65517241,0.93722369
27,ambient_temperature_system_failure.csv,5.049395,KMeans,0.8,3,KMeans,0.65517241,0.93722369
28,ec2_cpu_utilization_c6585a.csv,5.520899,Linear,0.0,4,KMeans,0.65517241,0.93722369
29,art_increase_spike_density.csv,6.9418073,KMeans,0.15384615,5,KMeans,0.65517241,0.93722369
30,art_daily_flatmiddle.csv,7.4308968,KMeans,0.02,6,KMeans,0.65517241,0.93722369
31,machine_temperature_system_failure.csv,7.583091,Linear,0.4,7,KMeans,0.65517241,0.93722369
32,ec2_disk_write_bytes_1ef3de.csv,7.600689,Linear,0.08695652,8,KMeans,0.65517241,0.93722369
33,ec2_disk_write_bytes_c0d644.csv,7.6263967,Linear,0.5,9,Linear,0.71794872,1.0
34,cpu_utilization_asg_misconfiguration.csv,7.6311073,KMeans,0.00775194,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,Landsat Satellite,4.7102346,Linear,0.71794872,1,Linear,0.14285714,0.34285714
38,Statlog Shuttle,4.946554,KMeans,0.96766744,2,KMeans,0.8,1.0
39,ambient_temperature_system_failure.csv,5.3889785,KMeans,0.8,3,KMeans,0.8,1.0
40,ec2_cpu_utilization_c6585a.csv,5.7562213,Linear,0.0,4,KMeans,0.8,1.0
41,art_increase_spike_density.csv,7.1536555,KMeans,0.15384615,5,KMeans,0.8,1.0
42,art_daily_flatmiddle.csv,7.6412516,KMeans,0.02,6,KMeans,0.8,1.0
43,machine_temperature_system_failure.csv,7.798274,Linear,0.4,7,KMeans,0.8,1.0
44,ec2_disk_write_bytes_1ef3de.csv,7.8082714,Linear,0.08695652,8,KMeans,0.8,1.0
45,ec2_disk_write_bytes_c0d644.csv,7.835619,Linear,0.5,9,Linear,0.14285714,0.34285714
46,cpu_utilization_asg_misconfiguration.csv,7.850588,KMeans,0.00775194,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,Landsat Satellite,4.802799,Linear,0.71794872,1,Linear,0.4,1.0
50,Statlog Shuttle,4.9636054,KMeans,0.96766744,2,KMeans,0.4,1.0
51,ambient_temperature_system_failure.csv,5.348134,KMeans,0.8,3,KMeans,0.4,1.0
52,ec2_cpu_utilization_c6585a.csv,5.8044176,Linear,0.0,4,KMeans,0.4,1.0
53,art_increase_spike_density.csv,7.223719,KMeans,0.15384615,5,KMeans,0.4,1.0
54,art_daily_flatmiddle.csv,7.7213993,KMeans,0.02,6,KMeans,0.4,1.0
55,machine_temperature_system_failure.csv,7.8498354,Linear,0.4,7,KMeans,0.4,1.0
56,ec2_disk_write_bytes_1ef3de.csv,7.8755007,Linear,0.08695652,8,KMeans,0.4,1.0
57,cpu_utilization_asg_misconfiguration.csv,7.9011707,KMeans,0.00775194,9,KMeans,0.4,1.0
58,ec2_disk_write_bytes_c0d644.csv,7.9012403,Linear,0.5,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,Landsat Satellite,5.0007668,Linear,0.71794872,1,Linear,0.57142857,0.9047619
62,Statlog Shuttle,5.2419615,KMeans,0.96766744,2,KMeans,0.66666667,1.0
63,ambient_temperature_system_failure.csv,5.6289463,KMeans,0.8,3,KMeans,0.66666667,1.0
64,ec2_cpu_utilization_c6585a.csv,6.091686,Linear,0.0,4,KMeans,0.66666667,1.0
65,art_increase_spike_density.csv,7.485464,KMeans,0.15384615,5,KMeans,0.66666667,1.0
66,art_daily_flatmiddle.csv,7.9899592,KMeans,0.02,6,KMeans,0.66666667,1.0
67,ec2_disk_write_bytes_1ef3de.csv,8.152996,Linear,0.08695652,7,KMeans,0.66666667,1.0
68,machine_temperature_system_failure.csv,8.153183,Linear,0.4,8,KMeans,0.66666667,1.0
69,ec2_disk_write_bytes_c0d644.csv,8.178334,Linear,0.5,9,Linear,0.57142857,0.9047619
70,art_load_balancer_spikes.csv,8.197523,KMeans,0.25,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
73,Landsat Satellite,4.8863,Linear,0.71794872,1,Linear,0.125,0.45833333
74,Statlog Shuttle,5.1831083,KMeans,0.96766744,2,KMeans,0.66666667,1.0
75,ambient_temperature_system_failure.csv,5.5617104,KMeans,0.8,3,KMeans,0.66666667,1.0
76,ec2_cpu_utilization_c6585a.csv,6.0630274,Linear,0.0,4,KMeans,0.66666667,1.0
77,art_increase_spike_density.csv,7.468379,KMeans,0.15384615,5,KMeans,0.66666667,1.0
78,art_daily_flatmiddle.csv,7.9671745,KMeans,0.02,6,KMeans,0.66666667,1.0
79,machine_temperature_system_failure.csv,8.096113,Linear,0.4,7,KMeans,0.66666667,1.0
80,ec2_disk_write_bytes_1ef3de.csv,8.121725,Linear,0.08695652,8,KMeans,0.66666667,1.0
81,cpu_utilization_asg_misconfiguration.csv,8.147839,KMeans,0.00775194,9,KMeans,0.66666667,1.0
