,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,132.9233302879726,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,Landsat Satellite,138.33175515940002,Linear,0.71794872,2,KMeans,0.38537271,0.4468761299999999
3,art_daily_flatmiddle.csv,186.87481260670185,KMeans,0.02,3,KMeans,0.38537271,0.4468761299999999
4,ec2_disk_write_bytes_c0d644.csv,188.98704384266438,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999
5,art_load_balancer_spikes.csv,189.94048580681988,KMeans,0.25,5,KMeans,0.38537271,0.4468761299999999
6,art_increase_spike_density.csv,190.04172464435666,KMeans,0.15384615,6,KMeans,0.38537271,0.4468761299999999
7,ec2_cpu_utilization_24ae8d.csv,190.83869596801267,KMeans,1.0,7,KMeans,0.38537271,0.4468761299999999
8,ec2_disk_write_bytes_1ef3de.csv,192.3936994357033,Linear,0.08695652,8,KMeans,0.38537271,0.4468761299999999
9,ec2_cpu_utilization_77c1ca.csv,194.68566087824922,KMeans,0.03921569,9,KMeans,0.38537271,0.4468761299999999
10,ec2_network_in_5abac7.csv,196.60009574444626,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,45.662606680775966,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,art_daily_flatmiddle.csv,94.12806279300762,KMeans,0.02,2,KMeans,0.96766744,1.0
15,ec2_cpu_utilization_24ae8d.csv,103.46902235101717,KMeans,1.0,3,KMeans,0.96766744,1.0
16,ec2_cpu_utilization_77c1ca.csv,103.67923304178747,KMeans,0.03921569,4,KMeans,0.96766744,1.0
17,ec2_cpu_utilization_825cc2.csv,104.35934282908732,KMeans,0.66666667,5,KMeans,0.96766744,1.0
18,ec2_network_in_5abac7.csv,105.05320125416745,Linear,0.66666667,6,KMeans,0.96766744,1.0
19,ec2_cpu_utilization_fe7f93.csv,105.56358060966399,Linear,0.5,7,KMeans,0.96766744,1.0
20,ec2_cpu_utilization_53ea38.csv,106.11222577541034,KMeans,0.04255319,8,KMeans,0.96766744,1.0
21,art_daily_jumpsup.csv,106.33796556015491,KMeans,0.22222222,9,KMeans,0.96766744,1.0
22,elb_request_count_8c0756.csv,106.37168571027225,Linear,0.66666667,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Statlog Shuttle,45.662606680775966,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
26,art_daily_flatmiddle.csv,96.56696366098045,KMeans,0.02,2,KMeans,0.65517241,0.93722369
27,rds_cpu_utilization_e47b3b.csv,103.32223687432815,Linear,0.66666667,3,KMeans,0.65517241,0.93722369
28,ec2_cpu_utilization_5f5533.csv,103.48448012491,KMeans,0.57142857,4,KMeans,0.65517241,0.93722369
29,grok_asg_anomaly.csv,103.57490703705625,KMeans,0.5,5,KMeans,0.65517241,0.93722369
30,rds_cpu_utilization_cc0c53.csv,104.0737231422184,Gaussian,1.0,6,KMeans,0.65517241,0.93722369
31,ec2_cpu_utilization_ac20cd.csv,105.84996942478456,KMeans,0.66666667,7,KMeans,0.65517241,0.93722369
32,ec2_cpu_utilization_fe7f93.csv,106.97083704806664,Linear,0.5,8,KMeans,0.65517241,0.93722369
33,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,107.49971771424222,KMeans,0.5,9,KMeans,0.65517241,0.93722369
34,ec2_request_latency_system_failure.csv,107.92219204680406,KMeans,0.66666667,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,cpu_utilization_asg_misconfiguration.csv,44.33849275040852,KMeans,0.00775194,1,KMeans,0.8,1.0
38,machine_temperature_system_failure.csv,44.68774255980236,Linear,0.4,2,KMeans,0.8,1.0
39,ec2_network_in_257a54.csv,54.08660029655044,KMeans,0.5,3,KMeans,0.8,1.0
40,art_daily_jumpsup.csv,54.53209799415906,KMeans,0.22222222,4,KMeans,0.8,1.0
41,ec2_cpu_utilization_825cc2.csv,54.61892281351662,KMeans,0.66666667,5,KMeans,0.8,1.0
42,art_daily_jumpsdown.csv,54.832613227008096,KMeans,0.03030303,6,KMeans,0.8,1.0
43,art_daily_nojump.csv,54.90348032580145,KMeans,0.00152207,7,KMeans,0.8,1.0
44,ec2_cpu_utilization_fe7f93.csv,55.01019710781637,Linear,0.5,8,KMeans,0.8,1.0
45,ec2_request_latency_system_failure.csv,55.08211239909602,KMeans,0.66666667,9,KMeans,0.8,1.0
46,ec2_cpu_utilization_53ea38.csv,55.43373694577819,KMeans,0.04255319,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,cpu_utilization_asg_misconfiguration.csv,7.982500669911462,KMeans,0.00775194,1,KMeans,0.4,1.0
50,ec2_cpu_utilization_825cc2.csv,18.0899820614449,KMeans,0.66666667,2,KMeans,0.4,1.0
51,ec2_cpu_utilization_fe7f93.csv,18.214206829262302,Linear,0.5,3,KMeans,0.4,1.0
52,art_daily_jumpsup.csv,18.280659758677565,KMeans,0.22222222,4,KMeans,0.4,1.0
53,art_daily_jumpsdown.csv,18.52502869822544,KMeans,0.03030303,5,KMeans,0.4,1.0
54,art_daily_nojump.csv,18.66944743341642,KMeans,0.00152207,6,KMeans,0.4,1.0
55,elb_request_count_8c0756.csv,18.71656596355129,Linear,0.66666667,7,KMeans,0.4,1.0
56,ec2_request_latency_system_failure.csv,18.778259570943753,KMeans,0.66666667,8,KMeans,0.4,1.0
57,ec2_cpu_utilization_53ea38.csv,18.998587665093815,KMeans,0.04255319,9,KMeans,0.4,1.0
58,ec2_cpu_utilization_5f5533.csv,22.16213703543001,KMeans,0.57142857,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,ec2_cpu_utilization_fe7f93.csv,1.5102065709196135,Linear,0.5,1,Linear,0.57142857,0.9047619
62,elb_request_count_8c0756.csv,1.5688152072238766,Linear,0.66666667,2,Linear,0.57142857,0.9047619
63,ec2_cpu_utilization_53ea38.csv,1.7502143952121947,KMeans,0.04255319,3,Linear,0.57142857,0.9047619
64,art_daily_jumpsup.csv,1.8426596140155191,KMeans,0.22222222,4,KMeans,0.66666667,1.0
65,art_daily_jumpsdown.csv,2.200089481160751,KMeans,0.03030303,5,KMeans,0.66666667,1.0
66,art_daily_nojump.csv,2.2937036141309757,KMeans,0.00152207,6,KMeans,0.66666667,1.0
67,ec2_cpu_utilization_825cc2.csv,3.03040325347708,KMeans,0.66666667,7,KMeans,0.66666667,1.0
68,ec2_cpu_utilization_77c1ca.csv,7.018406104309401,KMeans,0.03921569,8,KMeans,0.66666667,1.0
69,ec2_cpu_utilization_5f5533.csv,7.857566171208735,KMeans,0.57142857,9,KMeans,0.66666667,1.0
70,rds_cpu_utilization_cc0c53.csv,8.217614810626145,Gaussian,1.0,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
73,art_daily_jumpsup.csv,2.3354508431284353,KMeans,0.22222222,1,KMeans,0.66666667,1.0
74,ec2_cpu_utilization_fe7f93.csv,2.4076076736780427,Linear,0.5,2,KMeans,0.66666667,1.0
75,art_daily_jumpsdown.csv,2.6491910845934665,KMeans,0.03030303,3,KMeans,0.66666667,1.0
76,art_daily_nojump.csv,2.747514758292464,KMeans,0.00152207,4,KMeans,0.66666667,1.0
77,ec2_request_latency_system_failure.csv,3.03040325347708,KMeans,0.66666667,5,KMeans,0.66666667,1.0
