,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Landsat Satellite,607.356267875606,Linear,0.71794872,1,Linear,0.92639843,0.98790185
2,Statlog Shuttle,622.8595412001984,KMeans,0.96766744,2,KMeans,0.38537271,0.4468761299999999
3,ambient_temperature_system_failure.csv,719.1181442660119,KMeans,0.8,3,KMeans,0.38537271,0.4468761299999999
4,ec2_cpu_utilization_c6585a.csv,779.366550028642,Linear,0.0,4,KMeans,0.38537271,0.4468761299999999
5,cpu_utilization_asg_misconfiguration.csv,798.562254393803,KMeans,0.00775194,5,KMeans,0.38537271,0.4468761299999999
6,machine_temperature_system_failure.csv,800.7847789921836,Linear,0.4,6,KMeans,0.38537271,0.4468761299999999
7,art_daily_nojump.csv,808.669378324562,KMeans,0.00152207,7,KMeans,0.38537271,0.4468761299999999
8,art_daily_jumpsdown.csv,808.798379815383,KMeans,0.03030303,8,KMeans,0.38537271,0.4468761299999999
9,art_daily_jumpsup.csv,808.9377672210147,KMeans,0.22222222,9,KMeans,0.38537271,0.4468761299999999
10,elb_request_count_8c0756.csv,809.4226180386325,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,56.921800805735984,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,ambient_temperature_system_failure.csv,277.6487640314391,KMeans,0.8,2,KMeans,0.96766744,1.0
15,ec2_cpu_utilization_c6585a.csv,490.7794867685202,Linear,0.0,3,Linear,0.96707106,0.9994036199999999
16,cpu_utilization_asg_misconfiguration.csv,564.343784512339,KMeans,0.00775194,4,KMeans,0.96766744,1.0
17,machine_temperature_system_failure.csv,565.8889379357483,Linear,0.4,5,Linear,0.96707106,0.9994036199999999
18,art_daily_nojump.csv,596.2114172249514,KMeans,0.00152207,6,KMeans,0.96766744,1.0
19,art_daily_jumpsdown.csv,596.6657881542119,KMeans,0.03030303,7,KMeans,0.96766744,1.0
20,art_daily_jumpsup.csv,597.536313632247,KMeans,0.22222222,8,KMeans,0.96766744,1.0
21,ec2_cpu_utilization_825cc2.csv,601.2012657430371,KMeans,0.66666667,9,KMeans,0.96766744,1.0
22,ec2_network_in_257a54.csv,601.2720901360959,KMeans,0.5,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Statlog Shuttle,9.159116104770789,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
26,ambient_temperature_system_failure.csv,55.42780001363336,KMeans,0.8,2,KMeans,0.65517241,0.93722369
27,ec2_cpu_utilization_c6585a.csv,94.45223395729799,Linear,0.0,3,KMeans,0.65517241,0.93722369
28,cpu_utilization_asg_misconfiguration.csv,107.29551582642254,KMeans,0.00775194,4,KMeans,0.65517241,0.93722369
29,machine_temperature_system_failure.csv,108.74873910926674,Linear,0.4,5,KMeans,0.65517241,0.93722369
30,art_daily_jumpsdown.csv,114.61737296992936,KMeans,0.03030303,6,KMeans,0.65517241,0.93722369
31,art_daily_nojump.csv,114.73090914793909,KMeans,0.00152207,7,KMeans,0.65517241,0.93722369
32,art_daily_jumpsup.csv,114.9933443648366,KMeans,0.22222222,8,KMeans,0.65517241,0.93722369
33,ec2_cpu_utilization_825cc2.csv,115.33101951304704,KMeans,0.66666667,9,KMeans,0.65517241,0.93722369
34,ec2_network_in_257a54.csv,115.66389225531394,KMeans,0.5,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,ec2_cpu_utilization_c6585a.csv,61.30224326205664,Linear,0.0,1,Linear,0.14285714,0.34285714
38,cpu_utilization_asg_misconfiguration.csv,77.68897336548282,KMeans,0.00775194,2,KMeans,0.8,1.0
39,machine_temperature_system_failure.csv,82.65374190540416,Linear,0.4,3,Linear,0.14285714,0.34285714
40,art_daily_jumpsup.csv,93.12238171599216,KMeans,0.22222222,4,KMeans,0.8,1.0
41,art_daily_nojump.csv,93.18773646318887,KMeans,0.00152207,5,KMeans,0.8,1.0
42,art_daily_jumpsdown.csv,93.4955055394296,KMeans,0.03030303,6,KMeans,0.8,1.0
43,ec2_request_latency_system_failure.csv,93.68308570734283,KMeans,0.66666667,7,KMeans,0.8,1.0
44,ec2_network_in_257a54.csv,93.92554126165587,KMeans,0.5,8,KMeans,0.8,1.0
45,ec2_cpu_utilization_53ea38.csv,93.99153571108751,KMeans,0.04255319,9,KMeans,0.8,1.0
46,elb_request_count_8c0756.csv,94.28768746186066,Linear,0.66666667,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,cpu_utilization_asg_misconfiguration.csv,1.6573665728702274,KMeans,0.00775194,1,KMeans,0.4,1.0
50,art_daily_nojump.csv,13.752929430229255,KMeans,0.00152207,2,KMeans,0.4,1.0
51,art_daily_jumpsdown.csv,13.97424894694397,KMeans,0.03030303,3,KMeans,0.4,1.0
52,art_daily_jumpsup.csv,14.214195780438104,KMeans,0.22222222,4,KMeans,0.4,1.0
53,ec2_network_in_257a54.csv,14.239959693826648,KMeans,0.5,5,KMeans,0.4,1.0
54,ec2_cpu_utilization_53ea38.csv,15.450093868291958,KMeans,0.04255319,6,KMeans,0.4,1.0
55,elb_request_count_8c0756.csv,15.624024983672276,Linear,0.66666667,7,KMeans,0.4,1.0
56,ec2_request_latency_system_failure.csv,15.748915119482984,KMeans,0.66666667,8,KMeans,0.4,1.0
57,ec2_cpu_utilization_825cc2.csv,15.987413331949776,KMeans,0.66666667,9,KMeans,0.4,1.0
58,ec2_cpu_utilization_fe7f93.csv,16.840278627092268,Linear,0.5,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,ec2_cpu_utilization_53ea38.csv,0.035076438349880945,KMeans,0.04255319,1,KMeans,0.66666667,1.0
62,ec2_cpu_utilization_825cc2.csv,0.1863723133216304,KMeans,0.66666667,2,KMeans,0.66666667,1.0
63,elb_request_count_8c0756.csv,0.4637827809261008,Linear,0.66666667,3,KMeans,0.66666667,1.0
64,art_daily_jumpsdown.csv,1.1043174986555275,KMeans,0.03030303,4,KMeans,0.66666667,1.0
65,ec2_network_in_257a54.csv,1.2043378931035864,KMeans,0.5,5,KMeans,0.66666667,1.0
66,art_daily_nojump.csv,1.5137728550824274,KMeans,0.00152207,6,KMeans,0.66666667,1.0
67,art_daily_jumpsup.csv,1.5893824217976054,KMeans,0.22222222,7,KMeans,0.66666667,1.0
68,ec2_cpu_utilization_fe7f93.csv,1.805939762132856,Linear,0.5,8,KMeans,0.66666667,1.0
69,ec2_network_in_5abac7.csv,2.1810702009103062,Linear,0.66666667,9,KMeans,0.66666667,1.0
70,ec2_cpu_utilization_77c1ca.csv,3.744207507744604,KMeans,0.03921569,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
73,ec2_network_in_257a54.csv,0.21833901012607537,KMeans,0.5,1,KMeans,0.66666667,1.0
74,ec2_cpu_utilization_53ea38.csv,0.2613799042386926,KMeans,0.04255319,2,KMeans,0.66666667,1.0
75,ec2_request_latency_system_failure.csv,0.27584546446139147,KMeans,0.66666667,3,KMeans,0.66666667,1.0
76,ec2_network_in_5abac7.csv,0.5721877331049452,Linear,0.66666667,4,KMeans,0.66666667,1.0
77,ec2_cpu_utilization_fe7f93.csv,0.705564547286448,Linear,0.5,5,KMeans,0.66666667,1.0
78,elb_request_count_8c0756.csv,1.0328883160292204,Linear,0.66666667,6,KMeans,0.66666667,1.0
79,art_daily_jumpsup.csv,1.5687782680825526,KMeans,0.22222222,7,KMeans,0.66666667,1.0
80,art_daily_jumpsdown.csv,1.9032981092503727,KMeans,0.03030303,8,KMeans,0.66666667,1.0
81,art_daily_nojump.csv,2.131650599003023,KMeans,0.00152207,9,KMeans,0.66666667,1.0
82,ec2_cpu_utilization_77c1ca.csv,2.7331874978805444,KMeans,0.03921569,10,KMeans,0.66666667,1.0
83,,,,,,,,
84,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
85,ec2_network_in_5abac7.csv,0.19381057517208422,Linear,0.66666667,1,Linear,0.4,0.9
86,elb_request_count_8c0756.csv,0.2921022421359023,Linear,0.66666667,2,Linear,0.4,0.9
87,ec2_cpu_utilization_53ea38.csv,0.9079249002551135,KMeans,0.04255319,3,Linear,0.4,0.9
88,ec2_request_latency_system_failure.csv,1.3564158529294792,KMeans,0.66666667,4,KMeans,0.5,1.0
89,ec2_cpu_utilization_ac20cd.csv,1.7401902983666435,KMeans,0.66666667,5,KMeans,0.5,1.0
90,ec2_cpu_utilization_fe7f93.csv,1.7540377840214028,Linear,0.5,6,KMeans,0.5,1.0
91,ec2_cpu_utilization_77c1ca.csv,1.817325277758779,KMeans,0.03921569,7,KMeans,0.5,1.0
92,art_daily_jumpsup.csv,2.645727553339319,KMeans,0.22222222,8,KMeans,0.5,1.0
93,ec2_cpu_utilization_825cc2.csv,2.828206422304656,KMeans,0.66666667,9,KMeans,0.5,1.0
94,art_daily_jumpsdown.csv,3.17039664945385,KMeans,0.03030303,10,KMeans,0.5,1.0
95,,,,,,,,
96,ec2_cpu_utilization_c6585a.csv,0,Linear,0.0,0,Linear,0.0,1
97,cpu_utilization_asg_misconfiguration.csv,66.2787936008445,KMeans,0.00775194,1,KMeans,0.0,1.0
98,machine_temperature_system_failure.csv,72.69430938737989,Linear,0.4,2,KMeans,0.0,1.0
99,art_daily_nojump.csv,99.8565710999168,KMeans,0.00152207,3,KMeans,0.0,1.0
100,art_daily_jumpsdown.csv,100.34965899314153,KMeans,0.03030303,4,KMeans,0.0,1.0
101,art_daily_jumpsup.csv,101.01610181298628,KMeans,0.22222222,5,KMeans,0.0,1.0
102,elb_request_count_8c0756.csv,103.44653670779275,Linear,0.66666667,6,KMeans,0.0,1.0
103,ec2_request_latency_system_failure.csv,104.17333789665662,KMeans,0.66666667,7,KMeans,0.0,1.0
104,ec2_cpu_utilization_53ea38.csv,104.35875638636236,KMeans,0.04255319,8,KMeans,0.0,1.0
