,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Landsat Satellite,67.33471872493547,Linear,0.71794872,1,Linear,0.92639843,0.98790185
2,ambient_temperature_system_failure.csv,72.17548099812169,KMeans,0.8,2,KMeans,0.38537271,0.4468761299999999
3,Statlog Shuttle,77.96834282134702,KMeans,0.96766744,3,KMeans,0.38537271,0.4468761299999999
4,ec2_cpu_utilization_c6585a.csv,79.29784731555802,Linear,0.0,4,KMeans,0.38537271,0.4468761299999999
5,art_increase_spike_density.csv,97.78420317252045,KMeans,0.15384615,5,KMeans,0.38537271,0.4468761299999999
6,machine_temperature_system_failure.csv,104.99817845320213,Linear,0.4,6,KMeans,0.38537271,0.4468761299999999
7,art_daily_flatmiddle.csv,105.56472410687758,KMeans,0.02,7,KMeans,0.38537271,0.4468761299999999
8,ec2_disk_write_bytes_c0d644.csv,107.6846432310662,Linear,0.5,8,KMeans,0.38537271,0.4468761299999999
9,cpu_utilization_asg_misconfiguration.csv,108.32808084450355,KMeans,0.00775194,9,KMeans,0.38537271,0.4468761299999999
10,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,108.9305211901795,KMeans,0.5,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,67.33471872493547,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,ambient_temperature_system_failure.csv,72.17548099812169,KMeans,0.8,2,KMeans,0.96766744,1.0
15,Statlog Shuttle,77.96834282134702,KMeans,0.96766744,3,KMeans,0.96766744,1.0
16,ec2_cpu_utilization_c6585a.csv,79.29784731555802,Linear,0.0,4,KMeans,0.96766744,1.0
17,art_increase_spike_density.csv,97.78420317252045,KMeans,0.15384615,5,KMeans,0.96766744,1.0
18,machine_temperature_system_failure.csv,104.99817845320213,Linear,0.4,6,KMeans,0.96766744,1.0
19,art_daily_flatmiddle.csv,105.56472410687758,KMeans,0.02,7,KMeans,0.96766744,1.0
20,ec2_disk_write_bytes_c0d644.csv,107.6846432310662,Linear,0.5,8,KMeans,0.96766744,1.0
21,cpu_utilization_asg_misconfiguration.csv,108.32808084450355,KMeans,0.00775194,9,KMeans,0.96766744,1.0
22,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,108.9305211901795,KMeans,0.5,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Landsat Satellite,67.33471872493547,Linear,0.71794872,1,Linear,0.71794872,1.0
26,ambient_temperature_system_failure.csv,72.17548099812169,KMeans,0.8,2,KMeans,0.65517241,0.93722369
27,Statlog Shuttle,77.96834282134702,KMeans,0.96766744,3,KMeans,0.65517241,0.93722369
28,ec2_cpu_utilization_c6585a.csv,79.29784731555802,Linear,0.0,4,KMeans,0.65517241,0.93722369
29,art_increase_spike_density.csv,97.78420317252045,KMeans,0.15384615,5,KMeans,0.65517241,0.93722369
30,machine_temperature_system_failure.csv,104.99817845320213,Linear,0.4,6,KMeans,0.65517241,0.93722369
31,art_daily_flatmiddle.csv,105.56472410687758,KMeans,0.02,7,KMeans,0.65517241,0.93722369
32,ec2_disk_write_bytes_c0d644.csv,107.6846432310662,Linear,0.5,8,KMeans,0.65517241,0.93722369
33,cpu_utilization_asg_misconfiguration.csv,108.32808084450355,KMeans,0.00775194,9,KMeans,0.65517241,0.93722369
34,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,108.9305211901795,KMeans,0.5,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,Landsat Satellite,67.33471872493547,Linear,0.71794872,1,Linear,0.14285714,0.34285714
38,ambient_temperature_system_failure.csv,72.17548099812169,KMeans,0.8,2,KMeans,0.8,1.0
39,Statlog Shuttle,77.96834282134702,KMeans,0.96766744,3,KMeans,0.8,1.0
40,ec2_cpu_utilization_c6585a.csv,79.29784731555802,Linear,0.0,4,KMeans,0.8,1.0
41,art_increase_spike_density.csv,97.78420317252045,KMeans,0.15384615,5,KMeans,0.8,1.0
42,machine_temperature_system_failure.csv,104.99817845320213,Linear,0.4,6,KMeans,0.8,1.0
43,art_daily_flatmiddle.csv,105.56472410687758,KMeans,0.02,7,KMeans,0.8,1.0
44,ec2_disk_write_bytes_c0d644.csv,107.6846432310662,Linear,0.5,8,KMeans,0.8,1.0
45,cpu_utilization_asg_misconfiguration.csv,108.32808084450355,KMeans,0.00775194,9,KMeans,0.8,1.0
46,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,108.9305211901795,KMeans,0.5,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,Landsat Satellite,67.33471872493547,Linear,0.71794872,1,Linear,0.4,1.0
50,ambient_temperature_system_failure.csv,72.17548099812169,KMeans,0.8,2,KMeans,0.4,1.0
51,Statlog Shuttle,77.96834282134702,KMeans,0.96766744,3,KMeans,0.4,1.0
52,ec2_cpu_utilization_c6585a.csv,79.29784731555802,Linear,0.0,4,KMeans,0.4,1.0
53,art_increase_spike_density.csv,97.78420317252045,KMeans,0.15384615,5,KMeans,0.4,1.0
54,machine_temperature_system_failure.csv,104.99817845320213,Linear,0.4,6,KMeans,0.4,1.0
55,art_daily_flatmiddle.csv,105.56472410687758,KMeans,0.02,7,KMeans,0.4,1.0
56,ec2_disk_write_bytes_c0d644.csv,107.6846432310662,Linear,0.5,8,KMeans,0.4,1.0
57,cpu_utilization_asg_misconfiguration.csv,108.32808084450355,KMeans,0.00775194,9,KMeans,0.4,1.0
58,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,108.9305211901795,KMeans,0.5,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,Landsat Satellite,67.33471872493547,Linear,0.71794872,1,Linear,0.57142857,0.9047619
62,ambient_temperature_system_failure.csv,72.17548099812169,KMeans,0.8,2,KMeans,0.66666667,1.0
63,Statlog Shuttle,77.96834282134702,KMeans,0.96766744,3,KMeans,0.66666667,1.0
64,ec2_cpu_utilization_c6585a.csv,79.29784731555802,Linear,0.0,4,KMeans,0.66666667,1.0
65,art_increase_spike_density.csv,97.78420317252045,KMeans,0.15384615,5,KMeans,0.66666667,1.0
66,machine_temperature_system_failure.csv,104.99817845320213,Linear,0.4,6,KMeans,0.66666667,1.0
67,art_daily_flatmiddle.csv,105.56472410687758,KMeans,0.02,7,KMeans,0.66666667,1.0
68,ec2_disk_write_bytes_c0d644.csv,107.6846432310662,Linear,0.5,8,KMeans,0.66666667,1.0
69,cpu_utilization_asg_misconfiguration.csv,108.32808084450355,KMeans,0.00775194,9,KMeans,0.66666667,1.0
70,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,108.9305211901795,KMeans,0.5,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
73,Landsat Satellite,67.33471872493547,Linear,0.71794872,1,Linear,0.125,0.45833333
74,ambient_temperature_system_failure.csv,72.17548099812169,KMeans,0.8,2,KMeans,0.66666667,1.0
75,Statlog Shuttle,77.96834282134702,KMeans,0.96766744,3,KMeans,0.66666667,1.0
76,ec2_cpu_utilization_c6585a.csv,79.29784731555802,Linear,0.0,4,KMeans,0.66666667,1.0
