,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,ec2_cpu_utilization_c6585a.csv,6.157072,Linear,0.0,1,Linear,0.92639843,0.98790185
2,Statlog Shuttle,8.068546,KMeans,0.96766744,2,KMeans,0.38537271,0.4468761299999999
3,ambient_temperature_system_failure.csv,8.072968,KMeans,0.8,3,KMeans,0.38537271,0.4468761299999999
4,Landsat Satellite,8.291834,Linear,0.71794872,4,KMeans,0.38537271,0.4468761299999999
5,cpu_utilization_asg_misconfiguration.csv,9.838961,KMeans,0.00775194,5,KMeans,0.38537271,0.4468761299999999
6,grok_asg_anomaly.csv,9.859011,KMeans,0.5,6,KMeans,0.38537271,0.4468761299999999
7,ec2_cpu_utilization_5f5533.csv,9.859131,KMeans,0.57142857,7,KMeans,0.38537271,0.4468761299999999
8,rds_cpu_utilization_e47b3b.csv,9.879467,Linear,0.66666667,8,KMeans,0.38537271,0.4468761299999999
9,ec2_cpu_utilization_ac20cd.csv,9.880163,KMeans,0.66666667,9,KMeans,0.38537271,0.4468761299999999
10,rds_cpu_utilization_cc0c53.csv,9.884985,Gaussian,1.0,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,ec2_cpu_utilization_c6585a.csv,6.455375,Linear,0.0,1,Linear,0.96707106,0.9994036199999999
14,Statlog Shuttle,8.150151,KMeans,0.96766744,2,KMeans,0.96766744,1.0
15,ambient_temperature_system_failure.csv,8.244295,KMeans,0.8,3,KMeans,0.96766744,1.0
16,Landsat Satellite,8.35418,Linear,0.71794872,4,KMeans,0.96766744,1.0
17,cpu_utilization_asg_misconfiguration.csv,10.092312,KMeans,0.00775194,5,KMeans,0.96766744,1.0
18,grok_asg_anomaly.csv,10.134502,KMeans,0.5,6,KMeans,0.96766744,1.0
19,ec2_cpu_utilization_5f5533.csv,10.134622,KMeans,0.57142857,7,KMeans,0.96766744,1.0
20,rds_cpu_utilization_e47b3b.csv,10.155365,Linear,0.66666667,8,KMeans,0.96766744,1.0
21,ec2_cpu_utilization_ac20cd.csv,10.156055,KMeans,0.66666667,9,KMeans,0.96766744,1.0
22,rds_cpu_utilization_cc0c53.csv,10.161041,Gaussian,1.0,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,ec2_cpu_utilization_c6585a.csv,6.4648876,Linear,0.0,1,Linear,0.71794872,1.0
26,Statlog Shuttle,8.13332,KMeans,0.96766744,2,KMeans,0.65517241,0.93722369
27,Landsat Satellite,8.333027,Linear,0.71794872,3,Linear,0.71794872,1.0
28,ambient_temperature_system_failure.csv,8.493096,KMeans,0.8,4,KMeans,0.65517241,0.93722369
29,grok_asg_anomaly.csv,10.054077,KMeans,0.5,5,KMeans,0.65517241,0.93722369
30,ec2_cpu_utilization_5f5533.csv,10.054091,KMeans,0.57142857,6,KMeans,0.65517241,0.93722369
31,rds_cpu_utilization_e47b3b.csv,10.074498,Linear,0.66666667,7,KMeans,0.65517241,0.93722369
32,ec2_cpu_utilization_ac20cd.csv,10.07926,KMeans,0.66666667,8,KMeans,0.65517241,0.93722369
33,rds_cpu_utilization_cc0c53.csv,10.083241,Gaussian,1.0,9,KMeans,0.65517241,0.93722369
34,cpu_utilization_asg_misconfiguration.csv,10.137243,KMeans,0.00775194,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,ec2_cpu_utilization_c6585a.csv,5.455675,Linear,0.0,1,Linear,0.14285714,0.34285714
38,ambient_temperature_system_failure.csv,7.359426,KMeans,0.8,2,KMeans,0.8,1.0
39,Statlog Shuttle,7.422915,KMeans,0.96766744,3,KMeans,0.8,1.0
40,Landsat Satellite,7.5582685,Linear,0.71794872,4,KMeans,0.8,1.0
41,grok_asg_anomaly.csv,9.1211815,KMeans,0.5,5,KMeans,0.8,1.0
42,ec2_cpu_utilization_5f5533.csv,9.121268,KMeans,0.57142857,6,KMeans,0.8,1.0
43,cpu_utilization_asg_misconfiguration.csv,9.137261,KMeans,0.00775194,7,KMeans,0.8,1.0
44,rds_cpu_utilization_e47b3b.csv,9.141555,Linear,0.66666667,8,KMeans,0.8,1.0
45,ec2_cpu_utilization_ac20cd.csv,9.14357,KMeans,0.66666667,9,KMeans,0.8,1.0
46,rds_cpu_utilization_cc0c53.csv,9.148139,Gaussian,1.0,10,KMeans,0.8,1.0
47,,,,,,,,
