,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,10.155691014191957,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,Landsat Satellite,10.739354882538874,Linear,0.71794872,2,KMeans,0.38537271,0.4468761299999999
3,ec2_cpu_utilization_24ae8d.csv,11.733042316490314,KMeans,1.0,3,KMeans,0.38537271,0.4468761299999999
4,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,11.863955567640048,KMeans,0.5,4,KMeans,0.38537271,0.4468761299999999
5,ec2_network_in_5abac7.csv,11.902005954502759,Linear,0.66666667,5,KMeans,0.38537271,0.4468761299999999
6,ec2_disk_write_bytes_c0d644.csv,11.934655883069336,Linear,0.5,6,KMeans,0.38537271,0.4468761299999999
7,ec2_disk_write_bytes_1ef3de.csv,11.942367321963248,Linear,0.08695652,7,Linear,0.92639843,0.98790185
8,elb_request_count_8c0756.csv,11.957106194867444,Linear,0.66666667,8,Linear,0.92639843,0.98790185
9,ec2_cpu_utilization_fe7f93.csv,11.974969490882543,Linear,0.5,9,Linear,0.92639843,0.98790185
10,art_increase_spike_density.csv,11.97501929717219,KMeans,0.15384615,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,2.7640642743317563,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,ec2_cpu_utilization_24ae8d.csv,5.765779618816599,KMeans,1.0,2,KMeans,0.96766744,1.0
15,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,5.941461926516481,KMeans,0.5,3,KMeans,0.96766744,1.0
16,ec2_network_in_5abac7.csv,5.995061036964344,Linear,0.66666667,4,KMeans,0.96766744,1.0
17,ec2_disk_write_bytes_c0d644.csv,6.040503524491363,Linear,0.5,5,Linear,0.96707106,0.9994036199999999
18,ec2_disk_write_bytes_1ef3de.csv,6.05116787730467,Linear,0.08695652,6,Linear,0.96707106,0.9994036199999999
19,elb_request_count_8c0756.csv,6.071805008044924,Linear,0.66666667,7,Linear,0.96707106,0.9994036199999999
20,ec2_cpu_utilization_fe7f93.csv,6.09687315497731,Linear,0.5,8,Linear,0.96707106,0.9994036199999999
21,art_increase_spike_density.csv,6.096875267699064,KMeans,0.15384615,9,Linear,0.96707106,0.9994036199999999
22,ec2_cpu_utilization_825cc2.csv,6.122831110710459,KMeans,0.66666667,10,Linear,0.96707106,0.9994036199999999
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Statlog Shuttle,2.7640642743317563,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
26,rds_cpu_utilization_e47b3b.csv,5.688331838069029,Linear,0.66666667,2,KMeans,0.65517241,0.93722369
27,rds_cpu_utilization_cc0c53.csv,5.75300663948238,Gaussian,1.0,3,Gaussian,0.63716814,0.91921942
28,ec2_cpu_utilization_5f5533.csv,5.763943755170977,KMeans,0.57142857,4,KMeans,0.65517241,0.93722369
29,grok_asg_anomaly.csv,5.768158509354545,KMeans,0.5,5,KMeans,0.65517241,0.93722369
30,ec2_cpu_utilization_ac20cd.csv,5.7833415364946665,KMeans,0.66666667,6,KMeans,0.65517241,0.93722369
31,ec2_cpu_utilization_24ae8d.csv,5.810539718611146,KMeans,1.0,7,KMeans,0.65517241,0.93722369
32,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,5.910216717659248,KMeans,0.5,8,KMeans,0.65517241,0.93722369
33,ec2_network_in_5abac7.csv,5.944623876857599,Linear,0.66666667,9,KMeans,0.65517241,0.93722369
34,ec2_disk_write_bytes_c0d644.csv,5.973381588445847,Linear,0.5,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,cpu_utilization_asg_misconfiguration.csv,2.7580480752116276,KMeans,0.00775194,1,KMeans,0.8,1.0
38,ec2_cpu_utilization_24ae8d.csv,4.7827107728261,KMeans,1.0,2,KMeans,0.8,1.0
39,ec2_request_latency_system_failure.csv,4.893461652416731,KMeans,0.66666667,3,KMeans,0.8,1.0
40,art_daily_jumpsup.csv,4.946252941035632,KMeans,0.22222222,4,KMeans,0.8,1.0
41,art_daily_jumpsdown.csv,4.949260938024777,KMeans,0.03030303,5,KMeans,0.8,1.0
42,art_daily_nojump.csv,4.949260997682822,KMeans,0.00152207,6,KMeans,0.8,1.0
43,art_load_balancer_spikes.csv,4.961967010840929,KMeans,0.25,7,KMeans,0.8,1.0
44,art_daily_flatmiddle.csv,4.981135011870477,KMeans,0.02,8,KMeans,0.8,1.0
45,machine_temperature_system_failure.csv,5.001972481004856,Linear,0.4,9,KMeans,0.8,1.0
46,ec2_network_in_5abac7.csv,5.077321569987768,Linear,0.66666667,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,art_load_balancer_spikes.csv,0.044191792179728795,KMeans,0.25,1,KMeans,0.4,1.0
50,art_daily_jumpsup.csv,0.05573696016314058,KMeans,0.22222222,2,KMeans,0.4,1.0
51,ec2_request_latency_system_failure.csv,0.11258706943622536,KMeans,0.66666667,3,KMeans,0.4,1.0
