,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,24.0432305124581,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,Landsat Satellite,27.260814103869333,Linear,0.71794872,2,KMeans,0.38537271,0.4468761299999999
3,ec2_cpu_utilization_24ae8d.csv,28.844501740213357,KMeans,1.0,3,KMeans,0.38537271,0.4468761299999999
4,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,28.90497121084659,KMeans,0.5,4,KMeans,0.38537271,0.4468761299999999
5,ec2_network_in_5abac7.csv,29.078148753280335,Linear,0.66666667,5,KMeans,0.38537271,0.4468761299999999
6,ec2_disk_write_bytes_1ef3de.csv,29.123354819252434,Linear,0.08695652,6,KMeans,0.38537271,0.4468761299999999
7,ec2_disk_write_bytes_c0d644.csv,29.132554685219738,Linear,0.5,7,Linear,0.92639843,0.98790185
8,art_increase_spike_density.csv,29.14614132097207,KMeans,0.15384615,8,KMeans,0.38537271,0.4468761299999999
9,elb_request_count_8c0756.csv,29.152616077537807,Linear,0.66666667,9,Linear,0.92639843,0.98790185
10,ec2_cpu_utilization_fe7f93.csv,29.196837345073607,Linear,0.5,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,6.327561499021521,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,ec2_cpu_utilization_24ae8d.csv,13.068941904224292,KMeans,1.0,2,KMeans,0.96766744,1.0
15,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,13.129411374857519,KMeans,0.5,3,KMeans,0.96766744,1.0
16,ec2_network_in_5abac7.csv,13.302588917291267,Linear,0.66666667,4,KMeans,0.96766744,1.0
17,ec2_disk_write_bytes_1ef3de.csv,13.347794983263361,Linear,0.08695652,5,Linear,0.96707106,0.9994036199999999
18,ec2_disk_write_bytes_c0d644.csv,13.356994849230666,Linear,0.5,6,Linear,0.96707106,0.9994036199999999
19,art_increase_spike_density.csv,13.370581484983,KMeans,0.15384615,7,Linear,0.96707106,0.9994036199999999
20,elb_request_count_8c0756.csv,13.377056241548736,Linear,0.66666667,8,Linear,0.96707106,0.9994036199999999
21,ec2_cpu_utilization_fe7f93.csv,13.421277509084536,Linear,0.5,9,Linear,0.96707106,0.9994036199999999
22,ec2_cpu_utilization_53ea38.csv,13.472579171383895,KMeans,0.04255319,10,Linear,0.96707106,0.9994036199999999
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Statlog Shuttle,6.327561499021521,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
26,rds_cpu_utilization_e47b3b.csv,11.98701137544517,Linear,0.66666667,2,KMeans,0.65517241,0.93722369
27,ec2_cpu_utilization_5f5533.csv,12.178128190175748,KMeans,0.57142857,3,KMeans,0.65517241,0.93722369
28,grok_asg_anomaly.csv,12.20069435006506,KMeans,0.5,4,KMeans,0.65517241,0.93722369
29,rds_cpu_utilization_cc0c53.csv,12.466885364418673,Gaussian,1.0,5,KMeans,0.65517241,0.93722369
30,ec2_cpu_utilization_ac20cd.csv,12.617651101964299,KMeans,0.66666667,6,KMeans,0.65517241,0.93722369
31,ec2_cpu_utilization_24ae8d.csv,12.996233300988687,KMeans,1.0,7,KMeans,0.65517241,0.93722369
32,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,13.05670277162191,KMeans,0.5,8,KMeans,0.65517241,0.93722369
33,ec2_network_in_5abac7.csv,13.229880314055663,Linear,0.66666667,9,KMeans,0.65517241,0.93722369
34,ec2_disk_write_bytes_1ef3de.csv,13.275086380027755,Linear,0.08695652,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,cpu_utilization_asg_misconfiguration.csv,2.759447609028113,KMeans,0.00775194,1,KMeans,0.8,1.0
38,ec2_request_latency_system_failure.csv,4.949857812077732,KMeans,0.66666667,2,KMeans,0.8,1.0
39,art_daily_jumpsup.csv,4.960228012808568,KMeans,0.22222222,3,KMeans,0.8,1.0
40,art_load_balancer_spikes.csv,5.002019863061562,KMeans,0.25,4,KMeans,0.8,1.0
41,machine_temperature_system_failure.csv,5.013995284194319,Linear,0.4,5,KMeans,0.8,1.0
42,art_daily_jumpsdown.csv,5.119230533946431,KMeans,0.03030303,6,KMeans,0.8,1.0
43,art_daily_nojump.csv,5.120197753412368,KMeans,0.00152207,7,KMeans,0.8,1.0
44,ec2_network_in_257a54.csv,5.137634603543488,KMeans,0.5,8,KMeans,0.8,1.0
45,art_daily_flatmiddle.csv,5.151204817824328,KMeans,0.02,9,KMeans,0.8,1.0
46,ec2_cpu_utilization_825cc2.csv,5.184506135326403,KMeans,0.66666667,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,art_daily_jumpsup.csv,0.05767647670314639,KMeans,0.22222222,1,KMeans,0.4,1.0
50,art_load_balancer_spikes.csv,0.06816555779914296,KMeans,0.25,2,KMeans,0.4,1.0
51,ec2_network_in_257a54.csv,0.12363931934916869,KMeans,0.5,3,KMeans,0.4,1.0
52,ec2_request_latency_system_failure.csv,0.15315884484377046,KMeans,0.66666667,4,KMeans,0.4,1.0
53,ec2_cpu_utilization_825cc2.csv,0.17051085113208356,KMeans,0.66666667,5,KMeans,0.4,1.0
54,art_daily_flatmiddle.csv,0.2083435672155727,KMeans,0.02,6,KMeans,0.4,1.0
55,ec2_cpu_utilization_53ea38.csv,0.21382664239325758,KMeans,0.04255319,7,KMeans,0.4,1.0
56,ec2_cpu_utilization_77c1ca.csv,0.2284096794323591,KMeans,0.03921569,8,KMeans,0.4,1.0
57,art_daily_nojump.csv,0.23935063162753406,KMeans,0.00152207,9,KMeans,0.4,1.0
58,art_daily_jumpsdown.csv,0.24031785109347065,KMeans,0.03030303,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,art_load_balancer_spikes.csv,0.08499328704462748,KMeans,0.25,1,KMeans,0.66666667,1.0
62,art_daily_jumpsup.csv,0.09548236814062405,KMeans,0.22222222,2,KMeans,0.66666667,1.0
63,machine_temperature_system_failure.csv,0.15315884484377046,Linear,0.4,3,KMeans,0.66666667,1.0
64,ec2_cpu_utilization_825cc2.csv,0.25759086323651686,KMeans,0.66666667,4,KMeans,0.66666667,1.0
65,ec2_network_in_257a54.csv,0.26966255213388335,KMeans,0.5,5,KMeans,0.66666667,1.0
66,art_daily_nojump.csv,0.28106572838240595,KMeans,0.00152207,6,KMeans,0.66666667,1.0
67,art_daily_jumpsdown.csv,0.28203294784834254,KMeans,0.03030303,7,KMeans,0.66666667,1.0
68,art_daily_flatmiddle.csv,0.31384543885672556,KMeans,0.02,8,KMeans,0.66666667,1.0
69,ec2_cpu_utilization_fe7f93.csv,0.32926577680920427,Linear,0.5,9,KMeans,0.66666667,1.0
70,ec2_cpu_utilization_53ea38.csv,0.36563731732268295,KMeans,0.04255319,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
73,ec2_network_in_257a54.csv,0.046871531782914866,KMeans,0.5,1,KMeans,0.66666667,1.0
74,ec2_cpu_utilization_fe7f93.csv,0.0946174535605323,Linear,0.5,2,KMeans,0.66666667,1.0
75,ec2_cpu_utilization_53ea38.csv,0.10804645408616609,KMeans,0.04255319,3,KMeans,0.66666667,1.0
76,ec2_cpu_utilization_77c1ca.csv,0.12397766103961266,KMeans,0.03921569,4,KMeans,0.66666667,1.0
77,elb_request_count_8c0756.csv,0.13883872109633272,Linear,0.66666667,5,KMeans,0.66666667,1.0
78,art_increase_spike_density.csv,0.14531347766207026,KMeans,0.15384615,6,KMeans,0.66666667,1.0
79,ec2_disk_write_bytes_1ef3de.csv,0.16809997938170812,Linear,0.08695652,7,KMeans,0.66666667,1.0
80,machine_temperature_system_failure.csv,0.17051085113208356,Linear,0.4,8,KMeans,0.66666667,1.0
81,art_load_balancer_spikes.csv,0.18248627226484135,KMeans,0.25,9,KMeans,0.66666667,1.0
82,ec2_disk_write_bytes_c0d644.csv,0.19772196696559974,Linear,0.5,10,KMeans,0.66666667,1.0
83,,,,,,,,
84,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
85,ec2_cpu_utilization_825cc2.csv,0.046871531782914866,KMeans,0.66666667,1,KMeans,0.5,1.0
86,ec2_cpu_utilization_53ea38.csv,0.0959747651887996,KMeans,0.04255319,2,KMeans,0.5,1.0
87,ec2_cpu_utilization_77c1ca.csv,0.11190597214224618,KMeans,0.03921569,3,KMeans,0.5,1.0
88,machine_temperature_system_failure.csv,0.12363931934916869,Linear,0.4,4,KMeans,0.5,1.0
89,ec2_cpu_utilization_fe7f93.csv,0.14148898534344717,Linear,0.5,5,KMeans,0.5,1.0
90,art_daily_jumpsup.csv,0.17740659073492082,KMeans,0.22222222,6,KMeans,0.5,1.0
91,art_load_balancer_spikes.csv,0.18466926508925588,KMeans,0.25,7,KMeans,0.5,1.0
92,elb_request_count_8c0756.csv,0.18571025287924758,Linear,0.66666667,8,KMeans,0.5,1.0
93,art_increase_spike_density.csv,0.19218500944498512,KMeans,0.15384615,9,KMeans,0.5,1.0
94,ec2_disk_write_bytes_c0d644.csv,0.20979365586296622,Linear,0.5,10,KMeans,0.5,1.0
95,,,,,,,,
96,ec2_cpu_utilization_c6585a.csv,0,Linear,0.0,0,Linear,0.0,1
97,ec2_cpu_utilization_77c1ca.csv,9.207648777959427,KMeans,0.03921569,1,KMeans,0.0,1.0
98,art_increase_spike_density.csv,9.212592107774736,KMeans,0.15384615,2,KMeans,0.0,1.0
99,ec2_cpu_utilization_53ea38.csv,9.213414190867153,KMeans,0.04255319,3,KMeans,0.0,1.0
100,ec2_cpu_utilization_fe7f93.csv,9.263894042222738,Linear,0.5,4,KMeans,0.0,1.0
101,elb_request_count_8c0756.csv,9.28317970429602,Linear,0.66666667,5,KMeans,0.0,1.0
102,ec2_cpu_utilization_825cc2.csv,9.294579266015322,KMeans,0.66666667,6,KMeans,0.0,1.0
103,ec2_disk_write_bytes_1ef3de.csv,9.306743462468006,Linear,0.08695652,7,KMeans,0.0,1.0
104,ec2_network_in_257a54.csv,9.306984975644266,KMeans,0.5,8,KMeans,0.0,1.0
105,ec2_disk_write_bytes_c0d644.csv,9.344459009190473,Linear,0.5,9,KMeans,0.0,1.0
106,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,9.371839506643395,KMeans,0.5,10,KMeans,0.0,1.0
107,,,,,,,,
108,rds_cpu_utilization_cc0c53.csv,0,Gaussian,1.0,0,Gaussian,1.0,1
109,ec2_cpu_utilization_ac20cd.csv,0.15076573754562442,KMeans,0.66666667,1,KMeans,1.0,1.0
110,ec2_cpu_utilization_5f5533.csv,0.4377440945361903,KMeans,0.57142857,2,KMeans,1.0,1.0
111,grok_asg_anomaly.csv,0.44080432961536453,KMeans,0.5,3,KMeans,1.0,1.0
112,rds_cpu_utilization_e47b3b.csv,0.47987398897350364,Linear,0.66666667,4,KMeans,1.0,1.0
113,ec2_request_latency_system_failure.csv,2.694573760035338,KMeans,0.66666667,5,KMeans,1.0,1.0
114,art_load_balancer_spikes.csv,2.779567047079965,KMeans,0.25,6,KMeans,1.0,1.0
115,art_daily_jumpsup.csv,2.7900561281759613,KMeans,0.22222222,7,KMeans,1.0,1.0
116,machine_temperature_system_failure.csv,2.847732604879108,Linear,0.4,8,KMeans,1.0,1.0
117,ec2_cpu_utilization_825cc2.csv,2.952164623271855,KMeans,0.66666667,9,KMeans,1.0,1.0
118,ec2_cpu_utilization_fe7f93.csv,2.9640914347838887,Linear,0.5,10,KMeans,1.0,1.0
119,,,,,,,,
120,ec2_cpu_utilization_5f5533.csv,0,KMeans,0.57142857,0,KMeans,0.57142857,1
121,grok_asg_anomaly.csv,0.022566159889312265,KMeans,0.5,1,KMeans,0.57142857,1.0
122,rds_cpu_utilization_e47b3b.csv,0.28859301356567724,Linear,0.66666667,2,KMeans,0.57142857,1.0
123,rds_cpu_utilization_cc0c53.csv,0.4377440945361903,Gaussian,1.0,3,Gaussian,0.5,0.92857143
124,ec2_cpu_utilization_ac20cd.csv,0.4395229117885489,KMeans,0.66666667,4,KMeans,0.57142857,1.0
125,ec2_cpu_utilization_53ea38.csv,2.624032598241606,KMeans,0.04255319,5,KMeans,0.57142857,1.0
126,ec2_cpu_utilization_77c1ca.csv,2.638398189775277,KMeans,0.03921569,6,KMeans,0.57142857,1.0
127,ec2_network_in_257a54.csv,2.706419772079583,KMeans,0.5,7,KMeans,0.57142857,1.0
128,ec2_cpu_utilization_825cc2.csv,2.7184914609769493,KMeans,0.66666667,8,KMeans,0.57142857,1.0
129,art_increase_spike_density.csv,2.726030284642502,KMeans,0.15384615,9,KMeans,0.57142857,1.0
130,ec2_cpu_utilization_fe7f93.csv,2.733157562710196,Linear,0.5,10,KMeans,0.57142857,1.0
131,,,,,,,,
132,art_daily_flatmiddle.csv,0,KMeans,0.02,0,KMeans,0.02,1
133,art_daily_jumpsdown.csv,0.03197428387789793,KMeans,0.03030303,1,KMeans,0.02,1.0
134,art_daily_nojump.csv,0.032779710474319615,KMeans,0.00152207,2,KMeans,0.02,1.0
135,machine_temperature_system_failure.csv,0.2083435672155727,Linear,0.4,3,KMeans,0.02,1.0
136,art_daily_jumpsup.csv,0.2183630707161015,KMeans,0.22222222,4,KMeans,0.02,1.0
137,art_load_balancer_spikes.csv,0.2288521518120981,KMeans,0.25,5,KMeans,0.02,1.0
