,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,13.510046129712418,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,Landsat Satellite,14.349813177127302,Linear,0.71794872,2,KMeans,0.38537271,0.4468761299999999
3,ec2_cpu_utilization_c6585a.csv,14.720389491609822,Linear,0.0,3,Linear,0.92639843,0.98790185
4,ambient_temperature_system_failure.csv,14.865512715696353,KMeans,0.8,4,KMeans,0.38537271,0.4468761299999999
5,cpu_utilization_asg_misconfiguration.csv,15.77676868352857,KMeans,0.00775194,5,KMeans,0.38537271,0.4468761299999999
6,art_daily_jumpsdown.csv,16.204062704347436,KMeans,0.03030303,6,KMeans,0.38537271,0.4468761299999999
7,art_daily_nojump.csv,16.204356254574172,KMeans,0.00152207,7,KMeans,0.38537271,0.4468761299999999
8,art_daily_flatmiddle.csv,16.20867007477883,KMeans,0.02,8,KMeans,0.38537271,0.4468761299999999
9,art_daily_jumpsup.csv,16.21639132126218,KMeans,0.22222222,9,KMeans,0.38537271,0.4468761299999999
10,ec2_request_latency_system_failure.csv,16.22145048569059,KMeans,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,0.04210532418389379,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,ec2_cpu_utilization_c6585a.csv,0.18657141895303986,Linear,0.0,2,Linear,0.96707106,0.9994036199999999
15,ambient_temperature_system_failure.csv,0.28881696149829783,KMeans,0.8,3,Linear,0.96707106,0.9994036199999999
16,cpu_utilization_asg_misconfiguration.csv,0.9522480648194709,KMeans,0.00775194,4,KMeans,0.96766744,1.0
17,art_daily_jumpsdown.csv,1.2553027361077014,KMeans,0.03030303,5,KMeans,0.96766744,1.0
18,art_daily_nojump.csv,1.2554163199635868,KMeans,0.00152207,6,KMeans,0.96766744,1.0
19,art_daily_flatmiddle.csv,1.2589473619676586,KMeans,0.02,7,KMeans,0.96766744,1.0
20,ec2_request_latency_system_failure.csv,1.2769547033708288,KMeans,0.66666667,8,KMeans,0.96766744,1.0
21,art_daily_jumpsup.csv,1.2779517931803874,KMeans,0.22222222,9,KMeans,0.96766744,1.0
22,art_load_balancer_spikes.csv,1.282457863896325,KMeans,0.25,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Statlog Shuttle,2.3037496874285197,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
26,ec2_cpu_utilization_c6585a.csv,3.622866120797165,Linear,0.0,2,KMeans,0.65517241,0.93722369
27,ambient_temperature_system_failure.csv,3.7308479047892598,KMeans,0.8,3,KMeans,0.65517241,0.93722369
28,cpu_utilization_asg_misconfiguration.csv,4.385334932056817,KMeans,0.00775194,4,KMeans,0.65517241,0.93722369
29,ec2_cpu_utilization_5f5533.csv,4.454861347833718,KMeans,0.57142857,5,KMeans,0.65517241,0.93722369
30,grok_asg_anomaly.csv,4.455890500466145,KMeans,0.5,6,KMeans,0.65517241,0.93722369
31,rds_cpu_utilization_e47b3b.csv,4.464364950702574,Linear,0.66666667,7,KMeans,0.65517241,0.93722369
32,rds_cpu_utilization_cc0c53.csv,4.49744564248252,Gaussian,1.0,8,KMeans,0.65517241,0.93722369
33,ec2_cpu_utilization_ac20cd.csv,4.503926473541303,KMeans,0.66666667,9,KMeans,0.65517241,0.93722369
34,art_daily_nojump.csv,4.571747149798513,KMeans,0.00152207,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,ec2_cpu_utilization_c6585a.csv,0.10165274628853815,Linear,0.0,1,Linear,0.14285714,0.34285714
38,grok_asg_anomaly.csv,0.5760637725250197,KMeans,0.5,2,KMeans,0.8,1.0
39,ec2_cpu_utilization_5f5533.csv,0.5779257055946376,KMeans,0.57142857,3,KMeans,0.8,1.0
40,cpu_utilization_asg_misconfiguration.csv,0.61412828167415,KMeans,0.00775194,4,KMeans,0.8,1.0
41,ec2_cpu_utilization_ac20cd.csv,0.6385200118563604,KMeans,0.66666667,5,KMeans,0.8,1.0
42,rds_cpu_utilization_e47b3b.csv,0.6415032152071559,Linear,0.66666667,6,KMeans,0.8,1.0
43,rds_cpu_utilization_cc0c53.csv,0.6458993205798786,Gaussian,1.0,7,KMeans,0.8,1.0
44,ec2_cpu_utilization_24ae8d.csv,0.6781743862847416,KMeans,1.0,8,KMeans,0.8,1.0
45,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.7588628969342439,KMeans,0.5,9,KMeans,0.8,1.0
46,ec2_network_in_5abac7.csv,0.7635359874725175,Linear,0.66666667,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,art_load_balancer_spikes.csv,0.001809413465466786,KMeans,0.25,1,KMeans,0.4,1.0
50,art_daily_jumpsup.csv,0.005473834552546186,KMeans,0.22222222,2,KMeans,0.4,1.0
51,ec2_request_latency_system_failure.csv,0.007476696253462617,KMeans,0.66666667,3,KMeans,0.4,1.0
52,ec2_network_in_257a54.csv,0.011995169586693416,KMeans,0.5,4,KMeans,0.4,1.0
53,ec2_cpu_utilization_825cc2.csv,0.015823530794828844,KMeans,0.66666667,5,KMeans,0.4,1.0
54,ec2_cpu_utilization_77c1ca.csv,0.01994674717377798,KMeans,0.03921569,6,KMeans,0.4,1.0
55,ec2_cpu_utilization_53ea38.csv,0.02048915900697665,KMeans,0.04255319,7,KMeans,0.4,1.0
56,ec2_cpu_utilization_fe7f93.csv,0.02345322675819643,Linear,0.5,8,KMeans,0.4,1.0
57,art_daily_flatmiddle.csv,0.024408437676703504,KMeans,0.02,9,KMeans,0.4,1.0
58,elb_request_count_8c0756.csv,0.026373601637015076,Linear,0.66666667,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,art_daily_jumpsup.csv,0.0026134970077126007,KMeans,0.22222222,1,KMeans,0.66666667,1.0
