,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,16.445985920676353,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,Landsat Satellite,16.80706445639379,Linear,0.71794872,2,KMeans,0.38537271,0.4468761299999999
3,ec2_cpu_utilization_c6585a.csv,18.20167416466208,Linear,0.0,3,Linear,0.92639843,0.98790185
4,ambient_temperature_system_failure.csv,22.592076306696615,KMeans,0.8,4,KMeans,0.38537271,0.4468761299999999
5,ec2_cpu_utilization_5f5533.csv,24.80436524380429,KMeans,0.57142857,5,KMeans,0.38537271,0.4468761299999999
6,grok_asg_anomaly.csv,24.805195049604755,KMeans,0.5,6,KMeans,0.38537271,0.4468761299999999
7,rds_cpu_utilization_e47b3b.csv,24.91803062483247,Linear,0.66666667,7,KMeans,0.38537271,0.4468761299999999
8,ec2_cpu_utilization_ac20cd.csv,25.12595271399029,KMeans,0.66666667,8,KMeans,0.38537271,0.4468761299999999
9,rds_cpu_utilization_cc0c53.csv,25.192426345871684,Gaussian,1.0,9,KMeans,0.38537271,0.4468761299999999
10,cpu_utilization_asg_misconfiguration.csv,25.349746798913973,KMeans,0.00775194,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Statlog Shuttle,16.445985920676353,KMeans,0.96766744,1,KMeans,0.96766744,1.0
14,Landsat Satellite,16.80706445639379,Linear,0.71794872,2,KMeans,0.96766744,1.0
15,ec2_cpu_utilization_c6585a.csv,18.20167416466208,Linear,0.0,3,Linear,0.96707106,0.9994036199999999
16,ambient_temperature_system_failure.csv,22.592076306696615,KMeans,0.8,4,KMeans,0.96766744,1.0
17,ec2_cpu_utilization_5f5533.csv,24.80436524380429,KMeans,0.57142857,5,KMeans,0.96766744,1.0
18,grok_asg_anomaly.csv,24.805195049604755,KMeans,0.5,6,KMeans,0.96766744,1.0
19,rds_cpu_utilization_e47b3b.csv,24.91803062483247,Linear,0.66666667,7,KMeans,0.96766744,1.0
20,ec2_cpu_utilization_ac20cd.csv,25.12595271399029,KMeans,0.66666667,8,KMeans,0.96766744,1.0
21,rds_cpu_utilization_cc0c53.csv,25.192426345871684,Gaussian,1.0,9,KMeans,0.96766744,1.0
22,cpu_utilization_asg_misconfiguration.csv,25.349746798913973,KMeans,0.00775194,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Statlog Shuttle,16.445985920676353,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
26,Landsat Satellite,16.80706445639379,Linear,0.71794872,2,KMeans,0.65517241,0.93722369
27,ec2_cpu_utilization_c6585a.csv,18.20167416466208,Linear,0.0,3,Linear,0.71794872,1.0
28,ambient_temperature_system_failure.csv,22.592076306696615,KMeans,0.8,4,KMeans,0.65517241,0.93722369
29,ec2_cpu_utilization_5f5533.csv,24.80436524380429,KMeans,0.57142857,5,KMeans,0.65517241,0.93722369
30,grok_asg_anomaly.csv,24.805195049604755,KMeans,0.5,6,KMeans,0.65517241,0.93722369
31,rds_cpu_utilization_e47b3b.csv,24.91803062483247,Linear,0.66666667,7,KMeans,0.65517241,0.93722369
