,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Landsat Satellite,1.2548891,Linear,0.71794872,1,Linear,0.92639843,0.98790185
2,ec2_disk_write_bytes_c0d644.csv,1.3343973,Linear,0.5,2,Linear,0.92639843,0.98790185
3,art_increase_spike_density.csv,1.5685272,KMeans,0.15384615,3,Linear,0.92639843,0.98790185
4,grok_asg_anomaly.csv,1.5968078,KMeans,0.5,4,KMeans,0.38537271,0.4468761299999999
5,ec2_cpu_utilization_825cc2.csv,1.7622977,KMeans,0.66666667,5,KMeans,0.38537271,0.4468761299999999
6,ec2_cpu_utilization_24ae8d.csv,1.803749,KMeans,1.0,6,KMeans,0.38537271,0.4468761299999999
7,ec2_disk_write_bytes_1ef3de.csv,1.8158205,Linear,0.08695652,7,KMeans,0.38537271,0.4468761299999999
8,ec2_cpu_utilization_77c1ca.csv,1.825624,KMeans,0.03921569,8,KMeans,0.38537271,0.4468761299999999
9,art_load_balancer_spikes.csv,1.8257447,KMeans,0.25,9,KMeans,0.38537271,0.4468761299999999
10,art_daily_nojump.csv,1.8261049,KMeans,0.00152207,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,1.491132,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,KDD-Cup99 HTTP,2.2012894,RPCA,0.93849658,2,Linear,0.96707106,0.9994036199999999
15,ec2_disk_write_bytes_c0d644.csv,3.67947,Linear,0.5,3,Linear,0.96707106,0.9994036199999999
16,grok_asg_anomaly.csv,3.976307,KMeans,0.5,4,Linear,0.96707106,0.9994036199999999
17,art_increase_spike_density.csv,4.0209355,KMeans,0.15384615,5,KMeans,0.96766744,1.0
18,ec2_cpu_utilization_825cc2.csv,4.210667,KMeans,0.66666667,6,KMeans,0.96766744,1.0
19,ec2_cpu_utilization_24ae8d.csv,4.251101,KMeans,1.0,7,KMeans,0.96766744,1.0
20,ec2_disk_write_bytes_1ef3de.csv,4.2633142,Linear,0.08695652,8,KMeans,0.96766744,1.0
21,ec2_cpu_utilization_77c1ca.csv,4.2727556,KMeans,0.03921569,9,KMeans,0.96766744,1.0
22,art_load_balancer_spikes.csv,4.272873,KMeans,0.25,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,KDD-Cup99 HTTP,0.9850855,RPCA,0.93849658,1,RPCA,0.62962963,0.9116809100000001
26,Statlog Shuttle,1.5775218,KMeans,0.96766744,2,KMeans,0.65517241,0.93722369
27,ec2_disk_write_bytes_c0d644.csv,2.4858878,Linear,0.5,3,KMeans,0.65517241,0.93722369
28,grok_asg_anomaly.csv,2.7874036,KMeans,0.5,4,KMeans,0.65517241,0.93722369
29,art_increase_spike_density.csv,2.8477545,KMeans,0.15384615,5,KMeans,0.65517241,0.93722369
30,ec2_cpu_utilization_825cc2.csv,3.035703,KMeans,0.66666667,6,KMeans,0.65517241,0.93722369
31,ec2_cpu_utilization_24ae8d.csv,3.0756798,KMeans,1.0,7,KMeans,0.65517241,0.93722369
32,ec2_disk_write_bytes_1ef3de.csv,3.087376,Linear,0.08695652,8,KMeans,0.65517241,0.93722369
33,ec2_cpu_utilization_77c1ca.csv,3.096654,KMeans,0.03921569,9,KMeans,0.65517241,0.93722369
34,art_load_balancer_spikes.csv,3.0967739,KMeans,0.25,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,ec2_cpu_utilization_fe7f93.csv,0.0036620349,Linear,0.5,1,Linear,0.14285714,0.34285714
38,art_daily_flatmiddle.csv,0.0038484856,KMeans,0.02,2,KMeans,0.8,1.0
39,ec2_request_latency_system_failure.csv,0.003965482,KMeans,0.66666667,3,KMeans,0.8,1.0
40,ec2_cpu_utilization_5f5533.csv,0.006297037,KMeans,0.57142857,4,KMeans,0.8,1.0
41,rds_cpu_utilization_cc0c53.csv,0.006972477,Gaussian,1.0,5,KMeans,0.8,1.0
42,elb_request_count_8c0756.csv,0.007295981,Linear,0.66666667,6,KMeans,0.8,1.0
43,ec2_cpu_utilization_53ea38.csv,0.007703364,KMeans,0.04255319,7,KMeans,0.8,1.0
44,rds_cpu_utilization_e47b3b.csv,0.010854546,Linear,0.66666667,8,KMeans,0.8,1.0
45,machine_temperature_system_failure.csv,0.014171392,Linear,0.4,9,KMeans,0.8,1.0
46,ec2_network_in_5abac7.csv,0.014723636,Linear,0.66666667,10,Linear,0.14285714,0.34285714
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,rds_cpu_utilization_cc0c53.csv,0.00306122,Gaussian,1.0,1,Gaussian,0.01049869,0.61049869
50,ec2_network_in_5abac7.csv,0.0047445,Linear,0.66666667,2,Gaussian,0.01049869,0.61049869
51,cpu_utilization_asg_misconfiguration.csv,0.0049819276,KMeans,0.00775194,3,Gaussian,0.01049869,0.61049869
52,art_daily_flatmiddle.csv,0.0076579005,KMeans,0.02,4,KMeans,0.4,1.0
53,ec2_request_latency_system_failure.csv,0.011573367,KMeans,0.66666667,5,KMeans,0.4,1.0
54,ec2_cpu_utilization_fe7f93.csv,0.011872739,Linear,0.5,6,KMeans,0.4,1.0
55,ambient_temperature_system_failure.csv,0.013827503,KMeans,0.8,7,KMeans,0.4,1.0
56,ec2_cpu_utilization_5f5533.csv,0.021445714,KMeans,0.57142857,8,KMeans,0.4,1.0
57,elb_request_count_8c0756.csv,0.022393469,Linear,0.66666667,9,KMeans,0.4,1.0
58,ec2_cpu_utilization_53ea38.csv,0.022779264,KMeans,0.04255319,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,ec2_cpu_utilization_fe7f93.csv,0.00031437725,Linear,0.5,1,Linear,0.57142857,0.9047619
62,rds_cpu_utilization_cc0c53.csv,0.0023045316,Gaussian,1.0,2,Gaussian,0.31578947,0.6491228
63,ec2_network_in_5abac7.csv,0.00505089,Linear,0.66666667,3,Linear,0.57142857,0.9047619
64,art_daily_flatmiddle.csv,0.0052569285,KMeans,0.02,4,Linear,0.57142857,0.9047619
65,machine_temperature_system_failure.csv,0.0065111145,Linear,0.4,5,Linear,0.57142857,0.9047619
66,ambient_temperature_system_failure.csv,0.007470615,KMeans,0.8,6,Linear,0.57142857,0.9047619
67,cpu_utilization_asg_misconfiguration.csv,0.009216227,KMeans,0.00775194,7,KMeans,0.66666667,1.0
68,ec2_cpu_utilization_5f5533.csv,0.011548974,KMeans,0.57142857,8,KMeans,0.66666667,1.0
69,elb_request_count_8c0756.csv,0.012609974,Linear,0.66666667,9,KMeans,0.66666667,1.0
70,ec2_cpu_utilization_53ea38.csv,0.013043098,KMeans,0.04255319,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
73,ec2_cpu_utilization_24ae8d.csv,0.040109217,KMeans,1.0,1,KMeans,0.66666667,1.0
74,ec2_disk_write_bytes_1ef3de.csv,0.051741987,Linear,0.08695652,2,KMeans,0.66666667,1.0
75,ec2_cpu_utilization_77c1ca.csv,0.06110081,KMeans,0.03921569,3,KMeans,0.66666667,1.0
76,art_load_balancer_spikes.csv,0.061216295,KMeans,0.25,4,KMeans,0.66666667,1.0
77,art_daily_nojump.csv,0.061553955,KMeans,0.00152207,5,KMeans,0.66666667,1.0
78,art_daily_jumpsup.csv,0.06217332,KMeans,0.22222222,6,KMeans,0.66666667,1.0
79,art_daily_jumpsdown.csv,0.06217332,KMeans,0.03030303,7,KMeans,0.66666667,1.0
80,ec2_network_in_257a54.csv,0.06279035,KMeans,0.5,8,KMeans,0.66666667,1.0
81,ec2_cpu_utilization_ac20cd.csv,0.06521748,KMeans,0.66666667,9,KMeans,0.66666667,1.0
82,cpu_utilization_asg_misconfiguration.csv,0.11434009,KMeans,0.00775194,10,KMeans,0.66666667,1.0
83,,,,,,,,
84,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
85,art_daily_jumpsup.csv,0.0006260872,KMeans,0.22222222,1,KMeans,0.5,1.0
