,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,ec2_disk_write_bytes_c0d644.csv,1.214260437390811,Linear,0.5,1,Linear,0.92639843,0.98790185
2,grok_asg_anomaly.csv,1.5820312398691887,KMeans,0.5,2,KMeans,0.38537271,0.4468761299999999
3,ec2_request_latency_system_failure.csv,2.3167304768666375,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999
4,ec2_cpu_utilization_fe7f93.csv,2.318027704379959,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999
5,ec2_cpu_utilization_5f5533.csv,2.483951633232494,KMeans,0.57142857,5,KMeans,0.38537271,0.4468761299999999
6,elb_request_count_8c0756.csv,2.4907828567752914,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999
7,ec2_cpu_utilization_53ea38.csv,2.4936164756526646,KMeans,0.04255319,7,KMeans,0.38537271,0.4468761299999999
8,rds_cpu_utilization_e47b3b.csv,2.5168796317643793,Linear,0.66666667,8,KMeans,0.38537271,0.4468761299999999
9,machine_temperature_system_failure.csv,2.6273915442799827,Linear,0.4,9,Linear,0.92639843,0.98790185
10,ambient_temperature_system_failure.csv,2.6475558623779287,KMeans,0.8,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,2.4686115497670102,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,4.069700335542813,KMeans,0.5,2,KMeans,0.96766744,1.0
15,ec2_cpu_utilization_825cc2.csv,4.375121254520879,KMeans,0.66666667,3,KMeans,0.96766744,1.0
16,ec2_cpu_utilization_24ae8d.csv,4.381937747769501,KMeans,1.0,4,KMeans,0.96766744,1.0
17,rds_cpu_utilization_cc0c53.csv,4.415473363041751,Gaussian,1.0,5,KMeans,0.96766744,1.0
18,ec2_network_in_5abac7.csv,4.44156487488158,Linear,0.66666667,6,KMeans,0.96766744,1.0
19,art_increase_spike_density.csv,4.463274110062015,KMeans,0.15384615,7,KMeans,0.96766744,1.0
20,ec2_cpu_utilization_77c1ca.csv,4.489774017297702,KMeans,0.03921569,8,KMeans,0.96766744,1.0
21,art_load_balancer_spikes.csv,4.4898046181416245,KMeans,0.25,9,KMeans,0.96766744,1.0
22,art_daily_nojump.csv,4.4899473428626795,KMeans,0.00152207,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Statlog Shuttle,2.4686115497670102,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
26,KDD-Cup99 HTTP,3.380022243340585,RPCA,0.93849658,2,KMeans,0.65517241,0.93722369
27,ec2_disk_write_bytes_c0d644.csv,3.413046186808053,Linear,0.5,3,KMeans,0.65517241,0.93722369
28,grok_asg_anomaly.csv,3.4465380995741515,KMeans,0.5,4,KMeans,0.65517241,0.93722369
29,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,3.4706282605207406,KMeans,0.5,5,KMeans,0.65517241,0.93722369
30,ec2_request_latency_system_failure.csv,3.534072118700287,KMeans,0.66666667,6,KMeans,0.65517241,0.93722369
31,ec2_cpu_utilization_fe7f93.csv,3.534419003514943,Linear,0.5,7,KMeans,0.65517241,0.93722369
32,ec2_cpu_utilization_5f5533.csv,3.663851010865017,KMeans,0.57142857,8,KMeans,0.65517241,0.93722369
