,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Landsat Satellite,6.565257117051047e-05,Linear,0.71794872,1,Linear,0.92639843,0.98790185
2,Statlog Shuttle,0.0002143808596252699,KMeans,0.96766744,2,KMeans,0.38537271,0.4468761299999999
3,ec2_cpu_utilization_c6585a.csv,0.00021867185375798416,Linear,0.0,3,Linear,0.92639843,0.98790185
4,ec2_disk_write_bytes_c0d644.csv,0.011587922593038341,Linear,0.5,4,Linear,0.92639843,0.98790185
5,grok_asg_anomaly.csv,0.02623555218395767,KMeans,0.5,5,Linear,0.92639843,0.98790185
6,art_increase_spike_density.csv,0.032471678149060636,KMeans,0.15384615,6,KMeans,0.38537271,0.4468761299999999
7,ec2_cpu_utilization_825cc2.csv,0.05106337199116355,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999
8,ec2_cpu_utilization_24ae8d.csv,0.05675574486401777,KMeans,1.0,8,KMeans,0.38537271,0.4468761299999999
9,ec2_disk_write_bytes_1ef3de.csv,0.0611539657269851,Linear,0.08695652,9,KMeans,0.38537271,0.4468761299999999
10,ec2_cpu_utilization_77c1ca.csv,0.06227013501282063,KMeans,0.03921569,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,ec2_cpu_utilization_c6585a.csv,4.290994132714242e-06,Linear,0.0,1,Linear,0.96707106,0.9994036199999999
14,Landsat Satellite,0.00014872828845475944,Linear,0.71794872,2,Linear,0.96707106,0.9994036199999999
15,KDD-Cup99 HTTP,0.0002143808596252699,RPCA,0.93849658,3,Linear,0.96707106,0.9994036199999999
16,ec2_disk_write_bytes_c0d644.csv,0.011802303452663612,Linear,0.5,4,Linear,0.96707106,0.9994036199999999
17,grok_asg_anomaly.csv,0.02644993304358294,KMeans,0.5,5,Linear,0.96707106,0.9994036199999999
18,art_increase_spike_density.csv,0.0326860590086859,KMeans,0.15384615,6,Linear,0.96707106,0.9994036199999999
19,ec2_cpu_utilization_825cc2.csv,0.05127775285078882,KMeans,0.66666667,7,KMeans,0.96766744,1.0
20,ec2_cpu_utilization_24ae8d.csv,0.05697012572364304,KMeans,1.0,8,KMeans,0.96766744,1.0
21,ec2_disk_write_bytes_1ef3de.csv,0.06136834658661037,Linear,0.08695652,9,KMeans,0.96766744,1.0
22,ec2_cpu_utilization_77c1ca.csv,0.0624845158724459,KMeans,0.03921569,10,KMeans,0.96766744,1.0
23,,,,,,,,
