,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Landsat Satellite,2.1873607165630404,Linear,0.71794872,1,Linear,0.92639843,0.98790185
2,ec2_disk_write_bytes_c0d644.csv,2.8527328696031837,Linear,0.5,2,Linear,0.92639843,0.98790185
3,grok_asg_anomaly.csv,3.4064862208078783,KMeans,0.5,3,Linear,0.92639843,0.98790185
4,art_increase_spike_density.csv,3.6101555575442363,KMeans,0.15384615,4,KMeans,0.38537271,0.4468761299999999
5,ec2_cpu_utilization_825cc2.csv,3.899880507690308,KMeans,0.66666667,5,KMeans,0.38537271,0.4468761299999999
6,ec2_cpu_utilization_24ae8d.csv,3.9661902757708454,KMeans,1.0,6,KMeans,0.38537271,0.4468761299999999
7,ec2_disk_write_bytes_1ef3de.csv,4.021489771067834,Linear,0.08695652,7,KMeans,0.38537271,0.4468761299999999
8,ec2_cpu_utilization_77c1ca.csv,4.031413382902951,KMeans,0.03921569,8,KMeans,0.38537271,0.4468761299999999
9,art_load_balancer_spikes.csv,4.031848245478812,KMeans,0.25,9,KMeans,0.38537271,0.4468761299999999
10,art_daily_nojump.csv,4.031989479865745,KMeans,0.00152207,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,ec2_network_in_5abac7.csv,0.008887006010208157,Linear,0.66666667,1,Linear,0.96707106,0.9994036199999999
14,rds_cpu_utilization_cc0c53.csv,0.013385436354472688,Gaussian,1.0,2,Gaussian,0.81503172,0.84736428
15,ec2_request_latency_system_failure.csv,0.01885780155627638,KMeans,0.66666667,3,Gaussian,0.81503172,0.84736428
16,ec2_cpu_utilization_fe7f93.csv,0.019343563315574838,Linear,0.5,4,Linear,0.96707106,0.9994036199999999
17,ec2_cpu_utilization_ac20cd.csv,0.06358332786447386,KMeans,0.66666667,5,KMeans,0.96766744,1.0
18,ec2_cpu_utilization_5f5533.csv,0.06691991526356222,KMeans,0.57142857,6,KMeans,0.96766744,1.0
19,art_daily_flatmiddle.csv,0.06732613723341721,KMeans,0.02,7,KMeans,0.96766744,1.0
20,ec2_network_in_257a54.csv,0.06817526804991698,KMeans,0.5,8,KMeans,0.96766744,1.0
21,elb_request_count_8c0756.csv,0.06826481576398422,Linear,0.66666667,9,KMeans,0.96766744,1.0
22,ec2_cpu_utilization_53ea38.csv,0.06880257981839011,KMeans,0.04255319,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,ec2_cpu_utilization_fe7f93.csv,0.003750468537531128,Linear,0.5,1,Linear,0.71794872,1.0
26,ec2_request_latency_system_failure.csv,0.003856899252908436,KMeans,0.66666667,2,KMeans,0.65517241,0.93722369
27,ec2_cpu_utilization_5f5533.csv,0.012869599054529229,KMeans,0.57142857,3,KMeans,0.65517241,0.93722369
28,elb_request_count_8c0756.csv,0.013968799759607931,Linear,0.66666667,4,KMeans,0.65517241,0.93722369
29,ec2_cpu_utilization_53ea38.csv,0.014425645913759033,KMeans,0.04255319,5,KMeans,0.65517241,0.93722369
30,rds_cpu_utilization_e47b3b.csv,0.018405962128855237,Linear,0.66666667,6,KMeans,0.65517241,0.93722369
31,machine_temperature_system_failure.csv,0.0323977755862733,Linear,0.4,7,Linear,0.71794872,1.0
32,ambient_temperature_system_failure.csv,0.03970596862241741,KMeans,0.8,8,KMeans,0.65517241,0.93722369
33,cpu_utilization_asg_misconfiguration.csv,0.05800108982974981,KMeans,0.00775194,9,KMeans,0.65517241,0.93722369
34,grok_asg_anomaly.csv,0.09004825243919608,KMeans,0.5,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,art_daily_flatmiddle.csv,0.002829577251381943,KMeans,0.02,1,KMeans,0.8,1.0
38,machine_temperature_system_failure.csv,0.0028428681453126596,Linear,0.4,2,KMeans,0.8,1.0
39,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.00717990470425484,KMeans,0.5,3,KMeans,0.8,1.0
40,cpu_utilization_asg_misconfiguration.csv,0.008568239503245176,KMeans,0.00775194,4,KMeans,0.8,1.0
41,Statlog Shuttle,0.00870121914350279,KMeans,0.96766744,5,KMeans,0.8,1.0
42,rds_cpu_utilization_e47b3b.csv,0.032000614430456806,Linear,0.66666667,6,KMeans,0.8,1.0
43,rds_cpu_utilization_cc0c53.csv,0.038567209213779235,Gaussian,1.0,7,KMeans,0.8,1.0
44,ec2_cpu_utilization_53ea38.csv,0.03984341730923735,KMeans,0.04255319,8,KMeans,0.8,1.0
45,elb_request_count_8c0756.csv,0.040835100509178664,Linear,0.66666667,9,KMeans,0.8,1.0
46,ec2_cpu_utilization_5f5533.csv,0.043290617289144545,KMeans,0.57142857,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,ambient_temperature_system_failure.csv,0.00031053282587078466,KMeans,0.8,1,KMeans,0.4,1.0
50,cpu_utilization_asg_misconfiguration.csv,0.004481115287329946,KMeans,0.00775194,2,KMeans,0.4,1.0
51,rds_cpu_utilization_e47b3b.csv,0.010965339442799574,Linear,0.66666667,3,KMeans,0.4,1.0
52,ec2_cpu_utilization_53ea38.csv,0.015095412101273605,KMeans,0.04255319,4,KMeans,0.4,1.0
53,elb_request_count_8c0756.csv,0.01563635741020072,Linear,0.66666667,5,KMeans,0.4,1.0
54,ec2_cpu_utilization_5f5533.csv,0.01699246244564963,KMeans,0.57142857,6,KMeans,0.4,1.0
55,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.018334521950825876,KMeans,0.5,7,KMeans,0.4,1.0
56,art_daily_flatmiddle.csv,0.02600164906492449,KMeans,0.02,8,KMeans,0.4,1.0
57,Statlog Shuttle,0.02764300628897959,KMeans,0.96766744,9,KMeans,0.4,1.0
58,ec2_cpu_utilization_fe7f93.csv,0.06833089330084947,Linear,0.5,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,ec2_cpu_utilization_fe7f93.csv,0.0006044407755848025,Linear,0.5,1,Linear,0.57142857,0.9047619
62,ec2_cpu_utilization_ac20cd.csv,0.0007612442422080673,KMeans,0.66666667,2,KMeans,0.66666667,1.0
63,ec2_network_in_257a54.csv,0.003055975657653559,KMeans,0.5,3,KMeans,0.66666667,1.0
64,art_daily_jumpsup.csv,0.004026754466221152,KMeans,0.22222222,4,KMeans,0.66666667,1.0
65,art_daily_jumpsdown.csv,0.004026754466221152,KMeans,0.03030303,5,KMeans,0.66666667,1.0
66,art_daily_nojump.csv,0.005000531390496957,KMeans,0.00152207,6,KMeans,0.66666667,1.0
67,art_load_balancer_spikes.csv,0.005118634471397779,KMeans,0.25,7,KMeans,0.66666667,1.0
68,ec2_cpu_utilization_77c1ca.csv,0.005523468198395137,KMeans,0.03921569,8,KMeans,0.66666667,1.0
69,ec2_disk_write_bytes_1ef3de.csv,0.014480477981262091,Linear,0.08695652,9,KMeans,0.66666667,1.0
70,Statlog Shuttle,0.04969646321113809,KMeans,0.96766744,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
73,ec2_cpu_utilization_24ae8d.csv,0.12191393776613113,KMeans,1.0,1,KMeans,0.66666667,1.0
74,Landsat Satellite,0.1336914929348194,Linear,0.71794872,2,KMeans,0.66666667,1.0
75,ec2_disk_write_bytes_1ef3de.csv,0.23561186948355684,Linear,0.08695652,3,Linear,0.125,0.45833333
76,ec2_cpu_utilization_77c1ca.csv,0.25608857623239756,KMeans,0.03921569,4,KMeans,0.66666667,1.0
