,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,ec2_disk_write_bytes_c0d644.csv,1.487036653061261,Linear,0.5,1,Linear,0.92639843,0.98790185
2,grok_asg_anomaly.csv,1.891517552909324,KMeans,0.5,2,KMeans,0.38537271,0.4468761299999999
3,ec2_request_latency_system_failure.csv,2.6095262682423104,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999
4,ec2_cpu_utilization_fe7f93.csv,2.610835293890481,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999
5,ec2_cpu_utilization_5f5533.csv,2.8550573492315223,KMeans,0.57142857,5,KMeans,0.38537271,0.4468761299999999
6,elb_request_count_8c0756.csv,2.861977199029669,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999
7,ec2_cpu_utilization_53ea38.csv,2.8648260285768323,KMeans,0.04255319,7,KMeans,0.38537271,0.4468761299999999
8,rds_cpu_utilization_e47b3b.csv,2.888408934623836,Linear,0.66666667,8,KMeans,0.38537271,0.4468761299999999
9,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,2.9034815583124045,KMeans,0.5,9,KMeans,0.38537271,0.4468761299999999
10,ambient_temperature_system_failure.csv,3.0921060031184426,KMeans,0.8,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Landsat Satellite,3.180048539691027,Linear,0.71794872,1,Linear,0.96707106,0.9994036199999999
14,art_increase_spike_density.csv,4.502459989780625,KMeans,0.15384615,2,KMeans,0.96766744,1.0
15,ec2_cpu_utilization_825cc2.csv,4.631774504639088,KMeans,0.66666667,3,KMeans,0.96766744,1.0
16,ec2_cpu_utilization_24ae8d.csv,4.727353046130418,KMeans,1.0,4,KMeans,0.96766744,1.0
17,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,4.785818591075394,KMeans,0.5,5,KMeans,0.96766744,1.0
18,ec2_disk_write_bytes_1ef3de.csv,4.951129728058348,Linear,0.08695652,6,KMeans,0.96766744,1.0
19,art_load_balancer_spikes.csv,4.953012337016622,KMeans,0.25,7,KMeans,0.96766744,1.0
20,ec2_cpu_utilization_77c1ca.csv,4.953139873412533,KMeans,0.03921569,8,KMeans,0.96766744,1.0
21,art_daily_nojump.csv,4.9550767607534265,KMeans,0.00152207,9,KMeans,0.96766744,1.0
22,art_daily_jumpsup.csv,4.95714138663286,KMeans,0.22222222,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
25,Statlog Shuttle,3.180048539691027,KMeans,0.96766744,1,KMeans,0.65517241,0.93722369
26,ec2_disk_write_bytes_c0d644.csv,3.595157845771315,Linear,0.5,2,KMeans,0.65517241,0.93722369
27,grok_asg_anomaly.csv,3.6264579197887707,KMeans,0.5,3,KMeans,0.65517241,0.93722369
28,ec2_request_latency_system_failure.csv,4.344466635121757,KMeans,0.66666667,4,KMeans,0.65517241,0.93722369
29,ec2_cpu_utilization_fe7f93.csv,4.345775660769928,Linear,0.5,5,KMeans,0.65517241,0.93722369
30,KDD-Cup99 HTTP,4.454324848224183,RPCA,0.93849658,6,KMeans,0.65517241,0.93722369
31,ec2_cpu_utilization_5f5533.csv,4.589997716110969,KMeans,0.57142857,7,KMeans,0.65517241,0.93722369
32,elb_request_count_8c0756.csv,4.596917565909116,Linear,0.66666667,8,KMeans,0.65517241,0.93722369
33,ec2_cpu_utilization_53ea38.csv,4.599766395456279,KMeans,0.04255319,9,KMeans,0.65517241,0.93722369
34,rds_cpu_utilization_e47b3b.csv,4.623349301503283,Linear,0.66666667,10,KMeans,0.65517241,0.93722369
35,,,,,,,,
36,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
37,machine_temperature_system_failure.csv,0.07067213158726995,Linear,0.4,1,Linear,0.14285714,0.34285714
38,cpu_utilization_asg_misconfiguration.csv,0.15097243135525598,KMeans,0.00775194,2,KMeans,0.8,1.0
39,rds_cpu_utilization_e47b3b.csv,0.20369706849460614,Linear,0.66666667,3,Linear,0.14285714,0.34285714
40,ec2_cpu_utilization_53ea38.csv,0.2272799745416101,KMeans,0.04255319,4,KMeans,0.8,1.0
41,art_daily_flatmiddle.csv,0.2274730469377707,KMeans,0.02,5,KMeans,0.8,1.0
42,elb_request_count_8c0756.csv,0.2301288040887732,Linear,0.66666667,6,KMeans,0.8,1.0
43,ec2_cpu_utilization_5f5533.csv,0.23704865388692012,KMeans,0.57142857,7,KMeans,0.8,1.0
44,ec2_cpu_utilization_fe7f93.csv,0.48127070922796134,Linear,0.5,8,KMeans,0.8,1.0
45,ec2_request_latency_system_failure.csv,0.4825797348761326,KMeans,0.66666667,9,KMeans,0.8,1.0
46,ec2_network_in_5abac7.csv,0.4826851382910884,Linear,0.66666667,10,KMeans,0.8,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,ambient_temperature_system_failure.csv,0.07067213158726995,KMeans,0.8,1,KMeans,0.4,1.0
50,cpu_utilization_asg_misconfiguration.csv,0.13737383887682497,KMeans,0.00775194,2,KMeans,0.4,1.0
51,rds_cpu_utilization_e47b3b.csv,0.21729566097303715,Linear,0.66666667,3,KMeans,0.4,1.0
52,ec2_cpu_utilization_53ea38.csv,0.24087856702004112,KMeans,0.04255319,4,KMeans,0.4,1.0
53,elb_request_count_8c0756.csv,0.2437273965672042,Linear,0.66666667,5,KMeans,0.4,1.0
54,ec2_cpu_utilization_5f5533.csv,0.25064724636535113,KMeans,0.57142857,6,KMeans,0.4,1.0
55,art_daily_flatmiddle.csv,0.27621337900763765,KMeans,0.02,7,KMeans,0.4,1.0
56,ec2_cpu_utilization_fe7f93.csv,0.4948693017063923,Linear,0.5,8,KMeans,0.4,1.0
57,ec2_request_latency_system_failure.csv,0.4961783273545636,KMeans,0.66666667,9,KMeans,0.4,1.0
58,ec2_network_in_5abac7.csv,0.5533572698783584,Linear,0.66666667,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,ec2_cpu_utilization_fe7f93.csv,0.0013094959685246155,Linear,0.5,1,Linear,0.57142857,0.9047619
62,ec2_cpu_utilization_5f5533.csv,0.24553108098921242,KMeans,0.57142857,2,KMeans,0.66666667,1.0
63,elb_request_count_8c0756.csv,0.25245093078735936,Linear,0.66666667,3,Linear,0.57142857,0.9047619
64,ec2_cpu_utilization_53ea38.csv,0.25529976033452245,KMeans,0.04255319,4,KMeans,0.66666667,1.0
65,rds_cpu_utilization_e47b3b.csv,0.2788826663815264,Linear,0.66666667,5,Linear,0.57142857,0.9047619
66,ambient_temperature_system_failure.csv,0.4825797348761326,KMeans,0.8,6,KMeans,0.66666667,1.0
67,machine_temperature_system_failure.csv,0.4961783273545636,Linear,0.4,7,Linear,0.57142857,0.9047619
68,cpu_utilization_asg_misconfiguration.csv,0.6335521662313884,KMeans,0.00775194,8,KMeans,0.66666667,1.0
69,art_daily_flatmiddle.csv,0.7097968476061451,KMeans,0.02,9,KMeans,0.66666667,1.0
70,grok_asg_anomaly.csv,0.7859002603364073,KMeans,0.5,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
73,ec2_cpu_utilization_24ae8d.csv,0.09596985406239869,KMeans,1.0,1,KMeans,0.66666667,1.0
74,ec2_disk_write_bytes_1ef3de.csv,0.31935522341926015,Linear,0.08695652,2,KMeans,0.66666667,1.0
75,art_load_balancer_spikes.csv,0.3212378323775343,KMeans,0.25,3,KMeans,0.66666667,1.0
76,ec2_cpu_utilization_77c1ca.csv,0.32136536877344457,KMeans,0.03921569,4,KMeans,0.66666667,1.0
77,art_daily_nojump.csv,0.32330225611433827,KMeans,0.00152207,5,KMeans,0.66666667,1.0
78,art_daily_jumpsup.csv,0.3253668819937723,KMeans,0.22222222,6,KMeans,0.66666667,1.0
79,art_daily_jumpsdown.csv,0.3253668819937723,KMeans,0.03030303,7,KMeans,0.66666667,1.0
80,ec2_network_in_257a54.csv,0.3274343614847356,KMeans,0.5,8,KMeans,0.66666667,1.0
81,ec2_cpu_utilization_ac20cd.csv,0.3356562110214244,KMeans,0.66666667,9,KMeans,0.66666667,1.0
82,rds_cpu_utilization_cc0c53.csv,0.3877452305944912,Gaussian,1.0,10,KMeans,0.66666667,1.0
83,,,,,,,,
84,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
85,art_daily_jumpsup.csv,0.002067479490963281,KMeans,0.22222222,1,KMeans,0.5,1.0
86,art_daily_jumpsdown.csv,0.002067479490963281,KMeans,0.03030303,2,KMeans,0.5,1.0
87,art_daily_nojump.csv,0.004132105370397293,KMeans,0.00152207,3,KMeans,0.5,1.0
88,ec2_cpu_utilization_77c1ca.csv,0.006068992711290994,KMeans,0.03921569,4,KMeans,0.5,1.0
89,art_load_balancer_spikes.csv,0.006196529107201282,KMeans,0.25,5,KMeans,0.5,1.0
90,ec2_cpu_utilization_ac20cd.csv,0.008221849536688863,KMeans,0.66666667,6,KMeans,0.5,1.0
91,ec2_disk_write_bytes_1ef3de.csv,0.03805573655324218,Linear,0.08695652,7,KMeans,0.5,1.0
92,ec2_network_in_5abac7.csv,0.21868340538038672,Linear,0.66666667,8,KMeans,0.5,1.0
93,ec2_cpu_utilization_24ae8d.csv,0.23185581999340554,KMeans,1.0,9,KMeans,0.5,1.0
94,rds_cpu_utilization_cc0c53.csv,0.2537578614588263,Gaussian,1.0,10,KMeans,0.5,1.0
95,,,,,,,,
96,ec2_cpu_utilization_c6585a.csv,0,Linear,0.0,0,Linear,0.0,1
97,art_increase_spike_density.csv,8.13941905503959,KMeans,0.15384615,1,KMeans,0.0,1.0
98,ec2_cpu_utilization_825cc2.csv,8.537855822753047,KMeans,0.66666667,2,KMeans,0.0,1.0
99,ec2_cpu_utilization_24ae8d.csv,8.633434364244376,KMeans,1.0,3,KMeans,0.0,1.0
100,ec2_disk_write_bytes_1ef3de.csv,8.635348986644756,Linear,0.08695652,4,KMeans,0.0,1.0
101,art_load_balancer_spikes.csv,8.667208194090797,KMeans,0.25,5,KMeans,0.0,1.0
102,ec2_cpu_utilization_77c1ca.csv,8.667335730486705,KMeans,0.03921569,6,KMeans,0.0,1.0
103,art_daily_nojump.csv,8.669272617827602,KMeans,0.00152207,7,KMeans,0.0,1.0
104,art_daily_jumpsup.csv,8.671337243707034,KMeans,0.22222222,8,KMeans,0.0,1.0
105,art_daily_jumpsdown.csv,8.671337243707034,KMeans,0.03030303,9,KMeans,0.0,1.0
106,ec2_network_in_257a54.csv,8.673404723197997,KMeans,0.5,10,KMeans,0.0,1.0
107,,,,,,,,
108,rds_cpu_utilization_cc0c53.csv,0,Gaussian,1.0,0,Gaussian,1.0,1
109,ec2_network_in_5abac7.csv,0.03508768856265629,Linear,0.66666667,1,Linear,0.66666667,0.66666667
110,ec2_cpu_utilization_ac20cd.csv,0.24554581322748978,KMeans,0.66666667,2,KMeans,1.0,1.0
111,ec2_network_in_257a54.csv,0.2537578614588263,KMeans,0.5,3,KMeans,1.0,1.0
112,art_daily_jumpsdown.csv,0.255822850437356,KMeans,0.03030303,4,KMeans,1.0,1.0
113,art_daily_jumpsup.csv,0.255822850437356,KMeans,0.22222222,5,KMeans,1.0,1.0
114,art_daily_nojump.csv,0.25788498924486936,KMeans,0.00152207,6,KMeans,1.0,1.0
115,art_load_balancer_spikes.csv,0.258434250178469,KMeans,0.25,7,KMeans,1.0,1.0
116,ec2_cpu_utilization_77c1ca.csv,0.2591260276282593,KMeans,0.03921569,8,KMeans,1.0,1.0
117,ec2_disk_write_bytes_1ef3de.csv,0.2906237150259797,Linear,0.08695652,9,KMeans,1.0,1.0
118,ec2_cpu_utilization_24ae8d.csv,0.2921666891031612,KMeans,1.0,10,KMeans,1.0,1.0
119,,,,,,,,
120,ec2_cpu_utilization_5f5533.csv,0,KMeans,0.57142857,0,KMeans,0.57142857,1
121,elb_request_count_8c0756.csv,0.006925588234442059,Linear,0.66666667,1,Linear,0.5,0.92857143
122,ec2_cpu_utilization_53ea38.csv,0.009819618211089898,KMeans,0.04255319,2,KMeans,0.57142857,1.0
123,rds_cpu_utilization_e47b3b.csv,0.033377139974989034,Linear,0.66666667,3,Linear,0.5,0.92857143
124,ambient_temperature_system_failure.csv,0.23704865388692012,KMeans,0.8,4,KMeans,0.57142857,1.0
125,ec2_cpu_utilization_fe7f93.csv,0.2442220553410412,Linear,0.5,5,Linear,0.5,0.92857143
126,ec2_request_latency_system_failure.csv,0.24553108098921242,KMeans,0.66666667,6,KMeans,0.57142857,1.0
127,machine_temperature_system_failure.csv,0.25064724636535113,Linear,0.4,7,Linear,0.5,0.92857143
128,cpu_utilization_asg_misconfiguration.csv,0.38802108524217616,KMeans,0.00775194,8,KMeans,0.57142857,1.0
129,art_daily_flatmiddle.csv,0.46426576661693275,KMeans,0.02,9,KMeans,0.57142857,1.0
130,rds_cpu_utilization_cc0c53.csv,0.5678479875132207,Gaussian,1.0,10,KMeans,0.57142857,1.0
131,,,,,,,,
132,art_daily_flatmiddle.csv,0,KMeans,0.02,0,KMeans,0.02,1
133,cpu_utilization_asg_misconfiguration.csv,0.19867992576706778,KMeans,0.00775194,1,KMeans,0.02,1.0
134,ambient_temperature_system_failure.csv,0.2274730469377707,KMeans,0.8,2,KMeans,0.02,1.0
135,machine_temperature_system_failure.csv,0.27621337900763765,Linear,0.4,3,KMeans,0.02,1.0
136,ec2_network_in_5abac7.csv,0.27714389087072067,Linear,0.66666667,4,KMeans,0.02,1.0
137,rds_cpu_utilization_cc0c53.csv,0.29704864317268304,Gaussian,1.0,5,KMeans,0.02,1.0
138,ec2_cpu_utilization_ac20cd.csv,0.34913766274574976,KMeans,0.66666667,6,KMeans,0.02,1.0
