,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,1.8059254,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,Landsat Satellite,2.2639146,Linear,0.71794872,2,KMeans,0.38537271,0.4468761299999999
3,ec2_cpu_utilization_c6585a.csv,4.720764,Linear,0.0,3,Linear,0.92639843,0.98790185
4,cpu_utilization_asg_misconfiguration.csv,4.7232747,KMeans,0.00775194,4,KMeans,0.38537271,0.4468761299999999
5,machine_temperature_system_failure.csv,4.7246776,Linear,0.4,5,Linear,0.92639843,0.98790185
6,ec2_disk_write_bytes_1ef3de.csv,4.725407,Linear,0.08695652,6,Linear,0.92639843,0.98790185
7,ec2_cpu_utilization_77c1ca.csv,4.7261496,KMeans,0.03921569,7,Linear,0.92639843,0.98790185
8,ec2_network_in_257a54.csv,4.7261496,KMeans,0.5,8,KMeans,0.38537271,0.4468761299999999
9,ec2_cpu_utilization_ac20cd.csv,4.7261496,KMeans,0.66666667,9,KMeans,0.38537271,0.4468761299999999
10,art_increase_spike_density.csv,4.7261496,KMeans,0.15384615,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Statlog Shuttle,2.1073775,KMeans,0.96766744,1,KMeans,0.96766744,1.0
14,Landsat Satellite,2.40168,Linear,0.71794872,2,KMeans,0.96766744,1.0
15,ec2_cpu_utilization_c6585a.csv,4.5913754,Linear,0.0,3,Linear,0.96707106,0.9994036199999999
16,cpu_utilization_asg_misconfiguration.csv,4.5938587,KMeans,0.00775194,4,KMeans,0.96766744,1.0
17,machine_temperature_system_failure.csv,4.5952473,Linear,0.4,5,Linear,0.96707106,0.9994036199999999
18,ec2_disk_write_bytes_1ef3de.csv,4.59597,Linear,0.08695652,6,Linear,0.96707106,0.9994036199999999
19,ec2_cpu_utilization_77c1ca.csv,4.596706,KMeans,0.03921569,7,Linear,0.96707106,0.9994036199999999
20,ec2_network_in_257a54.csv,4.596706,KMeans,0.5,8,KMeans,0.96766744,1.0
