,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
1,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999,0.0
2,,,,,,,,,
3,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
4,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999,0.1
5,,,,,,,,,
6,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
7,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999,0.2
8,,,,,,,,,
9,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
10,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
11,,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
13,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999,0.4
14,,,,,,,,,
15,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
16,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999,0.5
17,,,,,,,,,
18,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
19,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
20,,,,,,,,,
21,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
22,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999,0.7000000000000001
23,,,,,,,,,
24,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
25,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999,0.8
26,,,,,,,,,
27,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
28,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999,0.9
29,,,,,,,,,
30,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
