,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
1,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1805750.7047079855,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.0
2,ec2_disk_write_bytes_c0d644.csv,62336678.75625456,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999,0.0
3,ec2_request_latency_system_failure.csv,62336678.75625456,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999,0.0
4,ec2_cpu_utilization_fe7f93.csv,62336678.75625456,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999,0.0
5,grok_asg_anomaly.csv,78425909.8023325,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.0
6,elb_request_count_8c0756.csv,108192042.47301592,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.0
7,ec2_cpu_utilization_825cc2.csv,108192042.47301592,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.0
8,ec2_cpu_utilization_53ea38.csv,108192042.47301592,KMeans,0.04255319,8,KMeans,0.38537271,0.4468761299999999,0.0
9,rds_cpu_utilization_cc0c53.csv,108192042.47301592,Gaussian,1.0,9,KMeans,0.38537271,0.4468761299999999,0.0
10,ec2_cpu_utilization_5f5533.csv,108192042.47301592,KMeans,0.57142857,10,KMeans,0.38537271,0.4468761299999999,0.0
11,,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
13,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,3714811.14131566,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.1
14,ec2_disk_write_bytes_c0d644.csv,101469598.74043638,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999,0.1
15,ec2_request_latency_system_failure.csv,101469598.74043638,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999,0.1
16,ec2_cpu_utilization_fe7f93.csv,101469598.74043638,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999,0.1
17,grok_asg_anomaly.csv,127853356.11224806,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.1
18,elb_request_count_8c0756.csv,176665005.33304286,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.1
19,ec2_cpu_utilization_825cc2.csv,176665005.33304286,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.1
20,ec2_cpu_utilization_53ea38.csv,176665005.33304286,KMeans,0.04255319,8,KMeans,0.38537271,0.4468761299999999,0.1
21,rds_cpu_utilization_cc0c53.csv,176665005.33304286,Gaussian,1.0,9,KMeans,0.38537271,0.4468761299999999,0.1
22,ec2_cpu_utilization_5f5533.csv,176665005.33304286,KMeans,0.57142857,10,KMeans,0.38537271,0.4468761299999999,0.1
23,,,,,,,,,
24,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
25,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1322931.488281107,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.2
26,ec2_disk_write_bytes_c0d644.csv,23532723.067240734,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999,0.2
27,ec2_request_latency_system_failure.csv,23532723.067240734,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999,0.2
28,ec2_cpu_utilization_fe7f93.csv,23532723.067240734,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999,0.2
29,grok_asg_anomaly.csv,29767832.825719602,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.2
